"","Title","Authors","Abstract","Published Year","Published Month","Journal","Volume","Issue","Pages","Accession Number","DOI","Ref","Covidence #","Study","Notes","Tags","Biotic","Transboundary unclear","Biophysical","Intervention","Potentially relevant","save for other sections","Original_study"
"40","Strategies to mitigate shifts in red oak (Quercus sect. Lobatae) distribution under a changing climate","Rauschendorfer, J.; Rooney, R.; Külheim, C.","Red oaks (Quercus sect. Lobatae) are a taxonomic group of hardwood trees, which occur in swamp forests, subtropical chaparral and savannahs from Columbia to Canada. They cover a wide range of ecological niches, and many species are thought to be able to cope with current trends in climate change. Genus Quercus encompasses ca. 500 species, of which ca. 80 make up sect. Lobatae. Species diversity is greatest within the southeastern USA and within the northern and eastern regions of Mexico. This review discusses the weak reproductive barriers between species of red oaks and the effects this has on speciation and niche range. Distribution and diversity have been shaped by drought adaptations common to the species of sect. Lobatae, which enable them to fill various xeric niches across the continent. Drought adaptive traits of this taxonomic group include deciduousness, deep tap roots, ring-porous xylem, regenerative stump sprouting, greater leaf thickness and smaller stomata. The complex interplay between these anatomical and morphological traits has given red oaks features of drought tolerance and avoidance. Here, we discuss physiological and genetic components of these adaptations to address how many species of sect. Lobatae reside within xeric sites and/or sustain normal metabolic function during drought. Although extensive drought adaptation appears to give sect. Lobatae a resilience to climate change, aging tree stands, oak life history traits and the current genetic structures place many red oak species at risk. Furthermore, oak decline, a complex interaction between abiotic and biotic agents, has severe effects on red oaks and is likely to accelerate species decline and fragmentation. We suggest that assisted migration can be used to avoid species fragmentation and increase climate change resilience of sect. Lobatae.",2022,"DEC","Tree Physiology","42","12","2383-2400","WOS:000852702600001","10.1093/treephys/tpac090","","#10070","Rauschendorfer 2022","Elliott Parsons (2024-11-15 06:19:32)(Select): yes review, flow = biotic (oak trees), biodiversity (yes, but related mostly to oaks), climate change impact - as far as I can tell, only on the consideration of whether to use assisted migration for some oak species (see Fig. 4). So this is a theoretical - not an actual flow and impact. Also hard to tell about cross-border movement - the map in fig. 4 shows just US, and just range centroids - the top one may include Canada, but not sure.; Meagan Oldfather (2024-10-09 04:26:26)(Select): Red oak range shifts and introgression with climate change; ","Biotic",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"41","Climate change impacts on fire regimes and key ecosystem services in Rocky Mountain forests","Rocca, M. E.; Brown, P. M.; MacDonald, L. H.; Carrico, C. M.","Forests and woodlands in the central Rocky Mountains span broad gradients in climate, elevation, and other environmental conditions, and therefore encompass a great diversity of species, ecosystem productivities, and fire regimes. The objectives of this review are: (1) to characterize the likely short- and longer-term effects of projected climate changes on fuel dynamics and fire regimes for four generalized forest types in the Rocky Mountain region; (2) to review how these changes are likely to affect carbon sequestration, water resources, air quality, and biodiversity; and (3) to assess the suitability of four different management alternatives to mitigate these effects and maintain forest ecosystem services. Current climate projections indicate that temperatures will increase in every season; forecasts for precipitation are less certain but suggest that the northern part of the region but not the southern part will experience higher annual precipitation. The increase in temperatures will result in a greater proportion of winter precipitation falling as rain, earlier spring snowmelt, and a consequential increase in the length and severity of fire seasons. Fire frequency is likely to increase in the short term in all areas because of the warmer, longer, and drier fire seasons, but this change is likely to lead to a longer-term reduction in vegetation productivity in some of the most moisture-limited forest types, such as pH-ion-juniper and lower montane. This will decrease fuel accumulation rates and consequently reduce fire risk and result in longer fire return intervals. We consider four main management alternatives: fire suppression, wildfire (no intervention), prescribed fire, and mechanical thinning. The paper summarizes the effects of these treatments on forest ecosystem services, showing that they vary widely by forest type. This broad-scale assessment provides general guidance for forest managers and policy makers, and identifies more specific research needs on how climate-driven changes in fuel production and forest conditions will affect impact the four main forest ecosystems across the central Rocky Mountain region. (C) 2014 Elsevier B.V. All rights reserved.",2014,"SEP 1","Forest Ecology and Management","327","","290-305","WOS:000340852800031","10.1016/j.foreco.2014.04.005","","#10294","Rocca 2014","Elliott Parsons (2024-11-02 12:36:47)(Select): I could not find a flow in this article - wildfire is not one of our flows (if it was then I would include this). But no flows going across borders as far as I can see (it has everything else).; Tyler McIntosh (2024-08-28 05:28:25)(Select): c1: yes
c2: yes - shifts in fire regimes
c3: yes
c4: yes
c5: highlights the Northern Rockies of the US (i.e. MT/ID) as a hotspot for fire regime shifts under climate change. Given border with Canada in this location, including.; ","Biophysical; Biotic",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"42","The <i>Boechera</i> model system for evolutionary ecology","Rushworth, C. A.; Wagner, M. R.; Mitchell-Olds, T.; Anderson, J. T.","Model systems in biology expand the research capacity of individuals and the community. Closely related to Arabidopsis, the genus Boechera has emerged as an important ecological model owing to the ability to integrate across molecular, functional, and eco-evolutionary approaches. Boechera species are broadly distributed in relatively undisturbed habitats predominantly in western North America and provide one of the few experimental systems for identification of ecologically important genes through genome-wide association studies and investigations of selection with plants in their native habitats. The ecologically, evolutionarily, and agriculturally important trait of apomixis (asexual reproduction via seeds) is common in the genus, and field experiments suggest that abiotic and biotic environments shape the evolution of sex. To date, population genetic studies have focused on the widespread species B. stricta, detailing population divergence and demographic history. Molecular and ecological studies show that balancing selection maintains genetic variation in similar to 10% of the genome, and ecological trade-offs contribute to complex trait variation for herbivore resistance, flowering phenology, and drought tolerance. Microbiome analyses have shown that host genotypes influence leaf and root microbiome composition, and the soil microbiome influences flowering phenology and natural selection. Furthermore, Boechera offers numerous opportunities for investigating biological responses to global change. In B. stricta, climate change has induced a shift of >2 weeks in the timing of first flowering since the 1970s, altered patterns of natural selection, generated maladaptation in previously locally-adapted populations, and disrupted life history trade-offs. Here we review resources and results for this eco-evolutionary model system and discuss future research directions.",2022,"NOV","American Journal of Botany","109","11","1939-1961","WOS:000882464000001","10.1002/ajb2.16090","","#10495","Rushworth 2022","Alice Gaalswyk (2024-10-26 03:58:14)(Select): reasonable transboundary assumption: diversity of species across western North America is mentioned multiple times, could be relevant for understanding how changing climate in this region is impacting transboundary species ; ","Biotic; Transboundary unclear",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"43","Spatial and temporal heterogeneity in climate change limits species' dispersal capabilities and adaptive potential","Senner, N. R.; Stager, M.; Cheviron, Z. A.","Global climate change has already caused local declines and extinctions. These losses are generally thought to occur because climate change is progressing too rapidly for populations to keep pace. Based on this hypothesis, numerous predictive frameworks have been developed to project future range shifts and changes in population dynamics resulting from global climate change. However, recent empirical work has demonstrated that seasonally asynchronous climate change regimes - when a region is warming during some parts of the year, but cooling in others - are constraining species' responses to climate change more strongly than rapid warming, leading to intra-specific variation in responses to climate change and local population declines. Here, we couple a review of the literature related to asynchronous climate change regimes with meta-population simulations and an analysis of long-term North American climate trends to show that seasonally asynchronous regimes are occurring throughout most of North America and that their current spatial distribution may be a strong barrier to dispersal and gene flow across many species' ranges. Thus, even though adaptation to climate change may potentially be more common and rapid than previously thought, species whose ranges overlap with asynchronous regimes will likely succumb to local declines that may be difficult to mitigate via dispersal. Future climate-related predictive frameworks should therefore incorporate asynchronous regimes as well as more traditional measures of climate velocity in order to fully capture the array of potential future climate change scenarios.",2018,"NOV","Ecography","41","9","1428-1440","WOS:000443303200002","10.1111/ecog.03234","","#10992","Senner 2018","Elliott Parsons (2024-11-14 13:03:58)(Select): Paper is a review but also an original research study - climate impacts yes, flow yes (migratory birds), the biodiversity impact is to the populations of the migratory birds (Hudsonian godwit) - which has a phenological mismatch due to climate change. So I will include this, but I could not find any other biodiversity impacts (i.e., what effects declining L. haemastica has on the community).; ","Biotic",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"44","Spatial Ecology of Atlantic Halibut across the Northwest Atlantic: A Recovering Species in an Era of Climate Change","Shackell, N. L.; Fisher, J. A. D.; den Heyer, C. E.; Hennen, D. R.; Seitz, A. C.; Le Bris, A.; Robert, D.; Kersula, M. E.; Cadrin, S. X.; McBride, R. S.; McGuire, C. H.; Kess, T.; Ransier, K. T.; Liu, C.; Czich, A.; Frank, K. T.","Interactions between spatial dynamics and stock structure in marine fishes have largely focused on stocks in decline; stock structure is rarely re-visited for expanding species. Here, the spatial ecology of Atlantic halibut (Hippoglossus hippoglossus L.), managed as four stocks in the Northwest Atlantic, is reviewed. Halibut collapsed under high exploitation in the mid-19th century, but the Canadian fisheries value has increased seven-fold since the early 2000s. Atlantic halibut's thermal habitat has increased due to warming, possibly contributing to its expansion. Genomic evidence differentiates two populations in the four management units, whereas there is non-genetic spatial structure within each of the stock boundaries. There are different core juvenile areas and a diversity of spawning migration patterns influenced by timing, fish size, maturity state, and distance between summer-feeding and over-wintering habitats. From tagging studies, multiple estimates of median distance at recapture (similar to 3-90 km) are much less than the spatial domain of each stock. Growth rates are faster in the warmer south, as predicted by growing degree day. The current perspective of Atlantic halibut spatial structure is that there are two distinct populations, and within each, there are subpopulations composed of multiple migratory contingents. The level of mixing on common spawning grounds both among and within subpopulations is only partly understood.",2022,"JUN 30","REVIEWS IN FISHERIES SCIENCE & AQUACULTURE","30","3","281-305","WOS:000675708100001","10.1080/23308249.2021.1948502","","#11030","Shackell 2022","Anabel Kinsey (2024-10-27 06:13:56)(Select): Expansion in habitat due to warming -> example of a flow, definitely near US-CA border; ","Biotic; Transboundary unclear",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"45","The impact and implications of climate change for bats","Sherwin, H. A.; Montgomery, W. I.; Lundy, M. G.","Climate influences the biogeography of bats, their access to food, timing of hibernation, reproduction and development, frequency and duration of torpor and rate of energy expenditure. Empirical data on the impact of climate change on bats are a cause for concern as current increases in global temperature are one fifth, or less, of those expected over the next century. We review observed impacts of climate change on bats and identify risk factors allowing species-specific predictions. The impact on species is reviewed in relation to six aspects, namely foraging, roosting, reproduction, biogeography, extreme weather events and indirect effects of climate change. For some aspects of species' ecology, there are insufficient data available to make accurate assessment of impacts. We identify seven risk factors encompassing three broad aspects: biogeography - small range size, high latitude or high altitude range and a range occupying a geographic area likely to become water stressed; foraging niche - frugivory and species restricted to aerial hawking; dispersal ability - species with restricted dispersal behaviour. We use the European and north-west African bats as a case study to assess the relative risk of climate change to individual species. Risk scores are compared with existing International Union for Conservation of Nature conservation assessments providing further insight into the conservation outlook for individual species. We provide a base for Chiroptera to be incorporated into future frameworks of risk assessment and identify areas that require further research.",2013,"JUL","Mammal Review","43","3","171-182","WOS:000319982700002","10.1111/j.1365-2907.2012.00214.x","","#11129","Sherwin 2013","Elliott Parsons (2024-11-09 13:39:27)(Select): Review yes, climate change yes, flow yes (bats - biotic flow), and range shifting/expansion mentioned multiple times but not in North America. America mentioned a few times but not in reference to transboundary flows. This is of general importance and likely everything applies to North America, but nothing concrete.; Anabel Kinsey (2024-10-19 14:19:04)(Select): The biogeography section has some great information on northward shifts that seem to be more for Europe, but may be able to be extrapolated as a potential for NA. Also, in the indirect effects risk factor section, specifically NA is mentioned as being at risk for increased disease incidence due to changing climate. ; ","Biotic; Potentially relevant; Transboundary unclear",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"46","Climate change-driven range losses among bumblebee species are poised to accelerate","Sirois-Delisle, C.; Kerr, J. T.","Climate change has shaped bee distributions over the past century. Here, we conducted the first species-specific assessment of future climate change impacts on North American bumblebee distributions, using the most recent global change scenarios developed in the Fifth Assessment Report of the Intergovernmental Panel on Climate Change (IPCC). We assessed potential shifts in bumblebee species distributions with models generated using Maxent. We tested different assumptions about bumblebee species' dispersal capacities, drawing on observed patterns of range shifts to date, dispersal rates observed for bumblebee queens, and, lastly, assuming unlimited dispersal. Models show significant contractions of current ranges even under scenarios in which dispersal rates were high. Results suggest that dispersal rates may not suffice for bumblebees to track climate change as rapidly as required under any IPCC scenario for future climate change. Areas where species losses are projected overlap for many species and climate scenarios, and are concentrated in eastern parts of the continent. Models also show overlap for range expansions across many species, suggesting the presence of """"hotspots"""" where management activities could benefit many species, across all climate scenarios. Broad-scale strategies are likely to be necessary to improve bumblebee conservation prospects under climate change.",2018,"OCT 18","Scientific Reports","8","","","WOS:000447589700001","10.1038/s41598-018-32665-y","","#11350","Sirois-Delisle 2018","Anabel Kinsey (2024-10-27 06:03:55)(Select): Figure 3 shows species gain in a transboundary area of US-CA;","Biotic; Original study",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"47","Effects of climate change on the distribution of invasive alien species in Canada: a knowledge synthesis of range change projections in a warming world","Smith, A. L.; Hewitt, N.; Klenk, N.; Bazely, D. R.; Yan, N.; Wood, S.; Henriques, I.; MacLellan, J. I.; Lipsig-Mummé, C.","The interactive effects of climate change and invasive alien species (IAS) pose serious threats to biodiversity, ecosystems and human well-being worldwide. In particular, IAS are predicted to experience widespread changes in distribution in response to climate change, with many expanding their ranges into new areas. However, the two drivers of global change are seldom considered together in policy and management. We conducted a knowledge synthesis to assess the state of research on IAS range shifts under climate change in Canada. We found that the study of IAS distribution changes caused by climate change is a relatively new field of inquiry that integrates research in the areas of ecology, conservation biology, and environmental sciences. The multidisciplinary dimensions of the issue are largely overlooked in the scholarly literature, with most studies having a purely natural science perspective. Very little original research has occurred in the field to date; instead literature reviews are common. Research focuses on modeling range changes of current IAS threats, rather than predicting potential future IAS threats. The most commonly studied IAS already occur in Canada as native species that have spread beyond their range (e. g., lyme disease, mountain pine beetle, smallmouth bass) or as established invaders (e. g., gypsy moth). All of these IAS are expected to expand northward with climate change, resulting in widespread negative impacts on forest and freshwater biodiversity, carbon sequestration, and public health. Many barriers to predicting IAS range change under climate change are identified in the literature, including the complexity of the issue, lack of ecological data, and failure to integrate climate change - IAS interactions into research, policy, and management. Recommendations for increased research and monitoring, and the need for policy and management reform predominate in the literature.",2012,"","Environmental Reviews","20","1","1-16","WOS:000301867500002","10.1139/A11-020","","#11398","Smith 2012","Meagan Oldfather (2024-10-05 07:49:04)(Select): Very relevant discussion of IAS in Canada - examples of species coming from US;","Biotic; Transboundary unclear",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"48","California Serogroup Viruses in a Changing Canadian Arctic: A Review","Snyman, J.; Snyman, L. P.; Buhler, K. J.; Villeneuve, C. A.; Leighton, P. A.; Jenkins, E. J.; Kumar, A.","The Arctic is warming at four times the global rate, changing the diversity, activity and distribution of vectors and associated pathogens. While the Arctic is not often considered a hotbed of vector-borne diseases, Jamestown Canyon virus (JCV) and Snowshoe Hare virus (SSHV) are mosquito-borne zoonotic viruses of the California serogroup endemic to the Canadian North. The viruses are maintained by transovarial transmission in vectors and circulate among vertebrate hosts, both of which are not well characterized in Arctic regions. While most human infections are subclinical or mild, serious cases occur, and both JCV and SSHV have recently been identified as leading causes of arbovirus-associated neurological diseases in North America. Consequently, both viruses are currently recognised as neglected and emerging viruses of public health concern. This review aims to summarise previous findings in the region regarding the enzootic transmission cycle of both viruses. We identify key gaps and approaches needed to critically evaluate, detect, and model the effects of climate change on these uniquely northern viruses. Based on limited data, we predict that (1) these northern adapted viruses will increase their range northwards, but not lose range at their southern limits, (2) undergo more rapid amplification and amplified transmission in endemic regions for longer vector-biting seasons, (3) take advantage of northward shifts of hosts and vectors, and (4) increase bite rates following an increase in the availability of breeding sites, along with phenological synchrony between the reproduction cycle of theorized reservoirs (such as caribou calving) and mosquito emergence.",2023,"JUN","VIRUSES-BASEL","15","6","","WOS:001017866600001","10.3390/v15061242","","#11455","Snyman 2023","","Biotic",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"49","Worldwide status of burbot and conservation measures","Stapanian, M. A.; Paragamian, V. L.; Madenjian, C. P.; Jackson, J. R.; Lappalainen, J.; Evenson, M. J.; Neufeld, M. D.","Although burbot (Lota lota Gadidae) are widespread and abundant throughout much of their natural range, there are many populations that have been extirpated, endangered or are in serious decline. Due in part to the species' lack of popularity as a game and commercial fish, few regions consider burbot in management plans. We review the worldwide population status of burbot and synthesize reasons why some burbot populations are endangered or declining, some burbot populations have recovered and some burbot populations do not recover despite management measures. Burbot have been extirpated in much of Western Europe and the United Kingdom and are threatened or endangered in much of North America and Eurasia. Pollution and habitat change, particularly the effects of dams, appear to be the main causes for declines in riverine burbot populations. Pollution and the adverse effects of invasive species appear to be the main reasons for declines in lacustrine populations. Warmer water temperatures, due either to discharge from dams or climate change, have been noted in declining burbot populations at the southern extent of their range. Currently, fishing pressure does not appear to be limiting burbot populations world-wide. We suggest mitigation measures for burbot population recovery, particularly those impacted by dams and invasive species.",2010,"MAR","Fish and Fisheries","11","1","34-56","WOS:000274452100003","10.1111/j.1467-2979.2009.00340.x","","#11627","Stapanian 2010","","Biotic; Intervention",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"50","Species migrations and range shifts: A synthesis of causes and consequences","Tomiolo, S.; Ward, D.","In increasingly changing environments, plant species are forced to either adapt to novel conditions or shift their ranges to track their ecological niches. Those species that can successfully track their niche may minimize extinction risks. However, establishment of new species into recipient communities will lead to species rearrangement and novel biotic interactions. Currently, we have a limited understanding of how these processes affect communities and ecosystems. In this review we synthesize current knowledge on range-expanding species. We start with addressing the many terms used for describing different aspects of range expansions, such as native-invasive, encroachers, and intra-continental invasive species. Thereafter, we describe the factors driving range expansions, and the effects on recipient communities and at the ecosystem level. Our research indicates that, similar to the study of biological invasions, current knowledge on range expansions is highly biased, with most of the studies focusing on Europe and North America. A large part of the available research targets trees and shrubs and the most investigated habitats are grasslands, savannas and high-elevation habitats. One potential consequence of such research bias is that range expansion of many herbaceous species (especially of those species not important for agriculture) may go undetected. Another important finding is that the same factor may promote or hinder range expansion depending on habitat, life form, spatial and temporal scale at which the process is studied. Finally, while many range expansions have negative consequences on local biodiversity and community stability, some of them have positive effects (e.g. mangroves). Although an increasing number of studies investigated the effects of range expansion on recipient communities, our research indicates that we still have a limited knowledge of such processes. Future efforts should integrate both empirical and modeling approaches to disentangle the joint effects of biotic, abiotic and anthropogenic factors on range expansion. Such research should focus both on the immediate-and longer-term implications of range expansions.",2018,"AUG","PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS","33","","62-77","WOS:000439670800007","10.1016/j.ppees.2018.06.001","","#12207","Tomiolo 2018","Elliott Parsons (2024-11-14 11:48:55)(Select): Here is a relevant section: """"The term intra-continental
range expansions or intra-continental invasions (Morriën et al., 2010) is usually adopted in the context of range expansions occurring on a large scale across adjacent countries within a same continent."""" 
I am going to include because, climate change included, lots on species migration/range shifts, North America centered prominently in the synthesis, and there is even a term for cross-border expansions (see above).; ","Biotic",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"51","Arctic Aerosols","Udisti, R.; Traversi, R.; Becagli, S.; Tomasi, C.; Mazzola, M.; Lupi, A.; Quinn, P. K.; Kokhanovsky, A.; Tomasi, C.","Aerosols play an important role in the climatic system through their direct and indirect effects on radiation. Beside this, they are also part of the complex chain of chemical reactions taking place in the atmosphere. Indirect effects involve aerosols acting as cloud and ice condensation nuclei, brightening of clouds, modification of precipitation capabilities etc. After deposition, they also change reflectivity properties of bright surfaces, particularly important in polar regions. In the Artic few natural aerosol sources exist, except oceans for sea-salt and soil for dust, both of them increasing in magnitude due to global warming. Beside this, anthropogenic aerosols are easily transported to the Arctic by atmospheric transport from middle latitudes, in particular during winter and early spring, forming the so-called Artic Haze. In this contribution the processes causing the development of Arctic Haze and its characteristics are introduced. Following, a review of the physical and optical properties as well as chemical composition of Arctic aerosols are reviewed using data obtained from numerous monitoring stations in the Arctic.",2020,"","PHYSICS AND CHEMISTRY OF THE ARCTIC ATMOSPHERE","","","209-329","WOS:000679977700005","10.1007/978-3-030-33566-3_410.1007/978-3-030-33566-3","","#12365","Udisti 2020","Elliott Parsons (2024-10-30 15:36:52)(Select): This paper is mainly about pollution (aerosols), moving over the arctic from other places around the world - due to a variety of pollution producing activities. Climate change has an impact, and the aerosols can affect surface temperature (and therefore likely biota). The book chapter talks about composition of the aerosols, and how the aerosols can affect things like primary production. I was able to view most of pages 209-257 on Google Books, but then I reached the limit. But I saw enough to think this should be included.; ","Biophysical",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"52","Interannual and spatial impacts of phenological transitions, growing season length, and spring and autumn temperatures on carbon sequestration: A North America flux data synthesis","Wu, C. Y.; Gonsamo, A.; Chen, J. M.; Kurz, W. A.; Price, D. T.; Lafleur, P. M.; Jassal, R. S.; Dragoni, D.; Bohrer, G.; Gough, C. M.; Verma, S. B.; Suyker, A. E.; Munger, J. W.","Understanding feedbacks of ecosystem carbon sequestration to climate change is an urgent step in developing future ecosystem models. Using 187 site-years of flux data observed at 24 sites covering three plant functional types (i.e. evergreen forests (EF), deciduous forests (DF) and non-forest ecosystems (NF) (e.g., crop, grassland, wetland)) in North America, we present an analysis of both interannual and spatial relationships between annual net ecosystem production (NEP) and phenological indicators, including the flux-based carbon uptake period (CUP) and its transitions, degree-day-derived growing season length (GSL), and spring and autumn temperatures. Diverse responses were acquired between annul NEP and these indicators across PFTs. Forest ecosystems showed consistent patterns and sensitivities in the responses of annual NEP to CUP and its transitions both interannually and spatially. The NF ecosystems, on the contrary, exhibited different trends between interannual and spatial relationships. The impact of CUP onset on annual NEP in NF ecosystems was interannually negative but spatially positive. Generally, the GSL was observed to be a likely good indicator of annual NEP for all PFTs both interannually and spatially, although with relatively moderate correlations in NF sites. Both spring and autumn temperatures were positively correlated with annual NEP across sites while this potential was greatly reduced temporally with only negative impacts of autumn temperature on annual NEP in DF sites. Our analysis showed that DF ecosystems have the highest efficiency in accumulating NEP from warmer spring temperature and prolonged GSL, suggesting that future climate warming will favor deciduous species over evergreen species, and supporting the earlier observation that ecosystems with the greatest net carbon uptake have the longest GSL (C) 2012 Elsevier B.V. All rights reserved.",2012,"JUL","Global and Planetary Change","92-93","","179-190","WOS:000307031000017","10.1016/j.gloplacha.2012.05.021","","#13311","Wu 2012","Laura  Dee (2025-04-16 04:37:08)(Select): impacts within places across North America from flux towers.

"""" Understanding feedbacks of ecosystem carbon sequestration to climate change is an urgent step in developing future ecosystem models. Using 187 site-years of flux data observed at 24 sites covering three plant functional types (i.e. evergreen forests (EF), deciduous forests (DF) and non-forest ecosystems (NF) (e.g., crop, grassland, wetland)) in North America, we present an analysis of both interannual and spatial relationships between annual net ecosystem production (NEP) and phenological indicators, including the flux-based carbon uptake period (CUP) and its transitions, degree-day-derived growing season length (GSL), and spring and autumn temperatures."""" ; ","Biotic",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"53","The Original Scientific Description of the Lone Star Tick (Amblyomma americanum, Acari: Ixodidae) and Implications for the Species' Past and Future Geographic Distributions","Rochlin, Ilia; Egizi, Andrea; Lindstrom, Anders ","Amblyomma americanum L. is an important vector in North America originally described by Linnaeus based on Pehr Kalm's 1754 report. While Kalm's 'Travels into North America' is well known, his 1754 report remains obscure. Some authors were skeptical that Kalm referred to A. americanum because he encountered them at sites farther north outside of the species' range. However, the details in 1754 report leave no doubt that Kalm described lone star ticks. In this historical review, we provide support for Kalm's identification using a modern translation of his 1754 report and other sources. We also delineate distributional changes of lone star ticks from the pre-colonization era to the present and interpret them in the context of large-scale anthropogenic changes in the landscape. In this framework, the lone star tick's current northward expansion is a recolonization of their former range. Extensive deforestation and extirpation of their principal host species, white-tailed deer, led to A. americanum's disappearance from the northern parts of its range by the 20th century. Subsequent recolonization by second-growth forest and increases in white-tailed deer populations by the mid-20th century is now allowing A. americanum to reclaim its former range.These changes in the land appear to be the driving force behind A. americanum's present expansion. Understanding this species' history and the factors contributing to its current expansion will enable better predictions about its future distribution and potential to transmit human pathogens. ",2022,"/","Journal of medical entomology.","59","2","412-420","","10.1093/jme/tjab215","IND607784287","#14533","Rochlin 2022","","Biotic",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"54","The effects of climate change on water resources in the west: introduction and overview","Barnett, T.; Malone, R.; Pennell, W.; Stammer, D.; Semtner, B.; Washington, W.","The results of an experimental 'end to end' assessment of the effects of climate change on water resources in the western United States are described. The assessment focuses on the potential effects of climate change over the first half of the 21st century on the Columbia, Sacramento/San Joaquin, and Colorado river basins. The paper describes the methodology used for the assessment, and it summarizes the principal findings of the study. The strengths and weaknesses of this study are discussed, and suggestions are made for improving future climate change assessments.",2004,"","Special Issue: The effects of climate change on water resources in the West","62","1/3","1-11","","http://dx.doi.org/10.1023/B:CLIM.0000013695.21726.b8","","#16434","Barnett 2004","Elliott Parsons (2024-11-06 08:17:51)(Select): flow = water, transboundary not clear.; ","Biophysical; Transboundary unclear",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"55","Resilience of cold water aquaculture: a review of likely scenarios as climate changes in the gulf of Maine","Bricknell, I. R.; Birkel, S. D.; Brawley, S. H.; Kirk, T. van; Hamlin, H. J.; Capistrant-Fossa, K.; Huguenard, K.; Walsum, G. P. van; Liu, Z. L.; Zhu, L. H.; Grebe, G.; Taccardi, E.; Miller, M.; Preziosi, B. M.; Duffy, K.; Byron, C. J.; Quigley, C. T. C.; Bowden, T. J.; Brady, D.; Beal, B. F.; Sappati, P. K.; Johnson, T. R.; Moeykens, S.","Climate change is one of the biggest challenges facing development and continuation of sustainable aquaculture in temperate regions. We primarily consider the ecological and physical resilience of aquaculture in the Gulf of Maine (GoM), where a thriving industry includes marine algae, extensive and intensive shellfish aquaculture, and a well-established Atlantic salmon industry, as well as the infrastructure required to support these economically important ventures. The historical record of sea surface temperature in the GoM, estimated from gridded, interpolated in situ measurements, shows considerable interannual and decade-scale variability superimposed on an overall warming trend. Climate model projections of sea surface temperature indicate that the surface waters in the GoM could warm 0.5-3.5 degrees C beyond recent values by the year 2100. This suggests that, while variability will continue, anomalous warmth of marine heatwaves that have been observed in the past decade could become the norm in the GoM ca. 2050, but with the most significant impacts to existing aquaculture along the southernmost region of the coast. We consider adaptations leading to aquacultural resilience despite the effects of warming, larger numbers of harmful nonindigenous species (including pathogens and parasites), acidification, sea-level rise, and more frequent storms and storm surges. Some new species will be needed, but immediate attention to adapt existing species (e.g. preserve/define wild biodiversity, breed for temperature tolerance and incorporate greater husbandry) and aquaculture infrastructure can be successful. We predict that these measures and continued collaboration between industry, stakeholders, government and researchers will lead to sustaining a vibrant working waterfront in the GoM.",2021,"","Reviews in Aquaculture","13","1","460-765","","http://dx.doi.org/10.1111/raq.12483","","#16872","Bricknell 2021","Alice Gaalswyk (2024-11-22 05:39:46)(Select): Gulf of Maine is a transboundary body of water so reasonable transboundary assumption ;","Biotic; Transboundary unclear",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
