"","driver","altered_flow","impact","count_driver_alteration","count_driver_altflow_bdimpact","count_driver_impact","alteration","direction","count_alteredflow_impact"
"983","Climate change  generic ","Quantity","Loss",79,28,180,"Complex change","Increase",157
"984","Climate change  generic ","Direction","Loss",224,19,180,"Complex change","Increase",129
"985","Climate change  generic ","Location","Loss",272,25,180,"Complex change","Increase",135
"986","Climate change  generic ","Speed","Loss",110,16,180,"Increase","Increase",85
"987","Climate change  generic ","Feedbacks","Loss",206,16,180,"Complex change","Increase",101
"988","Drought","Quantity","Abundance",30,27,153,"Complex change","Complex change",284
"989","Drought","Direction","Abundance",124,18,153,"Complex change","Complex change",179
"990","Drought","Location","Abundance",148,22,153,"Complex change","Complex change",224
"991","Drought","Speed","Abundance",68,10,153,"Increase","Complex change",111
"992","Drought","Feedbacks","Abundance",101,14,153,"Complex change","Complex change",170
"993","Drought","Quantity","Composition",30,16,88,"Complex change","Complex change",191
"994","Drought","Direction","Composition",124,10,88,"Complex change","Complex change",132
"995","Drought","Location","Composition",148,14,88,"Complex change","Complex change",146
"996","Drought","Speed","Composition",68,5,88,"Increase","Complex change",76
"997","Drought","Feedbacks","Composition",101,8,88,"Complex change","Complex change",114
"998","Drought","Quantity","Loss",30,15,109,"Complex change","Increase",157
"999","Drought","Direction","Loss",124,13,109,"Complex change","Increase",129
"1000","Drought","Location","Loss",148,14,109,"Complex change","Increase",135
"1001","Drought","Speed","Loss",68,9,109,"Increase","Increase",85
"1002","Drought","Feedbacks","Loss",101,10,109,"Complex change","Increase",101
"1003","Air temperature directional change","Quantity","Abundance",50,45,229,"Complex change","Complex change",284
"1004","Air temperature directional change","Direction","Abundance",163,20,229,"Complex change","Complex change",179
"1005","Air temperature directional change","Location","Abundance",200,32,229,"Complex change","Complex change",224
"1006","Air temperature directional change","Speed","Abundance",89,14,229,"Increase","Complex change",111
"1007","Air temperature directional change","Feedbacks","Abundance",126,21,229,"Complex change","Complex change",170
"1008","Air temperature directional change","Quantity","Composition",50,37,205,"Complex change","Complex change",191
"1009","Air temperature directional change","Direction","Composition",163,21,205,"Complex change","Complex change",132
"1010","Air temperature directional change","Location","Composition",200,29,205,"Complex change","Complex change",146
"1011","Air temperature directional change","Speed","Composition",89,13,205,"Increase","Complex change",76
"1012","Air temperature directional change","Feedbacks","Composition",126,20,205,"Complex change","Complex change",114
"1013","Air temperature directional change","Quantity","Loss",50,20,114,"Complex change","Increase",157
"1014","Air temperature directional change","Direction","Loss",163,14,114,"Complex change","Increase",129
"1015","Air temperature directional change","Location","Loss",200,16,114,"Complex change","Increase",135
"1016","Air temperature directional change","Speed","Loss",89,8,114,"Increase","Increase",85
"1017","Air temperature directional change","Feedbacks","Loss",126,10,114,"Complex change","Increase",101
"1018","Precipitation directional change","Quantity","Abundance",44,31,191,"Complex change","Complex change",284
"1019","Precipitation directional change","Direction","Abundance",149,21,191,"Complex change","Complex change",179
"1020","Precipitation directional change","Location","Abundance",169,26,191,"Complex change","Complex change",224
"1021","Precipitation directional change","Speed","Abundance",78,11,191,"Increase","Complex change",111
"1022","Precipitation directional change","Feedbacks","Abundance",123,18,191,"Complex change","Complex change",170
"1023","Precipitation directional change","Quantity","Composition",44,19,120,"Complex change","Complex change",191
"1024","Precipitation directional change","Direction","Composition",149,14,120,"Complex change","Complex change",132
"1025","Precipitation directional change","Location","Composition",169,18,120,"Complex change","Complex change",146
"1026","Precipitation directional change","Speed","Composition",78,8,120,"Increase","Complex change",76
"1027","Precipitation directional change","Feedbacks","Composition",123,11,120,"Complex change","Complex change",114
"1028","Precipitation directional change","Quantity","Loss",44,18,123,"Complex change","Increase",157
"1029","Precipitation directional change","Direction","Loss",149,15,123,"Complex change","Increase",129
"1030","Precipitation directional change","Location","Loss",169,16,123,"Complex change","Increase",135
"1031","Precipitation directional change","Speed","Loss",78,11,123,"Increase","Increase",85
"1032","Precipitation directional change","Feedbacks","Loss",123,12,123,"Complex change","Increase",101
"1033","Climate change  generic ","Location","Abundance",272,46,350,"Complex change","Decrease",224
"1034","Climate change  generic ","Location","Loss",272,25,180,"Complex change","Decrease",135
"1035","Air temperature directional change","Location","Abundance",200,32,229,"Complex change","Decrease",224
"1036","Air temperature directional change","Location","Loss",200,16,114,"Complex change","Decrease",135
"1037","Precipitation directional change","Location","Abundance",169,26,191,"Complex change","Decrease",224
"1038","Precipitation directional change","Location","Loss",169,16,123,"Complex change","Decrease",135
"1039","Precipitation variability","Location","Abundance",122,19,166,"Complex change","Decrease",224
"1040","Precipitation variability","Location","Loss",122,13,109,"Complex change","Decrease",135
"1041","Climate change  generic ","Quantity","Abundance",214,60,350,"Increase","Increase",284
"1042","Climate change  generic ","Location","Abundance",272,46,350,"Complex change","Increase",224
"1043","Climate change  generic ","Duration","Abundance",120,32,350,"Increase","Increase",170
"1044","Climate change  generic ","Quantity","Composition",214,44,251,"Increase","Complex change",191
"1045","Climate change  generic ","Location","Composition",272,28,251,"Complex change","Complex change",146
"1046","Climate change  generic ","Duration","Composition",120,26,251,"Increase","Complex change",122
"1047","Climate change  generic ","Quantity","Connectivity",214,22,192,"Increase","No change (measured)",128
"1048","Climate change  generic ","Location","Connectivity",272,21,192,"Complex change","No change (measured)",115
"1049","Climate change  generic ","Duration","Connectivity",120,19,192,"Increase","No change (measured)",116
"1050","Climate change  generic ","Quantity","Loss",214,28,180,"Increase","No change (measured)",157
"1051","Climate change  generic ","Location","Loss",272,25,180,"Complex change","No change (measured)",135
"1052","Climate change  generic ","Duration","Loss",120,15,180,"Increase","No change (measured)",103
"1053","Climate change  generic ","Quantity","Trophic",214,27,185,"Increase","No change (measured)",168
"1054","Climate change  generic ","Location","Trophic",272,22,185,"Complex change","No change (measured)",131
"1055","Climate change  generic ","Duration","Trophic",120,18,185,"Increase","No change (measured)",123
"1056","Drought","Quantity","Abundance",106,27,153,"Increase","Increase",284
"1057","Drought","Location","Abundance",148,22,153,"Complex change","Increase",224
"1058","Drought","Duration","Abundance",62,13,153,"Increase","Increase",170
"1059","Drought","Quantity","Composition",106,16,88,"Increase","Complex change",191
"1060","Drought","Location","Composition",148,14,88,"Complex change","Complex change",146
"1061","Drought","Duration","Composition",62,10,88,"Increase","Complex change",122
"1062","Drought","Quantity","Connectivity",106,11,97,"Increase","No change (measured)",128
"1063","Drought","Location","Connectivity",148,12,97,"Complex change","No change (measured)",115
"1064","Drought","Duration","Connectivity",62,10,97,"Increase","No change (measured)",116
"1065","Drought","Quantity","Loss",106,15,109,"Increase","No change (measured)",157
"1066","Drought","Location","Loss",148,14,109,"Complex change","No change (measured)",135
"1067","Drought","Duration","Loss",62,11,109,"Increase","No change (measured)",103
"1068","Drought","Quantity","Trophic",106,10,77,"Increase","No change (measured)",168
"1069","Drought","Location","Trophic",148,10,77,"Complex change","No change (measured)",131
"1070","Drought","Duration","Trophic",62,8,77,"Increase","No change (measured)",123
"1071","Air temperature directional change","Quantity","Abundance",175,45,229,"Increase","Increase",284
"1072","Air temperature directional change","Location","Abundance",200,32,229,"Complex change","Increase",224
"1073","Air temperature directional change","Duration","Abundance",111,24,229,"Increase","Increase",170
"1074","Air temperature directional change","Quantity","Composition",175,37,205,"Increase","Complex change",191
"1075","Air temperature directional change","Location","Composition",200,29,205,"Complex change","Complex change",146
"1076","Air temperature directional change","Duration","Composition",111,20,205,"Increase","Complex change",122
"1077","Air temperature directional change","Quantity","Connectivity",175,13,118,"Increase","No change (measured)",128
"1078","Air temperature directional change","Location","Connectivity",200,14,118,"Complex change","No change (measured)",115
"1079","Air temperature directional change","Duration","Connectivity",111,13,118,"Increase","No change (measured)",116
"1080","Air temperature directional change","Quantity","Loss",175,20,114,"Increase","No change (measured)",157
"1081","Air temperature directional change","Location","Loss",200,16,114,"Complex change","No change (measured)",135
"1082","Air temperature directional change","Duration","Loss",111,10,114,"Increase","No change (measured)",103
"1083","Air temperature directional change","Quantity","Trophic",175,24,154,"Increase","No change (measured)",168
"1084","Air temperature directional change","Location","Trophic",200,18,154,"Complex change","No change (measured)",131
"1085","Air temperature directional change","Duration","Trophic",111,15,154,"Increase","No change (measured)",123
"1086","Precipitation directional change","Quantity","Abundance",131,31,191,"Increase","Increase",284
"1087","Precipitation directional change","Location","Abundance",169,26,191,"Complex change","Increase",224
"1088","Precipitation directional change","Duration","Abundance",94,19,191,"Increase","Increase",170
"1089","Precipitation directional change","Quantity","Composition",131,19,120,"Increase","Complex change",191
"1090","Precipitation directional change","Location","Composition",169,18,120,"Complex change","Complex change",146
"1091","Precipitation directional change","Duration","Composition",94,15,120,"Increase","Complex change",122
"1092","Precipitation directional change","Quantity","Connectivity",131,13,111,"Increase","No change (measured)",128
"1093","Precipitation directional change","Location","Connectivity",169,13,111,"Complex change","No change (measured)",115
"1094","Precipitation directional change","Duration","Connectivity",94,12,111,"Increase","No change (measured)",116
"1095","Precipitation directional change","Quantity","Loss",131,18,123,"Increase","No change (measured)",157
"1096","Precipitation directional change","Location","Loss",169,16,123,"Complex change","No change (measured)",135
"1097","Precipitation directional change","Duration","Loss",94,12,123,"Increase","No change (measured)",103
"1098","Precipitation directional change","Quantity","Trophic",131,18,118,"Increase","No change (measured)",168
"1099","Precipitation directional change","Location","Trophic",169,14,118,"Complex change","No change (measured)",131
"1100","Precipitation directional change","Duration","Trophic",94,12,118,"Increase","No change (measured)",123
"1101","Climate change  generic ","Quantity","Abundance",214,60,350,"Increase","Increase",284
"1102","Climate change  generic ","Timing","Abundance",72,38,350,"Complex change","Increase",208
"1103","Climate change  generic ","Duration","Abundance",120,32,350,"Increase","Increase",170
"1104","Climate change  generic ","Feedbacks","Abundance",206,33,350,"Complex change","Increase",170
"1105","Climate change  generic ","Quantity","Composition",214,44,251,"Increase","Increase",191
"1106","Climate change  generic ","Timing","Composition",72,27,251,"Complex change","Increase",131
"1107","Climate change  generic ","Duration","Composition",120,26,251,"Increase","Increase",122
"1108","Climate change  generic ","Feedbacks","Composition",206,25,251,"Complex change","Increase",114
"1109","Precipitation directional change","Quantity","Abundance",131,31,191,"Increase","Increase",284
"1110","Precipitation directional change","Timing","Abundance",27,25,191,"Complex change","Increase",208
"1111","Precipitation directional change","Duration","Abundance",94,19,191,"Increase","Increase",170
"1112","Precipitation directional change","Feedbacks","Abundance",123,18,191,"Complex change","Increase",170
"1113","Precipitation directional change","Quantity","Composition",131,19,120,"Increase","Increase",191
"1114","Precipitation directional change","Timing","Composition",27,14,120,"Complex change","Increase",131
"1115","Precipitation directional change","Duration","Composition",94,15,120,"Increase","Increase",122
"1116","Precipitation directional change","Feedbacks","Composition",123,11,120,"Complex change","Increase",114
"1117","Climate change  generic ","Quantity","Abundance",77,60,350,"Decrease","Decrease",284
"1118","Climate change  generic ","Quantity","Connectivity",77,22,192,"Decrease","Complex change",128
"1119","Climate change  generic ","Quantity","Abundance",214,60,350,"Increase","Increase",284
"1120","Climate change  generic ","Location","Abundance",272,46,350,"Complex change","Increase",224
"1121","Climate change  generic ","Distance","Abundance",120,29,350,"Increase","Increase",137
"1122","Climate change  generic ","Frequency","Abundance",105,27,350,"Increase","Increase",132
"1123","Climate change  generic ","Quantity","Abundance",214,60,350,"Increase","Increase",284
"1124","Climate change  generic ","Direction","Abundance",224,33,350,"Complex change","Increase",179
"1125","Climate change  generic ","Location","Abundance",272,46,350,"Complex change","Increase",224
"1126","Climate change  generic ","Timing","Abundance",72,38,350,"Complex change","Increase",208
"1127","Climate change  generic ","Frequency","Abundance",105,27,350,"Increase","Increase",132
"1128","Climate change  generic ","Duration","Abundance",120,32,350,"Increase","Increase",170
"1129","Climate change  generic ","Quantity","Composition",214,44,251,"Increase","Increase",191
"1130","Climate change  generic ","Direction","Composition",224,24,251,"Complex change","Increase",132
"1131","Climate change  generic ","Location","Composition",272,28,251,"Complex change","Increase",146
"1132","Climate change  generic ","Timing","Composition",72,27,251,"Complex change","Increase",131
"1133","Climate change  generic ","Frequency","Composition",105,18,251,"Increase","Increase",81
"1134","Climate change  generic ","Duration","Composition",120,26,251,"Increase","Increase",122
"1135","Air temperature directional change","Quantity","Abundance",175,45,229,"Increase","Increase",284
"1136","Air temperature directional change","Direction","Abundance",163,20,229,"Complex change","Increase",179
"1137","Air temperature directional change","Location","Abundance",200,32,229,"Complex change","Increase",224
"1138","Air temperature directional change","Timing","Abundance",34,31,229,"Complex change","Increase",208
"1139","Air temperature directional change","Frequency","Abundance",86,15,229,"Increase","Increase",132
"1140","Air temperature directional change","Duration","Abundance",111,24,229,"Increase","Increase",170
"1141","Air temperature directional change","Quantity","Composition",175,37,205,"Increase","Increase",191
"1142","Air temperature directional change","Direction","Composition",163,21,205,"Complex change","Increase",132
"1143","Air temperature directional change","Location","Composition",200,29,205,"Complex change","Increase",146
"1144","Air temperature directional change","Timing","Composition",34,24,205,"Complex change","Increase",131
"1145","Air temperature directional change","Frequency","Composition",86,14,205,"Increase","Increase",81
"1146","Air temperature directional change","Duration","Composition",111,20,205,"Increase","Increase",122
"1147","Precipitation directional change","Quantity","Abundance",131,31,191,"Increase","Increase",284
"1148","Precipitation directional change","Direction","Abundance",149,21,191,"Complex change","Increase",179
"1149","Precipitation directional change","Location","Abundance",169,26,191,"Complex change","Increase",224
"1150","Precipitation directional change","Timing","Abundance",27,25,191,"Complex change","Increase",208
"1151","Precipitation directional change","Frequency","Abundance",76,14,191,"Increase","Increase",132
"1152","Precipitation directional change","Duration","Abundance",94,19,191,"Increase","Increase",170
"1153","Precipitation directional change","Quantity","Composition",131,19,120,"Increase","Increase",191
"1154","Precipitation directional change","Direction","Composition",149,14,120,"Complex change","Increase",132
"1155","Precipitation directional change","Location","Composition",169,18,120,"Complex change","Increase",146
"1156","Precipitation directional change","Timing","Composition",27,14,120,"Complex change","Increase",131
"1157","Precipitation directional change","Frequency","Composition",76,9,120,"Increase","Increase",81
"1158","Precipitation directional change","Duration","Composition",94,15,120,"Increase","Increase",122
"1159","Climate change  generic ","Quantity","Abundance",214,60,350,"Increase","Increase",284
"1160","Climate change  generic ","Frequency","Abundance",105,27,350,"Increase","Increase",132
"1161","Climate change  generic ","Duration","Abundance",120,32,350,"Increase","Increase",170
"1162","Climate change  generic ","Quantity","Composition",214,44,251,"Increase","Complex change",191
"1163","Climate change  generic ","Frequency","Composition",105,18,251,"Increase","Complex change",81
"1164","Climate change  generic ","Duration","Composition",120,26,251,"Increase","Complex change",122
"1165","Air temperature directional change","Quantity","Abundance",175,45,229,"Increase","Increase",284
"1166","Air temperature directional change","Frequency","Abundance",86,15,229,"Increase","Increase",132
"1167","Air temperature directional change","Duration","Abundance",111,24,229,"Increase","Increase",170
"1168","Air temperature directional change","Quantity","Composition",175,37,205,"Increase","Complex change",191
"1169","Air temperature directional change","Frequency","Composition",86,14,205,"Increase","Complex change",81
"1170","Air temperature directional change","Duration","Composition",111,20,205,"Increase","Complex change",122
"1171","Precipitation directional change","Quantity","Abundance",131,31,191,"Increase","Increase",284
"1172","Precipitation directional change","Frequency","Abundance",76,14,191,"Increase","Increase",132
"1173","Precipitation directional change","Duration","Abundance",94,19,191,"Increase","Increase",170
"1174","Precipitation directional change","Quantity","Composition",131,19,120,"Increase","Complex change",191
"1175","Precipitation directional change","Frequency","Composition",76,9,120,"Increase","Complex change",81
"1176","Precipitation directional change","Duration","Composition",94,15,120,"Increase","Complex change",122
"1177","Climate change  generic ","Quantity","Abundance",77,60,350,"Decrease","Increase",284
"1178","Climate change  generic ","Timing","Abundance",72,38,350,"Complex change","Increase",208
"1179","Climate change  generic ","Duration","Abundance",11,32,350,"Decrease","Increase",170
"1180","Climate change  generic ","Speed","Abundance",6,23,350,"Decrease","Increase",111
"1181","Climate change  generic ","Feedbacks","Abundance",206,33,350,"Complex change","Increase",170
"1182","Climate change  generic ","Quantity","Composition",77,44,251,"Decrease","Increase",191
"1183","Climate change  generic ","Timing","Composition",72,27,251,"Complex change","Increase",131
"1184","Climate change  generic ","Duration","Composition",11,26,251,"Decrease","Increase",122
"1185","Climate change  generic ","Speed","Composition",6,19,251,"Decrease","Increase",76
"1186","Climate change  generic ","Feedbacks","Composition",206,25,251,"Complex change","Increase",114
"1187","Climate change  generic ","Quantity","Trophic",77,27,185,"Decrease","Increase",168
"1188","Climate change  generic ","Timing","Trophic",72,19,185,"Complex change","Increase",125
"1189","Climate change  generic ","Duration","Trophic",11,18,185,"Decrease","Increase",123
"1190","Climate change  generic ","Speed","Trophic",6,15,185,"Decrease","Increase",85
"1191","Climate change  generic ","Feedbacks","Trophic",206,19,185,"Complex change","Increase",121
"1192","Air temperature directional change","Quantity","Abundance",56,45,229,"Decrease","Increase",284
"1193","Air temperature directional change","Timing","Abundance",34,31,229,"Complex change","Increase",208
"1194","Air temperature directional change","Duration","Abundance",9,24,229,"Decrease","Increase",170
"1195","Air temperature directional change","Speed","Abundance",4,14,229,"Decrease","Increase",111
"1196","Air temperature directional change","Feedbacks","Abundance",126,21,229,"Complex change","Increase",170
"1197","Air temperature directional change","Quantity","Composition",56,37,205,"Decrease","Increase",191
"1198","Air temperature directional change","Timing","Composition",34,24,205,"Complex change","Increase",131
"1199","Air temperature directional change","Duration","Composition",9,20,205,"Decrease","Increase",122
"1200","Air temperature directional change","Speed","Composition",4,13,205,"Decrease","Increase",76
"1201","Air temperature directional change","Feedbacks","Composition",126,20,205,"Complex change","Increase",114
"1202","Air temperature directional change","Quantity","Trophic",56,24,154,"Decrease","Increase",168
"1203","Air temperature directional change","Timing","Trophic",34,18,154,"Complex change","Increase",125
"1204","Air temperature directional change","Duration","Trophic",9,15,154,"Decrease","Increase",123
"1205","Air temperature directional change","Speed","Trophic",4,11,154,"Decrease","Increase",85
"1206","Air temperature directional change","Feedbacks","Trophic",126,15,154,"Complex change","Increase",121
"1207","Drought","Quantity","Abundance",106,27,153,"Increase","Complex change",284
"1208","Drought","Direction","Abundance",124,18,153,"Complex change","Complex change",179
"1209","Drought","Location","Abundance",148,22,153,"Complex change","Complex change",224
"1210","Drought","Frequency","Abundance",56,11,153,"Increase","Complex change",132
"1211","Drought","Quantity","Composition",106,16,88,"Increase","Complex change",191
"1212","Drought","Direction","Composition",124,10,88,"Complex change","Complex change",132
"1213","Drought","Location","Composition",148,14,88,"Complex change","Complex change",146
"1214","Drought","Frequency","Composition",56,6,88,"Increase","Complex change",81
"1215","Air temperature directional change","Quantity","Abundance",175,45,229,"Increase","Complex change",284
"1216","Air temperature directional change","Direction","Abundance",163,20,229,"Complex change","Complex change",179
"1217","Air temperature directional change","Location","Abundance",200,32,229,"Complex change","Complex change",224
"1218","Air temperature directional change","Frequency","Abundance",86,15,229,"Increase","Complex change",132
"1219","Air temperature directional change","Quantity","Composition",175,37,205,"Increase","Complex change",191
"1220","Air temperature directional change","Direction","Composition",163,21,205,"Complex change","Complex change",132
"1221","Air temperature directional change","Location","Composition",200,29,205,"Complex change","Complex change",146
"1222","Air temperature directional change","Frequency","Composition",86,14,205,"Increase","Complex change",81
"1223","Precipitation directional change","Quantity","Abundance",131,31,191,"Increase","Complex change",284
"1224","Precipitation directional change","Direction","Abundance",149,21,191,"Complex change","Complex change",179
"1225","Precipitation directional change","Location","Abundance",169,26,191,"Complex change","Complex change",224
"1226","Precipitation directional change","Frequency","Abundance",76,14,191,"Increase","Complex change",132
"1227","Precipitation directional change","Quantity","Composition",131,19,120,"Increase","Complex change",191
"1228","Precipitation directional change","Direction","Composition",149,14,120,"Complex change","Complex change",132
"1229","Precipitation directional change","Location","Composition",169,18,120,"Complex change","Complex change",146
"1230","Precipitation directional change","Frequency","Composition",76,9,120,"Increase","Complex change",81
"1231","Climate change  generic ","Quantity","Abundance",214,60,350,"Increase","Complex change",284
"1232","Climate change  generic ","Location","Abundance",272,46,350,"Complex change","Complex change",224
"1233","Climate change  generic ","Frequency","Abundance",50,27,350,"Complex change","Complex change",132
"1234","Climate change  generic ","Duration","Abundance",68,32,350,"Complex change","Complex change",170
"1235","Climate change  generic ","Feedbacks","Abundance",206,33,350,"Complex change","Complex change",170
"1236","Climate change  generic ","Quantity","Abundance",79,60,350,"Complex change","Increase",284
"1237","Climate change  generic ","Location","Abundance",272,46,350,"Complex change","Increase",224
"1238","Climate change  generic ","Distance","Abundance",120,29,350,"Increase","Increase",137
"1239","Climate change  generic ","Duration","Abundance",120,32,350,"Increase","Increase",170
"1240","Climate change  generic ","Feedbacks","Abundance",206,33,350,"Complex change","Increase",170
"1241","Climate change  generic ","Quantity","Composition",79,44,251,"Complex change","Complex change",191
"1242","Climate change  generic ","Location","Composition",272,28,251,"Complex change","Complex change",146
"1243","Climate change  generic ","Distance","Composition",120,21,251,"Increase","Complex change",91
"1244","Climate change  generic ","Duration","Composition",120,26,251,"Increase","Complex change",122
"1245","Climate change  generic ","Feedbacks","Composition",206,25,251,"Complex change","Complex change",114
"1246","Climate change  generic ","Quantity","Trophic",79,27,185,"Complex change","Complex change",168
"1247","Climate change  generic ","Location","Trophic",272,22,185,"Complex change","Complex change",131
"1248","Climate change  generic ","Distance","Trophic",120,17,185,"Increase","Complex change",111
"1249","Climate change  generic ","Duration","Trophic",120,18,185,"Increase","Complex change",123
"1250","Climate change  generic ","Feedbacks","Trophic",206,19,185,"Complex change","Complex change",121
"1251","Climate change  generic ","Quantity","Trophic",214,27,185,"Increase","Complex change",168
"1252","Climate change  generic ","Feedbacks","Trophic",206,19,185,"Complex change","Complex change",121
"1253","Climate change  generic ","Mechanism","Trophic",170,15,185,"Complex change","Complex change",93
"1254","Air temperature directional change","Quantity","Composition",50,37,205,"Complex change","No change (measured)",191
"1255","Air temperature directional change","Direction","Composition",163,21,205,"Complex change","No change (measured)",132
"1256","Air temperature directional change","Location","Composition",200,29,205,"Complex change","No change (measured)",146
"1257","Air temperature directional change","Quantity","Loss",50,20,114,"Complex change","No change (measured)",157
"1258","Air temperature directional change","Direction","Loss",163,14,114,"Complex change","No change (measured)",129
"1259","Air temperature directional change","Location","Loss",200,16,114,"Complex change","No change (measured)",135
"1260","Air temperature directional change","Quantity","Trophic",50,24,154,"Complex change","No change (measured)",168
"1261","Air temperature directional change","Direction","Trophic",163,16,154,"Complex change","No change (measured)",134
"1262","Air temperature directional change","Location","Trophic",200,18,154,"Complex change","No change (measured)",131
"1263","Precipitation directional change","Quantity","Composition",44,19,120,"Complex change","No change (measured)",191
"1264","Precipitation directional change","Direction","Composition",149,14,120,"Complex change","No change (measured)",132
"1265","Precipitation directional change","Location","Composition",169,18,120,"Complex change","No change (measured)",146
"1266","Precipitation directional change","Quantity","Loss",44,18,123,"Complex change","No change (measured)",157
"1267","Precipitation directional change","Direction","Loss",149,15,123,"Complex change","No change (measured)",129
"1268","Precipitation directional change","Location","Loss",169,16,123,"Complex change","No change (measured)",135
"1269","Precipitation directional change","Quantity","Trophic",44,18,118,"Complex change","No change (measured)",168
"1270","Precipitation directional change","Direction","Trophic",149,14,118,"Complex change","No change (measured)",134
"1271","Precipitation directional change","Location","Trophic",169,14,118,"Complex change","No change (measured)",131
"1272","Climate change  generic ","Quantity","Abundance",214,60,350,"Increase","Increase",284
"1273","Climate change  generic ","Direction","Abundance",224,33,350,"Complex change","Increase",179
"1274","Climate change  generic ","Location","Abundance",272,46,350,"Complex change","Increase",224
"1275","Climate change  generic ","Distance","Abundance",120,29,350,"Increase","Increase",137
"1276","Climate change  generic ","Timing","Abundance",152,38,350,"Increase","Increase",208
"1277","Climate change  generic ","Frequency","Abundance",105,27,350,"Increase","Increase",132
"1278","Climate change  generic ","Duration","Abundance",68,32,350,"Complex change","Increase",170
"1279","Climate change  generic ","Speed","Abundance",110,23,350,"Increase","Increase",111
"1280","Climate change  generic ","Feedbacks","Abundance",206,33,350,"Complex change","Increase",170
"1281","Climate change  generic ","Mechanism","Abundance",170,25,350,"Complex change","Increase",112
"1282","Climate change  generic ","Quantity","Connectivity",214,22,192,"Increase","Increase",128
"1283","Climate change  generic ","Direction","Connectivity",224,20,192,"Complex change","Increase",113
"1284","Climate change  generic ","Location","Connectivity",272,21,192,"Complex change","Increase",115
"1285","Climate change  generic ","Distance","Connectivity",120,19,192,"Increase","Increase",103
"1286","Climate change  generic ","Timing","Connectivity",152,19,192,"Increase","Increase",123
"1287","Climate change  generic ","Frequency","Connectivity",105,16,192,"Increase","Increase",93
"1288","Climate change  generic ","Duration","Connectivity",68,19,192,"Complex change","Increase",116
"1289","Climate change  generic ","Speed","Connectivity",110,18,192,"Increase","Increase",93
"1290","Climate change  generic ","Feedbacks","Connectivity",206,19,192,"Complex change","Increase",118
"1291","Climate change  generic ","Mechanism","Connectivity",170,19,192,"Complex change","Increase",97
"1292","Climate change  generic ","Quantity","Loss",214,28,180,"Increase","Decrease",157
"1293","Climate change  generic ","Direction","Loss",224,19,180,"Complex change","Decrease",129
"1294","Climate change  generic ","Location","Loss",272,25,180,"Complex change","Decrease",135
"1295","Climate change  generic ","Distance","Loss",120,15,180,"Increase","Decrease",94
"1296","Climate change  generic ","Timing","Loss",152,18,180,"Increase","Decrease",114
"1297","Climate change  generic ","Frequency","Loss",105,12,180,"Increase","Decrease",65
"1298","Climate change  generic ","Duration","Loss",68,15,180,"Complex change","Decrease",103
"1299","Climate change  generic ","Speed","Loss",110,16,180,"Increase","Decrease",85
"1300","Climate change  generic ","Feedbacks","Loss",206,16,180,"Complex change","Decrease",101
"1301","Climate change  generic ","Mechanism","Loss",170,15,180,"Complex change","Decrease",86
"1302","Climate change  generic ","Quantity","Trophic",214,27,185,"Increase","Decrease",168
"1303","Climate change  generic ","Direction","Trophic",224,19,185,"Complex change","Decrease",134
"1304","Climate change  generic ","Location","Trophic",272,22,185,"Complex change","Decrease",131
"1305","Climate change  generic ","Distance","Trophic",120,17,185,"Increase","Decrease",111
"1306","Climate change  generic ","Timing","Trophic",152,19,185,"Increase","Decrease",125
"1307","Climate change  generic ","Frequency","Trophic",105,12,185,"Increase","Decrease",78
"1308","Climate change  generic ","Duration","Trophic",68,18,185,"Complex change","Decrease",123
"1309","Climate change  generic ","Speed","Trophic",110,15,185,"Increase","Decrease",85
"1310","Climate change  generic ","Feedbacks","Trophic",206,19,185,"Complex change","Decrease",121
"1311","Climate change  generic ","Mechanism","Trophic",170,15,185,"Complex change","Decrease",93
"1312","Drought","Quantity","Abundance",106,27,153,"Increase","Increase",284
"1313","Drought","Direction","Abundance",124,18,153,"Complex change","Increase",179
"1314","Drought","Location","Abundance",148,22,153,"Complex change","Increase",224
"1315","Drought","Distance","Abundance",60,12,153,"Increase","Increase",137
"1316","Drought","Timing","Abundance",95,16,153,"Increase","Increase",208
"1317","Drought","Frequency","Abundance",56,11,153,"Increase","Increase",132
"1318","Drought","Duration","Abundance",33,13,153,"Complex change","Increase",170
"1319","Drought","Speed","Abundance",68,10,153,"Increase","Increase",111
"1320","Drought","Feedbacks","Abundance",101,14,153,"Complex change","Increase",170
"1321","Drought","Mechanism","Abundance",74,10,153,"Complex change","Increase",112
"1322","Drought","Quantity","Connectivity",106,11,97,"Increase","Increase",128
"1323","Drought","Direction","Connectivity",124,10,97,"Complex change","Increase",113
"1324","Drought","Location","Connectivity",148,12,97,"Complex change","Increase",115
"1325","Drought","Distance","Connectivity",60,9,97,"Increase","Increase",103
"1326","Drought","Timing","Connectivity",95,10,97,"Increase","Increase",123
"1327","Drought","Frequency","Connectivity",56,8,97,"Increase","Increase",93
"1328","Drought","Duration","Connectivity",33,10,97,"Complex change","Increase",116
"1329","Drought","Speed","Connectivity",68,8,97,"Increase","Increase",93
"1330","Drought","Feedbacks","Connectivity",101,10,97,"Complex change","Increase",118
"1331","Drought","Mechanism","Connectivity",74,9,97,"Complex change","Increase",97
"1332","Drought","Quantity","Loss",106,15,109,"Increase","Decrease",157
"1333","Drought","Direction","Loss",124,13,109,"Complex change","Decrease",129
"1334","Drought","Location","Loss",148,14,109,"Complex change","Decrease",135
