"","impact","ID_DOI_by_Flow","X2.1.Flow.Type","X2.2.Subtype","DOI","direction","impact.group"
"286","Disease",129,"Biotic","range-shift","https://doi.org/10.3390/pathogens12070937","Increase","bad"
"287","Disease",131,"Biotic","range-shift","https://doi.org/10.1007/s11356-020-08896-w","Increase","bad"
"288","Disease",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Increase","bad"
"289","Disease",132,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54577","Increase","bad"
"290","Disease",139,"Biotic","disease spread","https://doi.org/10.3390/microorganisms9112317","Increase","bad"
"291","Disease",139,"Biotic","range-shift","https://doi.org/10.3390/microorganisms9112317","Increase","bad"
"292","Disease",141,"Biotic","range-shift","10.1111/gcb.14957","Increase","bad"
"293","Disease",142,"Biotic","disease spread","https://doi.org/10.1093/mmy/myx037","Increase","bad"
"294","Disease",142,"Biotic","range-shift","https://doi.org/10.1093/mmy/myx037","Increase","bad"
"295","Disease",143,"Biotic","disease spread","10.1186/s13071-023-05887-x	","Increase","bad"
"296","Disease",143,"Biotic","range-shift","10.1186/s13071-023-05887-x	","Increase","bad"
"297","Disease",158,"Biotic","disease spread","10.3390/microorganisms9122412","Increase","bad"
"298","Disease",158,"Biotic","range-shift","10.3390/microorganisms9122412","Increase","bad"
"299","Disease",161,"Biotic","range-shift","10.3390/tropicalmed7110388","Increase","bad"
"300","Disease",164,"Biotic","disease spread","https://doi.org/10.3390/ijerph15030478","Increase","bad"
"301","Disease",165,"Biotic","range-shift","https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2011.300520","Increase","bad"
"302","Disease",167,"Biotic","range-shift","10.1146/annurev-ecolsys-102710-145015","Complex change","bad"
"303","Disease",172,"Biotic","range-shift","10.1894/0038-4909-65.2.161","No change (measured)","bad"
"304","Disease",173,"Biotic","range-shift","10.7717/peerj.11","Increase","bad"
"305","Disease",175,"Biotic","range-shift","10.1126/science.aai9214","Increase","bad"
"306","Disease",179,"Biotic","disease spread","10.3389/fpubh.2021.627654","Complex change","bad"
"307","Disease",179,"Biotic","range-shift","10.3389/fpubh.2021.627654","Complex change","bad"
"308","Disease",207,"Biotic","gene flow","10.1111/j.1744-7917.2010.01367.x","No change (measured)","bad"
"309","Disease",208,"Biotic","disease spread","10.3390/tropicalmed7110388","Increase","bad"
"310","Disease",209,"Biotic","range-shift","https://doi.org/10.3390/ijerph15030478","Increase","bad"
"311","Disease",213,"Biotic","disease spread","10.3389/fpubh.2021.627654","Increase","bad"
"312","Disease",213,"Biotic","range-shift","10.3389/fpubh.2021.627654","Increase","bad"
"313","Disease",224,"Sociocultural","knowledge transfer","10.3389/fpubh.2021.627654","Increase","bad"
"314","Disease",230,"Biotic","disease spread","10.3389/fpubh.2021.627654","Increase","bad"
"315","Disease",230,"Biotic","range-shift","10.3389/fpubh.2021.627654","Increase","bad"
"316","Genetics",10,"Biotic","migration","10.1016/j.rama.2023.07.002","No change (measured)","neutral"
"317","Genetics",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","neutral"
"318","Genetics",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","neutral"
"319","Genetics",55,"Biotic","migration","http://dx.doi.org/10.1093/aesa/saad038","Complex change","neutral"
"320","Genetics",55,"Biotic","disease spread","http://dx.doi.org/10.1093/aesa/saad038","Complex change","neutral"
"321","Genetics",55,"Biotic","range-shift","http://dx.doi.org/10.1093/aesa/saad038","Complex change","neutral"
"322","Genetics",56,"Biotic","disease spread","10.1016/j.foreco.2018.02.049	","Complex change","neutral"
"323","Genetics",56,"Biotic","range-shift","10.1016/j.foreco.2018.02.049	","Complex change","neutral"
"324","Genetics",57,"Biotic","migration","https://doi.org/10.1080/23308249.2024.2341023","Complex change","neutral"
"325","Genetics",65,"Biotic","disease spread","http://dx.doi.org/10.3390/pathogens9070589	","Complex change","neutral"
"326","Genetics",65,"Biotic","range-shift","http://dx.doi.org/10.3390/pathogens9070589	","Complex change","neutral"
"327","Genetics",84,"Biotic","range-shift","10.3133/ofr20201125","No change (measured)","neutral"
"328","Genetics",85,"Biotic","migration","10.3389/fevo.2019.00099","No change (measured)","neutral"
"329","Genetics",88,"Biotic","range-shift","https://doi.org/10.1111/eva.13223","Complex change","neutral"
"330","Genetics",88,"Biotic","gene flow","https://doi.org/10.1111/eva.13223","Complex change","neutral"
"331","Genetics",125,"Sociocultural","knowledge transfer","https://doi.org/10.1016/j.foreco.2023.120854","Increase","neutral"
"332","Genetics",126,"Biotic","gene flow","https://doi.org/10.1016/j.foreco.2023.120854","Increase","neutral"
"333","Genetics",127,"Biotic","range-shift","10.1016/j.scitotenv.2021.145788","Complex change","neutral"
"334","Genetics",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Decrease","neutral"
"335","Genetics",132,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54577","Decrease","neutral"
"336","Genetics",159,"Biotic","range-shift","10.1111/j.1744-7917.2010.01367.x","Complex change","neutral"
"337","Genetics",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Decrease","neutral"
"338","Genetics",172,"Biotic","range-shift","10.1894/0038-4909-65.2.161","Decrease","neutral"
"339","Genetics",173,"Biotic","range-shift","10.7717/peerj.11","Complex change","neutral"
"340","Genetics",175,"Biotic","range-shift","10.1126/science.aai9214","Decrease","neutral"
"341","Genetics",185,"Biotic","range-shift","https://doi.org/10.1002/ece3.10277","Decrease","neutral"
"342","Genetics",195,"Biotic","migration","10.3133/ofr20201125","Decrease","neutral"
"343","Genetics",207,"Biotic","gene flow","10.1111/j.1744-7917.2010.01367.x","Complex change","neutral"
"344","Genetics",210,"Biotic","gene flow","10.1894/0038-4909-65.2.161","Decrease","neutral"
"345","Indigenous Knowledge",3,"Human movement","displacement","10.1007/s10113-024-02212-9","Decrease","good"
"346","Indigenous Knowledge",6,"Biotic","biome-shift","10.1002/ppp3.10500","Complex change","good"
"347","Indigenous Knowledge",10,"Biotic","migration","10.1016/j.rama.2023.07.002","No change (measured)","good"
"348","Indigenous Knowledge",26,"Sociocultural","knowledge transfer","https://doi.org/10.3390/genealogy4020051","Increase","good"
"349","Indigenous Knowledge",36,"Sociocultural","governance","https://doi.org/10.4236/jwarp.2018.1011065","Decrease","good"
"350","Indigenous Knowledge",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","good"
"351","Indigenous Knowledge",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","good"
"352","Indigenous Knowledge",62,"Sociocultural","knowledge transfer","10.3390/jmse8100739","Increase","good"
"353","Indigenous Knowledge",175,"Biotic","range-shift","10.1126/science.aai9214","Complex change","good"
"354","Indigenous Knowledge",187,"Sociocultural","knowledge transfer","10.1007/s10113-024-02212-9","Decrease","good"
"355","Indigenous Knowledge",188,"Sociocultural","knowledge transfer","10.1002/ppp3.10500","Complex change","good"
"356","Indigenous Knowledge",76,"Sociocultural","governance","10.1111/gcb.16109","Increase","good"
"357","Indigenous Knowledge",76,"Sociocultural","diplomatic/financial aid","10.1111/gcb.16109","Increase","good"
"358","Invasion",2,"Biotic","range-shift","10.1111/1365-2656.12755	","Increase","bad"
"359","Invasion",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Increase","bad"
"360","Invasion",12,"Biotic","range-shift","10.1016/S0065-2504(04)35010-5","Increase","bad"
"361","Invasion",42,"Biotic","range-shift","10.1038/s41579-023-00900-7","Increase","bad"
"362","Invasion",43,"Biotic","range-shift","10.2737/NRS-GTR-99","Complex change","bad"
"363","Invasion",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","Increase","bad"
"364","Invasion",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Increase","bad"
"365","Invasion",55,"Biotic","migration","http://dx.doi.org/10.1093/aesa/saad038","Increase","bad"
"366","Invasion",55,"Biotic","disease spread","http://dx.doi.org/10.1093/aesa/saad038","Increase","bad"
"367","Invasion",55,"Biotic","range-shift","http://dx.doi.org/10.1093/aesa/saad038","Increase","bad"
"368","Invasion",59,"Biotic","disease spread","doi: 10.14745/ccdr.v45i04a01","Increase","bad"
"369","Invasion",59,"Biotic","range-shift","doi: 10.14745/ccdr.v45i04a01","Increase","bad"
"370","Invasion",60,"Biotic","range-shift","10.1002/ecs2.4376	","Increase","bad"
"371","Invasion",60,"Biotic","disease spread","10.1002/ecs2.4376	","Increase","bad"
"372","Invasion",60,"Biotic","range-shift","10.1002/ecs2.4376	","Increase","bad"
"373","Invasion",61,"Biotic","disease spread","http://dx.doi.org/10.3390/ijerph19020893","Increase","bad"
"374","Invasion",61,"Biotic","range-shift","http://dx.doi.org/10.3390/ijerph19020893","Increase","bad"
"375","Invasion",65,"Biotic","disease spread","http://dx.doi.org/10.3390/pathogens9070589	","Complex change","bad"
"376","Invasion",65,"Biotic","range-shift","http://dx.doi.org/10.3390/pathogens9070589	","Complex change","bad"
"377","Invasion",70,"Biotic","disease spread","10.5424/fs/2012212-02230	","Increase","bad"
"378","Invasion",70,"Biotic","range-shift","10.5424/fs/2012212-02230	","Increase","bad"
"379","Invasion",72,"Biotic","range-shift","https://doi.org/10.1111/j.1523-1739.2008.00950.x","Increase","bad"
"380","Invasion",73,"Biotic","range-shift","https://doi.org/10.3389/fmars.2020.617324","Increase","bad"
"381","Invasion",74,"Biotic","disease spread","10.1017/S0031182021001426	","Increase","bad"
"382","Invasion",74,"Biotic","range-shift","10.1017/S0031182021001426	","Increase","bad"
"383","Invasion",80,"Biotic","range-shift","10.1111/j.1466-8238.2009.00519.x	","Complex change","bad"
"384","Invasion",84,"Biotic","range-shift","10.3133/ofr20201125","Increase","bad"
"385","Invasion",85,"Biotic","migration","10.3389/fevo.2019.00099","No change (measured)","bad"
"386","Invasion",94,"Physical","surface water quantity","https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf","Increase","bad"
"387","Invasion",96,"Physical","nutrient and sediment flow","https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading","Increase","bad"
"388","Invasion",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Increase","bad"
"389","Invasion",132,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54577","Increase","bad"
"390","Invasion",133,"Biotic","range-shift","10.1579/0044-7447(2006)35[381:AOOEOC]2.0.CO;2","Increase","bad"
"391","Invasion",137,"Sociocultural","knowledge transfer","https://doi.org/10.1139/er-2022-0130","Increase","bad"
"392","Invasion",138,"Biotic","range-shift","https://doi.org/10.1007/s10530-020-02244-2","Complex change","bad"
"393","Invasion",141,"Biotic","range-shift","10.1111/gcb.14957","Increase","bad"
"394","Invasion",143,"Biotic","disease spread","10.1186/s13071-023-05887-x	","Increase","bad"
"395","Invasion",143,"Biotic","range-shift","10.1186/s13071-023-05887-x	","Increase","bad"
"396","Invasion",152,"Biotic","migration","10.1111/faf.12536","Complex change","bad"
"397","Invasion",155,"Biotic","range-shift","10.1111/fwb.13873","Increase","bad"
"398","Invasion",159,"Biotic","range-shift","10.1111/j.1744-7917.2010.01367.x","Increase","bad"
"399","Invasion",160,"Biotic","range-shift","https://doi.org/10.3390/f8050155","Increase","bad"
"400","Invasion",161,"Biotic","range-shift","10.3390/tropicalmed7110388","Increase","bad"
"401","Invasion",163,"Biotic","range-shift","https://doi.org/10.1139/X08-171","Increase","bad"
"402","Invasion",167,"Biotic","range-shift","10.1146/annurev-ecolsys-102710-145015","Complex change","bad"
"403","Invasion",168,"Physical","sea ice retreat","http://dx.doi.org/10.1016/j.pocean.2015.07.011","Increase","bad"
"404","Invasion",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Increase","bad"
"405","Invasion",172,"Biotic","range-shift","10.1894/0038-4909-65.2.161","No change (measured)","bad"
"406","Invasion",173,"Biotic","range-shift","10.7717/peerj.11","Increase","bad"
"407","Invasion",175,"Biotic","range-shift","10.1126/science.aai9214","Increase","bad"
"408","Invasion",180,"Biotic","range-shift","http://dx.doi.org/10.1079/9781780641645.0305","Increase","bad"
"409","Invasion",199,"Biotic","range-shift","https://doi.org/10.1177/1178622120950272","Increase","bad"
"410","Invasion",207,"Biotic","gene flow","10.1111/j.1744-7917.2010.01367.x","Increase","bad"
"411","Invasion",208,"Biotic","disease spread","10.3390/tropicalmed7110388","Increase","bad"
"412","Habitat Loss",1,"Human movement","displacement","10.1177/01979183221074343","Decrease","bad"
"413","Habitat Loss",6,"Biotic","biome-shift","10.1002/ppp3.10500","Increase","bad"
"414","Habitat Loss",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Increase","bad"
"415","Habitat Loss",14,"Biotic","migration","10.1525/cond.2009.080096","Complex change","bad"
"416","Habitat Loss",15,"Human movement","migration","https://openknowledge.fao.org/server/api/core/bitstreams/24eba882-35e4-4e04-a793-eaab4cd6259c/content","Increase","bad"
"417","Habitat Loss",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Increase","bad"
"418","Habitat Loss",24,"Biotic","migration","10.1890/09-0395.1","Complex change","bad"
"419","Habitat Loss",25,"Biotic","migration","10.1016/j.envint.2018.06.018","Increase","bad"
"420","Habitat Loss",25,"Biotic","disease spread","10.1016/j.envint.2018.06.018","Increase","bad"
"421","Habitat Loss",25,"Biotic","range-shift","10.1016/j.envint.2018.06.018","Increase","bad"
"422","Habitat Loss",27,"Human movement","migration","https://seors.unfccc.int/applications/seors/attachments/get_attachment?code=0O0WHMOE2QTBE8DK9QDYJRW08WYOYSCH","Increase","bad"
"423","Habitat Loss",52,"Biotic","range-shift","10.1111/jbi.13465","Increase","bad"
"424","Habitat Loss",53,"Biotic","range-shift","https://doi.org/10.1177/194008291600900111","Increase","bad"
"425","Habitat Loss",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","bad"
"426","Habitat Loss",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","bad"
"427","Habitat Loss",84,"Biotic","range-shift","10.3133/ofr20201125","Decrease","bad"
"428","Habitat Loss",85,"Biotic","migration","10.3389/fevo.2019.00099","Decrease","bad"
"429","Habitat Loss",90,"Biotic","range-shift","https://doi.org/10.1111/mam.12284","Decrease","bad"
"430","Habitat Loss",98,"Human movement","migration","10.1007/s10290-024-00529-5	","Increase","bad"
"431","Habitat Loss",116,"Physical","surface water quantity","https://doi.org/10.1007/s10584-021-03057-5","Decrease","bad"
"432","Habitat Loss",150,"Biotic","migration","10.1017/S0959270908000439","Increase","bad"
"433","Habitat Loss",173,"Biotic","range-shift","10.7717/peerj.11","Increase","bad"
"434","Habitat Loss",188,"Sociocultural","knowledge transfer","10.1002/ppp3.10500","Increase","bad"
"435","Habitat Loss",195,"Biotic","migration","10.3133/ofr20201125","Increase","bad"
"436","Habitat Loss",210,"Biotic","gene flow","10.1894/0038-4909-65.2.161","Increase","bad"
"437","Habitat Loss",217,"Human movement","relocation","10.1289/ehp.1104375","Increase","bad"
"438","Habitat Loss",220,"Human movement","trade","https://doi.org/10.4236/jwarp.2018.1011065","Increase","bad"
"439","Habitat Loss",231,"Human movement","relocation","https://doi.org/10.4236/jwarp.2018.1011065","Increase","bad"
"440","Habitat Loss",232,"Human movement","relocation","https://doi.org/10.4236/jwarp.2018.1011065","Increase","bad"
"441","Habitat Restoration",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Increase","good"
"442","Habitat Restoration",14,"Biotic","migration","10.1525/cond.2009.080096","Complex change","good"
"443","Habitat Restoration",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Decrease","good"
"444","Habitat Restoration",24,"Biotic","migration","10.1890/09-0395.1","Complex change","good"
"445","Habitat Restoration",40,"Biotic","range-shift","10.1111/gcb.16111","Complex change","good"
"446","Habitat Restoration",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","good"
"447","Habitat Restoration",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","good"
"448","Habitat Restoration",84,"Biotic","range-shift","10.3133/ofr20201125","Increase","good"
"449","Habitat Restoration",90,"Biotic","range-shift","https://doi.org/10.1111/mam.12284","Decrease","good"
"450","Habitat Restoration",99,"Human movement","migration","10.1111/gec3.12460	","Increase","good"
"451","Habitat Restoration",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","Complex change","good"
"452","Habitat Restoration",127,"Biotic","range-shift","10.1016/j.scitotenv.2021.145788","Increase","good"
"453","Habitat Restoration",150,"Biotic","migration","10.1017/S0959270908000439","Complex change","good"
"454","Habitat Restoration",195,"Biotic","migration","10.3133/ofr20201125","Decrease","good"
"455","Habitat Restoration",210,"Biotic","gene flow","10.1894/0038-4909-65.2.161","Decrease","good"
"456","Habitat Restoration",76,"Sociocultural","governance","10.1111/gcb.16109","Increase","good"
"457","Habitat Restoration",76,"Sociocultural","diplomatic/financial aid","10.1111/gcb.16109","Increase","good"
"458","Loss",6,"Biotic","biome-shift","10.1002/ppp3.10500","Increase","bad"
"459","Loss",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Increase","bad"
"460","Loss",12,"Biotic","range-shift","10.1016/S0065-2504(04)35010-5","Complex change","bad"
"461","Loss",14,"Biotic","migration","10.1525/cond.2009.080096","Complex change","bad"
"462","Loss",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Complex change","bad"
"463","Loss",22,"Biotic","biome-shift","10.1111/gcb.16770","Complex change","bad"
"464","Loss",40,"Biotic","range-shift","10.1111/gcb.16111","Complex change","bad"
"465","Loss",42,"Biotic","range-shift","10.1038/s41579-023-00900-7","Increase","bad"
"466","Loss",43,"Biotic","range-shift","10.2737/NRS-GTR-99","Complex change","bad"
"467","Loss",46,"Sociocultural","governance","10.5751/ES-08879-220131","Increase","bad"
"468","Loss",52,"Biotic","range-shift","10.1111/jbi.13465","Increase","bad"
"469","Loss",53,"Biotic","range-shift","https://doi.org/10.1177/194008291600900111","Decrease","bad"
"470","Loss",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","bad"
"471","Loss",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","bad"
"472","Loss",75,"Biotic","range-shift","10.1016/j.jembe.2011.02.020	","No change (measured)","bad"
"473","Loss",79,"Biotic","disease spread","10.1111/j.1439-0329.2010.00656.x","Complex change","bad"
"474","Loss",79,"Biotic","range-shift","10.1111/j.1439-0329.2010.00656.x","Complex change","bad"
"475","Loss",80,"Biotic","range-shift","10.1111/j.1466-8238.2009.00519.x	","Complex change","bad"
"476","Loss",82,"Biotic","disease spread","10.3390/insects12030225","Complex change","bad"
"477","Loss",82,"Biotic","range-shift","10.3390/insects12030225","Complex change","bad"
"478","Loss",85,"Biotic","migration","10.3389/fevo.2019.00099","No change (measured)","bad"
"479","Loss",88,"Biotic","range-shift","https://doi.org/10.1111/eva.13223","Increase","bad"
"480","Loss",88,"Biotic","gene flow","https://doi.org/10.1111/eva.13223","Increase","bad"
"481","Loss",90,"Biotic","range-shift","https://doi.org/10.1111/mam.12284","Decrease","bad"
"482","Loss",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","No change (measured)","bad"
"483","Loss",103,"Biotic","range-shift","DOI: 10.1111/fwb.13570","Complex change","bad"
"484","Loss",117,"Biotic","range-shift","10.5751/ES-11988-250443","Complex change","bad"
"485","Loss",127,"Biotic","range-shift","10.1016/j.scitotenv.2021.145788","Increase","bad"
"486","Loss",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Increase","bad"
"487","Loss",132,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54577","Increase","bad"
"488","Loss",136,"Physical","surface water quantity","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Increase","bad"
"489","Loss",137,"Sociocultural","knowledge transfer","https://doi.org/10.1139/er-2022-0130","Increase","bad"
"490","Loss",141,"Biotic","range-shift","10.1111/gcb.14957","Decrease","bad"
"491","Loss",150,"Biotic","migration","10.1017/S0959270908000439","Increase","bad"
"492","Loss",152,"Biotic","migration","10.1111/faf.12536","Complex change","bad"
"493","Loss",156,"Physical","pollution flow","https://doi.org/10.1016/j.scitotenv.2024.171490","Increase","bad"
"494","Loss",167,"Biotic","range-shift","10.1146/annurev-ecolsys-102710-145015","Increase","bad"
"495","Loss",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Increase","bad"
"496","Loss",173,"Biotic","range-shift","10.7717/peerj.11","Increase","bad"
"497","Loss",175,"Biotic","range-shift","10.1126/science.aai9214","Increase","bad"
"498","Loss",185,"Biotic","range-shift","https://doi.org/10.1002/ece3.10277","Increase","bad"
"499","Loss",186,"Physical","glacial melt","doi:10.1093/biosci/biaa015","Increase","bad"
"500","Loss",188,"Sociocultural","knowledge transfer","10.1002/ppp3.10500","Increase","bad"
"501","Loss",205,"Physical","pollution flow","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Increase","bad"
"502","Loss",211,"Physical","ocean current","10.1007/BF02691304","Decrease","bad"
"503","Loss",216,"Biotic","range-shift","doi:10.1093/biosci/biaa015","Complex change","bad"
"504","Loss",233,"Sociocultural","knowledge transfer","DOI: 10.1111/fwb.13570","Complex change","bad"
"505","Loss",76,"Sociocultural","governance","10.1111/gcb.16109","Decrease","bad"
"506","Loss",76,"Sociocultural","diplomatic/financial aid","10.1111/gcb.16109","Decrease","bad"
"507","Management",6,"Biotic","biome-shift","10.1002/ppp3.10500","Complex change","good"
"508","Management",8,"Physical","sea ice retreat","10.1139/Z11-021","Complex change","good"
"509","Management",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Increase","good"
"510","Management",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Complex change","good"
"511","Management",24,"Biotic","migration","10.1890/09-0395.1","Complex change","good"
"512","Management",36,"Sociocultural","governance","https://doi.org/10.4236/jwarp.2018.1011065","Decrease","good"
"513","Management",40,"Biotic","range-shift","10.1111/gcb.16111","Complex change","good"
"514","Management",41,"Sociocultural","governance","10.5751/ES-11835-250442","Complex change","good"
"515","Management",43,"Biotic","range-shift","10.2737/NRS-GTR-99","Complex change","good"
"516","Management",46,"Sociocultural","governance","10.5751/ES-08879-220131","Increase","good"
"517","Management",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","good"
"518","Management",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","good"
"519","Management",57,"Biotic","migration","https://doi.org/10.1080/23308249.2024.2341023","Increase","good"
"520","Management",62,"Sociocultural","knowledge transfer","10.3390/jmse8100739","Increase","good"
"521","Management",67,"Sociocultural","governance","10.1080/08920759109362128	","Complex change","good"
"522","Management",70,"Biotic","disease spread","10.5424/fs/2012212-02230	","Complex change","good"
"523","Management",70,"Biotic","range-shift","10.5424/fs/2012212-02230	","Complex change","good"
"524","Management",84,"Biotic","range-shift","10.3133/ofr20201125","Increase","good"
"525","Management",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","Complex change","good"
"526","Management",104,"Sociocultural","governance","10.1016/j.ecolecon.2022.107356","Complex change","good"
"527","Management",118,"Sociocultural","governance","10.21829/myb.2014.200146","Increase","good"
"528","Management",120,"Sociocultural","governance","10.15779/Z38M61BQ0J","No change (measured)","good"
"529","Management",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Increase","good"
"530","Management",132,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54577","Increase","good"
"531","Management",141,"Biotic","range-shift","10.1111/gcb.14957","Complex change","good"
"532","Management",150,"Biotic","migration","10.1017/S0959270908000439","Complex change","good"
"533","Management",156,"Physical","pollution flow","https://doi.org/10.1016/j.scitotenv.2024.171490","No change (measured)","good"
"534","Management",163,"Biotic","range-shift","https://doi.org/10.1139/X08-171","Complex change","good"
"535","Management",175,"Biotic","range-shift","10.1126/science.aai9214","Complex change","good"
"536","Management",185,"Biotic","range-shift","https://doi.org/10.1002/ece3.10277","Increase","good"
"537","Management",188,"Sociocultural","knowledge transfer","10.1002/ppp3.10500","Complex change","good"
"538","Management",210,"Biotic","gene flow","10.1894/0038-4909-65.2.161","Increase","good"
"539","Management",216,"Biotic","range-shift","doi:10.1093/biosci/biaa015","Complex change","good"
"540","Management",76,"Sociocultural","governance","10.1111/gcb.16109","Increase","good"
"541","Management",76,"Sociocultural","diplomatic/financial aid","10.1111/gcb.16109","Increase","good"
"542","Other",7,"Physical","surface water quantity","doi: 10.1111/brv.12914","Decrease","neutral"
"543","Other",8,"Physical","sea ice retreat","10.1139/Z11-021","Increase","neutral"
"544","Other",15,"Human movement","migration","https://openknowledge.fao.org/server/api/core/bitstreams/24eba882-35e4-4e04-a793-eaab4cd6259c/content","Increase","neutral"
"545","Other",16,"Human movement","migration","10.1289/ehp.1104375","Increase","neutral"
"546","Other",28,"Human movement","tourism","10.24917/20801653.322.20	","Complex change","neutral"
"547","Other",39,"Biotic","range-shift","10.1007/s10531-013-0525-1	","Increase","neutral"
"548","Other",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","neutral"
"549","Other",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","No change (measured)","neutral"
"550","Other",92,"Biotic","disease spread","https://www.fs.usda.gov/pnw/pubs/pnw_gtr966_chapter2.pdf","Decrease","neutral"
"551","Other",92,"Biotic","range-shift","https://www.fs.usda.gov/pnw/pubs/pnw_gtr966_chapter2.pdf","Decrease","neutral"
"552","Other",94,"Physical","surface water quantity","https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf","Complex change","neutral"
"553","Other",106,"Biotic","range-shift","https://doi.org/10.1038/ s43017-020-0071-9","Decrease","neutral"
"554","Other",110,"Biotic","range-shift","https://doi.org/10.1016/j.amepre.2008.08.024","Increase","neutral"
"555","Other",112,"Physical","pollution flow","https://doi.org/10.1007/s44169-022-00016-8","Increase","neutral"
"556","Other",113,"Physical","pollution flow","https://doi.org/10.1007/s10533-023-01108-w","Increase","neutral"
"557","Other",116,"Physical","surface water quantity","https://doi.org/10.1007/s10584-021-03057-5","Decrease","neutral"
"558","Other",144,"Biotic","migration","10.1007/s11160-014-9348-8","Complex change","neutral"
"559","Other",153,"Biotic","disease spread","https://doi.org/10.1016/j.foreco.2018.03.011","Complex change","neutral"
"560","Other",153,"Biotic","range-shift","https://doi.org/10.1016/j.foreco.2018.03.011","Complex change","neutral"
"561","Other",156,"Physical","pollution flow","https://doi.org/10.1016/j.scitotenv.2024.171490","No change (measured)","neutral"
"562","Other",184,"Physical","pollution flow","10.3390/w6102862","Increase","neutral"
"563","Other",194,"Physical","nutrient and sediment flow","https://doi.org/10.4236/jwarp.2018.1011065","Increase","neutral"
"564","Other",197,"Physical","wildfire","https://doi.org/10.1016/j.jhydrol.2019.124360","Increase","neutral"
"565","Other",199,"Biotic","range-shift","https://doi.org/10.1177/1178622120950272","Complex change","neutral"
"566","Other",205,"Physical","pollution flow","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Increase","neutral"
