"","ID_DOI_by_Flow","X2.1.Flow.Type","X2.2.Subtype","DOI","impact","direction"
"311",61,"Biotic","range-shift","http://dx.doi.org/10.3390/ijerph19020893","Invasion","Increase"
"312",65,"Biotic","disease spread","http://dx.doi.org/10.3390/pathogens9070589	","Invasion","Complex change"
"313",65,"Biotic","range-shift","http://dx.doi.org/10.3390/pathogens9070589	","Invasion","Complex change"
"314",70,"Biotic","disease spread","10.5424/fs/2012212-02230	","Invasion","Increase"
"315",70,"Biotic","range-shift","10.5424/fs/2012212-02230	","Invasion","Increase"
"316",72,"Biotic","range-shift","https://doi.org/10.1111/j.1523-1739.2008.00950.x","Invasion","Increase"
"317",73,"Biotic","range-shift","https://doi.org/10.3389/fmars.2020.617324","Invasion","Increase"
"318",74,"Biotic","disease spread","10.1017/S0031182021001426	","Invasion","Increase"
"319",74,"Biotic","range-shift","10.1017/S0031182021001426	","Invasion","Increase"
"320",80,"Biotic","range-shift","10.1111/j.1466-8238.2009.00519.x	","Invasion","Complex change"
"321",84,"Biotic","range-shift","10.3133/ofr20201125","Invasion","Increase"
"322",85,"Biotic","migration","10.3389/fevo.2019.00099","Invasion","No change (measured)"
"323",94,"Physical","surface water quantity","https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf","Invasion","Increase"
"324",96,"Physical","nutrient and sediment flow","https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading","Invasion","Increase"
"325",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Invasion","Increase"
"326",132,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54577","Invasion","Increase"
"327",133,"Biotic","range-shift","10.1579/0044-7447(2006)35[381:AOOEOC]2.0.CO;2","Invasion","Increase"
"328",137,"Sociocultural","knowledge transfer","https://doi.org/10.1139/er-2022-0130","Invasion","Increase"
"329",138,"Biotic","range-shift","https://doi.org/10.1007/s10530-020-02244-2","Invasion","Complex change"
"330",141,"Biotic","range-shift","10.1111/gcb.14957","Invasion","Increase"
"331",143,"Biotic","disease spread","10.1186/s13071-023-05887-x	","Invasion","Increase"
"332",143,"Biotic","range-shift","10.1186/s13071-023-05887-x	","Invasion","Increase"
"333",152,"Biotic","migration","10.1111/faf.12536","Invasion","Complex change"
"334",155,"Biotic","range-shift","10.1111/fwb.13873","Invasion","Increase"
"335",159,"Biotic","range-shift","10.1111/j.1744-7917.2010.01367.x","Invasion","Increase"
"336",160,"Biotic","range-shift","https://doi.org/10.3390/f8050155","Invasion","Increase"
"337",161,"Biotic","range-shift","10.3390/tropicalmed7110388","Invasion","Increase"
"338",163,"Biotic","range-shift","https://doi.org/10.1139/X08-171","Invasion","Increase"
"339",167,"Biotic","range-shift","10.1146/annurev-ecolsys-102710-145015","Invasion","Complex change"
"340",168,"Physical","sea ice retreat","http://dx.doi.org/10.1016/j.pocean.2015.07.011","Invasion","Increase"
"341",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Invasion","Increase"
"342",172,"Biotic","range-shift","10.1894/0038-4909-65.2.161","Invasion","No change (measured)"
"343",173,"Biotic","range-shift","10.7717/peerj.11","Invasion","Increase"
"344",175,"Biotic","range-shift","10.1126/science.aai9214","Invasion","Increase"
"345",180,"Biotic","range-shift","http://dx.doi.org/10.1079/9781780641645.0305","Invasion","Increase"
"346",199,"Biotic","range-shift","https://doi.org/10.1177/1178622120950272","Invasion","Increase"
"347",207,"Biotic","gene flow","10.1111/j.1744-7917.2010.01367.x","Invasion","Increase"
"348",208,"Biotic","disease spread","10.3390/tropicalmed7110388","Invasion","Increase"
"349",3,"Human movement","displacement","10.1007/s10113-024-02212-9","Composition","Complex change"
"350",9,"Biotic","range-shift","https://doi.org/10.3390/f11111176","Composition","Increase"
"351",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Composition","Complex change"
"352",11,"Biotic","migration","doi: 10.3354/cr01238","Composition","Complex change"
"353",12,"Biotic","range-shift","10.1016/S0065-2504(04)35010-5","Composition","Complex change"
"354",13,"Biotic","migration","10.1007/s10641-023-01449-3","Composition","Complex change"
"355",14,"Biotic","migration","10.1525/cond.2009.080096","Composition","Complex change"
"356",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Composition","Complex change"
"357",22,"Biotic","biome-shift","10.1111/gcb.16770","Composition","Complex change"
"358",24,"Biotic","migration","10.1890/09-0395.1","Composition","Complex change"
"359",25,"Biotic","migration","10.1016/j.envint.2018.06.018","Composition","Complex change"
"360",25,"Biotic","disease spread","10.1016/j.envint.2018.06.018","Composition","Complex change"
"361",25,"Biotic","range-shift","10.1016/j.envint.2018.06.018","Composition","Complex change"
"362",29,"Physical","wildfire","http://dx.doi.org/10.1139/a97-008	","Composition","Increase"
"363",31,"Physical","snow melt runoff","https://onlinelibrary.wiley.com/doi/10.1002/hyp.8367","Composition","Complex change"
"364",33,"Biotic","range-shift","10.1007/s00300-023-03133-9","Composition","Complex change"
"365",34,"Physical","wildfire","10.1016/S0048-9697(00)00524-6","Composition","Increase"
"366",39,"Biotic","range-shift","10.1007/s10531-013-0525-1	","Composition","Complex change"
"367",40,"Biotic","range-shift","10.1111/gcb.16111","Composition","Complex change"
"368",42,"Biotic","range-shift","10.1038/s41579-023-00900-7","Composition","Increase"
"369",43,"Biotic","range-shift","10.2737/NRS-GTR-99","Composition","Complex change"
"370",44,"Biotic","range-shift","http://dx.doi.org/10.1007/s11295-024-01645-x	","Composition","Complex change"
"371",47,"Biotic","range-shift","10.1002/eco.259	","Composition","Complex change"
"372",52,"Biotic","range-shift","10.1111/jbi.13465","Composition","Complex change"
"373",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","Composition","Complex change"
"374",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Composition","Complex change"
"375",55,"Biotic","migration","http://dx.doi.org/10.1093/aesa/saad038","Composition","Complex change"
"376",55,"Biotic","disease spread","http://dx.doi.org/10.1093/aesa/saad038","Composition","Complex change"
"377",55,"Biotic","range-shift","http://dx.doi.org/10.1093/aesa/saad038","Composition","Complex change"
"378",56,"Biotic","disease spread","10.1016/j.foreco.2018.02.049	","Composition","Increase"
"379",56,"Biotic","range-shift","10.1016/j.foreco.2018.02.049	","Composition","Increase"
"380",61,"Biotic","disease spread","http://dx.doi.org/10.3390/ijerph19020893","Composition","Increase"
"381",61,"Biotic","range-shift","http://dx.doi.org/10.3390/ijerph19020893","Composition","Increase"
"382",65,"Biotic","disease spread","http://dx.doi.org/10.3390/pathogens9070589	","Composition","Complex change"
"383",65,"Biotic","range-shift","http://dx.doi.org/10.3390/pathogens9070589	","Composition","Complex change"
"384",68,"Physical","surface water quantity","10.1139/er-2022-0114	","Composition","Increase"
"385",70,"Biotic","disease spread","10.5424/fs/2012212-02230	","Composition","Complex change"
"386",70,"Biotic","range-shift","10.5424/fs/2012212-02230	","Composition","Complex change"
"387",72,"Biotic","range-shift","https://doi.org/10.1111/j.1523-1739.2008.00950.x","Composition","Complex change"
"388",75,"Biotic","range-shift","10.1016/j.jembe.2011.02.020	","Composition","No change (measured)"
"389",79,"Biotic","disease spread","10.1111/j.1439-0329.2010.00656.x","Composition","Complex change"
"390",79,"Biotic","range-shift","10.1111/j.1439-0329.2010.00656.x","Composition","Complex change"
"391",80,"Biotic","range-shift","10.1111/j.1466-8238.2009.00519.x	","Composition","Complex change"
"392",81,"Biotic","range-shift","10.12933/therya-19-749","Composition","Increase"
"393",85,"Biotic","migration","10.3389/fevo.2019.00099","Composition","No change (measured)"
"394",94,"Physical","surface water quantity","https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf","Composition","Complex change"
"395",96,"Physical","nutrient and sediment flow","https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading","Composition","Increase"
"396",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","Composition","Complex change"
"397",108,"Physical","wildfire","https://doi.org/10.1177/1178622120950272","Composition","Complex change"
"398",111,"Physical","pollution flow","https://doi.org/10.1016/j.earscirev.2020.103446","Composition","Complex change"
"399",117,"Biotic","range-shift","10.5751/ES-11988-250443","Composition","Complex change"
"400",123,"Biotic","range-shift","https://doi.org/10.1007/s11629-020-6221-1","Composition","No change (measured)"
"401",124,"Biotic","biome-shift","https://doi.org/10.1016/j.foreco.2011.05.004","Composition","Increase"
"402",125,"Sociocultural","knowledge transfer","https://doi.org/10.1016/j.foreco.2023.120854","Composition","Complex change"
"403",126,"Biotic","gene flow","https://doi.org/10.1016/j.foreco.2023.120854","Composition","Complex change"
"404",127,"Biotic","range-shift","10.1016/j.scitotenv.2021.145788","Composition","Complex change"
"405",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Composition","Increase"
"406",132,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54577","Composition","Increase"
"407",133,"Biotic","range-shift","10.1579/0044-7447(2006)35[381:AOOEOC]2.0.CO;2","Composition","Complex change"
"408",137,"Sociocultural","knowledge transfer","https://doi.org/10.1139/er-2022-0130","Composition","Complex change"
"409",138,"Biotic","range-shift","https://doi.org/10.1007/s10530-020-02244-2","Composition","Complex change"
"410",140,"Biotic","range-shift","https://doi.org/10.1111/j.1749-8198.2010.00342.x","Composition","Complex change"
"411",141,"Biotic","range-shift","10.1111/gcb.14957","Composition","Complex change"
"412",152,"Biotic","migration","10.1111/faf.12536","Composition","Complex change"
"413",155,"Biotic","range-shift","10.1111/fwb.13873","Composition","Complex change"
"414",156,"Physical","pollution flow","https://doi.org/10.1016/j.scitotenv.2024.171490","Composition","Complex change"
"415",159,"Biotic","range-shift","10.1111/j.1744-7917.2010.01367.x","Composition","Complex change"
"416",161,"Biotic","range-shift","10.3390/tropicalmed7110388","Composition","Complex change"
"417",163,"Biotic","range-shift","https://doi.org/10.1139/X08-171","Composition","Complex change"
"418",167,"Biotic","range-shift","10.1146/annurev-ecolsys-102710-145015","Composition","Complex change"
"419",168,"Physical","sea ice retreat","http://dx.doi.org/10.1016/j.pocean.2015.07.011","Composition","Increase"
"420",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Composition","Complex change"
"421",173,"Biotic","range-shift","10.7717/peerj.11","Composition","Complex change"
"422",175,"Biotic","range-shift","10.1126/science.aai9214","Composition","Complex change"
"423",185,"Biotic","range-shift","https://doi.org/10.1002/ece3.10277","Composition","Increase"
"424",186,"Physical","glacial melt","doi:10.1093/biosci/biaa015","Composition","Complex change"
"425",187,"Sociocultural","knowledge transfer","10.1007/s10113-024-02212-9","Composition","Complex change"
"426",188,"Sociocultural","knowledge transfer","10.1002/ppp3.10500","Composition","Complex change"
"427",192,"Biotic","range-shift","http://dx.doi.org/10.1139/a97-008	","Composition","Increase"
"428",197,"Physical","wildfire","https://doi.org/10.1016/j.jhydrol.2019.124360","Composition","Complex change"
"429",201,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54139","Composition","Decrease"
"430",207,"Biotic","gene flow","10.1111/j.1744-7917.2010.01367.x","Composition","Complex change"
"431",208,"Biotic","disease spread","10.3390/tropicalmed7110388","Composition","Complex change"
"432",211,"Physical","ocean current","10.1007/BF02691304","Composition","Decrease"
"433",216,"Biotic","range-shift","doi:10.1093/biosci/biaa015","Composition","Complex change"
"434",218,"Physical","glacial melt","10.1007/s10584-015-1355-9	","Composition","Complex change"
"435",229,"Sociocultural","knowledge transfer","https://doi.org/10.1139/cjfr-2022-0282","Composition","Complex change"
"436",233,"Sociocultural","knowledge transfer","DOI: 10.1111/fwb.13570","Composition","Complex change"
"437",134,"Physical","surface water quantity","https://doi.org/10.1002/ieam.1360","Composition","Increase"
"438",135,"Physical","groundwater","https://doi.org/10.1002/ieam.1360","Composition","Increase"
"439",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Genetics","No change (measured)"
"440",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","Genetics","No change (measured)"
"441",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Genetics","No change (measured)"
"442",55,"Biotic","migration","http://dx.doi.org/10.1093/aesa/saad038","Genetics","Complex change"
"443",55,"Biotic","disease spread","http://dx.doi.org/10.1093/aesa/saad038","Genetics","Complex change"
"444",55,"Biotic","range-shift","http://dx.doi.org/10.1093/aesa/saad038","Genetics","Complex change"
"445",56,"Biotic","disease spread","10.1016/j.foreco.2018.02.049	","Genetics","Complex change"
"446",56,"Biotic","range-shift","10.1016/j.foreco.2018.02.049	","Genetics","Complex change"
"447",57,"Biotic","migration","https://doi.org/10.1080/23308249.2024.2341023","Genetics","Complex change"
"448",65,"Biotic","disease spread","http://dx.doi.org/10.3390/pathogens9070589	","Genetics","Complex change"
"449",65,"Biotic","range-shift","http://dx.doi.org/10.3390/pathogens9070589	","Genetics","Complex change"
"450",84,"Biotic","range-shift","10.3133/ofr20201125","Genetics","No change (measured)"
"451",85,"Biotic","migration","10.3389/fevo.2019.00099","Genetics","No change (measured)"
"452",88,"Biotic","range-shift","https://doi.org/10.1111/eva.13223","Genetics","Complex change"
"453",88,"Biotic","gene flow","https://doi.org/10.1111/eva.13223","Genetics","Complex change"
"454",125,"Sociocultural","knowledge transfer","https://doi.org/10.1016/j.foreco.2023.120854","Genetics","Increase"
"455",126,"Biotic","gene flow","https://doi.org/10.1016/j.foreco.2023.120854","Genetics","Increase"
"456",127,"Biotic","range-shift","10.1016/j.scitotenv.2021.145788","Genetics","Complex change"
"457",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Genetics","Decrease"
"458",132,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54577","Genetics","Decrease"
"459",159,"Biotic","range-shift","10.1111/j.1744-7917.2010.01367.x","Genetics","Complex change"
"460",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Genetics","Decrease"
"461",172,"Biotic","range-shift","10.1894/0038-4909-65.2.161","Genetics","Decrease"
"462",173,"Biotic","range-shift","10.7717/peerj.11","Genetics","Complex change"
"463",175,"Biotic","range-shift","10.1126/science.aai9214","Genetics","Decrease"
"464",185,"Biotic","range-shift","https://doi.org/10.1002/ece3.10277","Genetics","Decrease"
"465",195,"Biotic","migration","10.3133/ofr20201125","Genetics","Decrease"
"466",207,"Biotic","gene flow","10.1111/j.1744-7917.2010.01367.x","Genetics","Complex change"
"467",210,"Biotic","gene flow","10.1894/0038-4909-65.2.161","Genetics","Decrease"
"468",1,"Human movement","displacement","10.1177/01979183221074343","Land.Use.Loss","Decrease"
"469",6,"Biotic","biome-shift","10.1002/ppp3.10500","Land.Use.Loss","Increase"
"470",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Land.Use.Loss","Increase"
"471",14,"Biotic","migration","10.1525/cond.2009.080096","Land.Use.Loss","Complex change"
"472",15,"Human movement","migration","https://openknowledge.fao.org/server/api/core/bitstreams/24eba882-35e4-4e04-a793-eaab4cd6259c/content","Land.Use.Loss","Increase"
"473",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Land.Use.Loss","Increase"
"474",24,"Biotic","migration","10.1890/09-0395.1","Land.Use.Loss","Complex change"
"475",25,"Biotic","migration","10.1016/j.envint.2018.06.018","Land.Use.Loss","Increase"
"476",25,"Biotic","disease spread","10.1016/j.envint.2018.06.018","Land.Use.Loss","Increase"
"477",25,"Biotic","range-shift","10.1016/j.envint.2018.06.018","Land.Use.Loss","Increase"
"478",27,"Human movement","migration","https://seors.unfccc.int/applications/seors/attachments/get_attachment?code=0O0WHMOE2QTBE8DK9QDYJRW08WYOYSCH","Land.Use.Loss","Increase"
"479",52,"Biotic","range-shift","10.1111/jbi.13465","Land.Use.Loss","Increase"
"480",53,"Biotic","range-shift","https://doi.org/10.1177/194008291600900111","Land.Use.Loss","Increase"
"481",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","Land.Use.Loss","No change (measured)"
"482",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Land.Use.Loss","No change (measured)"
"483",84,"Biotic","range-shift","10.3133/ofr20201125","Land.Use.Loss","Decrease"
"484",85,"Biotic","migration","10.3389/fevo.2019.00099","Land.Use.Loss","Decrease"
"485",90,"Biotic","range-shift","https://doi.org/10.1111/mam.12284","Land.Use.Loss","Decrease"
"486",98,"Human movement","migration","10.1007/s10290-024-00529-5	","Land.Use.Loss","Increase"
"487",116,"Physical","surface water quantity","https://doi.org/10.1007/s10584-021-03057-5","Land.Use.Loss","Decrease"
"488",150,"Biotic","migration","10.1017/S0959270908000439","Land.Use.Loss","Increase"
"489",173,"Biotic","range-shift","10.7717/peerj.11","Land.Use.Loss","Increase"
"490",188,"Sociocultural","knowledge transfer","10.1002/ppp3.10500","Land.Use.Loss","Increase"
"491",195,"Biotic","migration","10.3133/ofr20201125","Land.Use.Loss","Increase"
"492",210,"Biotic","gene flow","10.1894/0038-4909-65.2.161","Land.Use.Loss","Increase"
"493",217,"Human movement","relocation","10.1289/ehp.1104375","Land.Use.Loss","Increase"
"494",220,"Human movement","trade","https://doi.org/10.4236/jwarp.2018.1011065","Land.Use.Loss","Increase"
"495",231,"Human movement","relocation","https://doi.org/10.4236/jwarp.2018.1011065","Land.Use.Loss","Increase"
"496",232,"Human movement","relocation","https://doi.org/10.4236/jwarp.2018.1011065","Land.Use.Loss","Increase"
"497",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Land.Use.Restore","Increase"
"498",14,"Biotic","migration","10.1525/cond.2009.080096","Land.Use.Restore","Complex change"
"499",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Land.Use.Restore","Decrease"
"500",24,"Biotic","migration","10.1890/09-0395.1","Land.Use.Restore","Complex change"
"501",40,"Biotic","range-shift","10.1111/gcb.16111","Land.Use.Restore","Complex change"
"502",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","Land.Use.Restore","No change (measured)"
"503",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Land.Use.Restore","No change (measured)"
"504",84,"Biotic","range-shift","10.3133/ofr20201125","Land.Use.Restore","Increase"
"505",90,"Biotic","range-shift","https://doi.org/10.1111/mam.12284","Land.Use.Restore","Decrease"
"506",99,"Human movement","migration","10.1111/gec3.12460	","Land.Use.Restore","Increase"
"507",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","Land.Use.Restore","Complex change"
"508",127,"Biotic","range-shift","10.1016/j.scitotenv.2021.145788","Land.Use.Restore","Increase"
"509",150,"Biotic","migration","10.1017/S0959270908000439","Land.Use.Restore","Complex change"
"510",195,"Biotic","migration","10.3133/ofr20201125","Land.Use.Restore","Decrease"
"511",210,"Biotic","gene flow","10.1894/0038-4909-65.2.161","Land.Use.Restore","Decrease"
"512",76,"Sociocultural","governance","10.1111/gcb.16109","Land.Use.Restore","Increase"
"513",76,"Sociocultural","diplomatic/financial aid","10.1111/gcb.16109","Land.Use.Restore","Increase"
"514",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Urbanization","No change (measured)"
"515",16,"Human movement","migration","10.1289/ehp.1104375","Urbanization","Increase"
"516",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Urbanization","Increase"
"517",53,"Biotic","range-shift","https://doi.org/10.1177/194008291600900111","Urbanization","Increase"
"518",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","Urbanization","No change (measured)"
"519",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Urbanization","No change (measured)"
"520",85,"Biotic","migration","10.3389/fevo.2019.00099","Urbanization","Decrease"
"521",150,"Biotic","migration","10.1017/S0959270908000439","Urbanization","Increase"
"522",173,"Biotic","range-shift","10.7717/peerj.11","Urbanization","Increase"
"523",182,"Human movement","migration","https://doi.org/10.1038/s44168-024-00133-1	","Urbanization","Complex change"
"524",189,"Human movement","displacement","10.1289/ehp.1104375","Urbanization","Increase"
"525",195,"Biotic","migration","10.3133/ofr20201125","Urbanization","Increase"
"526",217,"Human movement","relocation","10.1289/ehp.1104375","Urbanization","Increase"
"527",1,"Human movement","displacement","10.1177/01979183221074343","Connectivity","Decrease"
"528",3,"Human movement","displacement","10.1007/s10113-024-02212-9","Connectivity","Decrease"
"529",6,"Biotic","biome-shift","10.1002/ppp3.10500","Connectivity","Decrease"
"530",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Connectivity","Decrease"
"531",14,"Biotic","migration","10.1525/cond.2009.080096","Connectivity","Complex change"
"532",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Connectivity","Decrease"
"533",24,"Biotic","migration","10.1890/09-0395.1","Connectivity","Complex change"
"534",25,"Biotic","migration","10.1016/j.envint.2018.06.018","Connectivity","Complex change"
"535",25,"Biotic","disease spread","10.1016/j.envint.2018.06.018","Connectivity","Complex change"
"536",25,"Biotic","range-shift","10.1016/j.envint.2018.06.018","Connectivity","Complex change"
"537",29,"Physical","wildfire","http://dx.doi.org/10.1139/a97-008	","Connectivity","Decrease"
"538",46,"Sociocultural","governance","10.5751/ES-08879-220131","Connectivity","Decrease"
"539",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","Connectivity","No change (measured)"
"540",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Connectivity","No change (measured)"
"541",57,"Biotic","migration","https://doi.org/10.1080/23308249.2024.2341023","Connectivity","Complex change"
"542",58,"Biotic","range-shift","dx.doi.org/10.1139/cjz-2019-0207","Connectivity","Increase"
"543",90,"Biotic","range-shift","https://doi.org/10.1111/mam.12284","Connectivity","Decrease"
"544",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","Connectivity","Complex change"
"545",136,"Physical","surface water quantity","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Connectivity","Decrease"
"546",150,"Biotic","migration","10.1017/S0959270908000439","Connectivity","Decrease"
"547",155,"Biotic","range-shift","10.1111/fwb.13873","Connectivity","Complex change"
"548",159,"Biotic","range-shift","10.1111/j.1744-7917.2010.01367.x","Connectivity","Complex change"
"549",168,"Physical","sea ice retreat","http://dx.doi.org/10.1016/j.pocean.2015.07.011","Connectivity","Increase"
"550",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Connectivity","Decrease"
"551",173,"Biotic","range-shift","10.7717/peerj.11","Connectivity","Decrease"
"552",175,"Biotic","range-shift","10.1126/science.aai9214","Connectivity","Decrease"
"553",187,"Sociocultural","knowledge transfer","10.1007/s10113-024-02212-9","Connectivity","Decrease"
"554",188,"Sociocultural","knowledge transfer","10.1002/ppp3.10500","Connectivity","Decrease"
"555",192,"Biotic","range-shift","http://dx.doi.org/10.1139/a97-008	","Connectivity","Decrease"
"556",201,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54139","Connectivity","Increase"
"557",207,"Biotic","gene flow","10.1111/j.1744-7917.2010.01367.x","Connectivity","Complex change"
"558",210,"Biotic","gene flow","10.1894/0038-4909-65.2.161","Connectivity","Decrease"
"559",76,"Sociocultural","governance","10.1111/gcb.16109","Connectivity","Increase"
"560",76,"Sociocultural","diplomatic/financial aid","10.1111/gcb.16109","Connectivity","Increase"
"561",3,"Human movement","displacement","10.1007/s10113-024-02212-9","Trophic","Complex change"
"562",6,"Biotic","biome-shift","10.1002/ppp3.10500","Trophic","Complex change"
"563",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Trophic","Increase"
"564",25,"Biotic","migration","10.1016/j.envint.2018.06.018","Trophic","Increase"
"565",25,"Biotic","disease spread","10.1016/j.envint.2018.06.018","Trophic","Increase"
"566",25,"Biotic","range-shift","10.1016/j.envint.2018.06.018","Trophic","Increase"
"567",33,"Biotic","range-shift","10.1007/s00300-023-03133-9","Trophic","Complex change"
"568",35,"Biotic","range-shift","10.1093/aesa/saad038","Trophic","Complex change"
"569",35,"Biotic","disease spread","10.1093/aesa/saad038","Trophic","Complex change"
"570",40,"Biotic","range-shift","10.1111/gcb.16111","Trophic","Complex change"
"571",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","Trophic","No change (measured)"
"572",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Trophic","No change (measured)"
"573",55,"Biotic","migration","http://dx.doi.org/10.1093/aesa/saad038","Trophic","Complex change"
"574",55,"Biotic","disease spread","http://dx.doi.org/10.1093/aesa/saad038","Trophic","Complex change"
"575",55,"Biotic","range-shift","http://dx.doi.org/10.1093/aesa/saad038","Trophic","Complex change"
"576",58,"Biotic","range-shift","dx.doi.org/10.1139/cjz-2019-0207","Trophic","Increase"
"577",68,"Physical","surface water quantity","10.1139/er-2022-0114	","Trophic","Increase"
"578",72,"Biotic","range-shift","https://doi.org/10.1111/j.1523-1739.2008.00950.x","Trophic","Complex change"
"579",74,"Biotic","disease spread","10.1017/S0031182021001426	","Trophic","Complex change"
"580",74,"Biotic","range-shift","10.1017/S0031182021001426	","Trophic","Complex change"
"581",75,"Biotic","range-shift","10.1016/j.jembe.2011.02.020	","Trophic","No change (measured)"
"582",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","Trophic","Complex change"
"583",105,"Physical","wind","https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian","Trophic","Complex change"
"584",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Trophic","Increase"
"585",132,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54577","Trophic","Increase"
"586",133,"Biotic","range-shift","10.1579/0044-7447(2006)35[381:AOOEOC]2.0.CO;2","Trophic","Complex change"
"587",136,"Physical","surface water quantity","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Trophic","Complex change"
"588",138,"Biotic","range-shift","https://doi.org/10.1007/s10530-020-02244-2","Trophic","Complex change"
"589",141,"Biotic","range-shift","10.1111/gcb.14957","Trophic","Complex change"
"590",144,"Biotic","migration","10.1007/s11160-014-9348-8","Trophic","Complex change"
"591",155,"Biotic","range-shift","10.1111/fwb.13873","Trophic","Complex change"
"592",156,"Physical","pollution flow","https://doi.org/10.1016/j.scitotenv.2024.171490","Trophic","No change (measured)"
"593",159,"Biotic","range-shift","10.1111/j.1744-7917.2010.01367.x","Trophic","Complex change"
"594",161,"Biotic","range-shift","10.3390/tropicalmed7110388","Trophic","Complex change"
"595",163,"Biotic","range-shift","https://doi.org/10.1139/X08-171","Trophic","Complex change"
"596",164,"Biotic","disease spread","https://doi.org/10.3390/ijerph15030478","Trophic","Increase"
"597",168,"Physical","sea ice retreat","http://dx.doi.org/10.1016/j.pocean.2015.07.011","Trophic","Increase"
"598",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Trophic","Complex change"
"599",172,"Biotic","range-shift","10.1894/0038-4909-65.2.161","Trophic","Complex change"
"600",173,"Biotic","range-shift","10.7717/peerj.11","Trophic","Complex change"
"601",175,"Biotic","range-shift","10.1126/science.aai9214","Trophic","Complex change"
"602",185,"Biotic","range-shift","https://doi.org/10.1002/ece3.10277","Trophic","Increase"
"603",186,"Physical","glacial melt","doi:10.1093/biosci/biaa015","Trophic","Complex change"
"604",187,"Sociocultural","knowledge transfer","10.1007/s10113-024-02212-9","Trophic","Complex change"
