"","Title","Authors","Abstract","Published Year","Published Month","Journal","Volume","Issue","Pages","Accession Number","DOI","Ref","Covidence #","Study","Notes","Tags","Sociocultural","Human movement","Biophysical","Biotic","IK","Intervention","Potentially relevant","save for other sections","Transboundary unclear","Original study","Perspective paper","Human_movement","Original_study"
"341","The Eye of the Tiger, the Thrill of the Fight: Effective Larval and Adult Control Measures Against the Asian Tiger Mosquito, Aedes albopictus (Diptera: Culicidae), in North America","Faraji, Ary; Unlu, Isik","The Asian tiger mosquito, Aedes albopictus (Skuse), is a highly invasive container-inhabiting species with a global distribution. This mosquito, similar to other Stegomyia species such as Aedes aegypti (L.), is highly adapted to urban and suburban areas, and commonly oviposits in artificial containers, which are ubiquitous in these peridomestic environments. The increase in speed and amount of international travel and commerce, coupled with global climate change, have aided in the resurgence and expansion of Stegomyia species into new areas of North America. In many parts of their range, both species are implicated as significant vectors of emerging and re-emerging arboviruses such as dengue, chikungunya, and now Zika. Although rapid and major advances have been made in the field of biology, ecology, genetics, taxonomy, and virology, relatively little has changed in the field of mosquito control in recent decades. This is particularly discouraging in regards to container-inhabiting mosquitoes, because traditional integrated mosquito management (IMM) approaches have not been effective against these species. Many mosquito control programs simply do not possess the man-power or necessary financial resources needed to suppress Ae. albopictus effectively. Therefore, control of mosquito larvae, which is the foundation of IMM approaches, is exceptionally difficult over large areas. This review paper addresses larval habitats, use of geographic information systems for habitat preference detection, door-to-door control efforts, source reduction, direct application of larvicides, biological control agents, area-wide low-volume application of larvicides, hot spot treatments, autodissemination stations, public education, adult traps, attractive-toxic sugar bait methods, lethal ovitraps, barrier-residual adulticides, hand-held ultra-low-volume adulticides, area-wide adulticides applied by ground or air, and genetic control methods. The review concludes with future recommendations for practitioners, researchers, private industry, and policy makers. ",2016,"/","Journal of medical entomology.","53","5","1029-1047","","10.1093/jme/tjw096","IND606809958","#15002","Faraji 2016","Grace Westphal (2024-08-15 02:44:01)(Select): More of an intervention paper.;","Biotic",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"342","Climate Change in the North American Arctic: A One Health Perspective","Dudley, Joseph P.; Hoberg, Eric P.; Jenkins, Emily J.; Parkinson, Alan J.","Climate change is expected to increase the prevalence of acute and chronic diseases among human and animal populations within the Arctic and subarctic latitudes of North America. Warmer temperatures are expected to increase disease risks from food-borne pathogens, water-borne diseases, and vector-borne zoonoses in human and animal populations of Arctic landscapes. Existing high levels of mercury and persistent organic pollutant chemicals circulating within terrestrial and aquatic ecosystems in Arctic latitudes are a major concern for the reproductive health of humans and other mammals, and climate warming will accelerate the mobilization and biological amplification of toxic environmental contaminants. The adverse health impacts of Arctic warming will be especially important for wildlife populations and indigenous peoples dependent upon subsistence food resources from wild plants and animals. Additional research is needed to identify and monitor changes in the prevalence of zoonotic pathogens in humans, domestic dogs, and wildlife species of critical subsistence, cultural, and economic importance to Arctic peoples. The long-term effects of climate warming in the Arctic cannot be adequately predicted or mitigated without a comprehensive understanding of the interactive and synergistic effects between environmental contaminants and pathogens in the health of wildlife and human communities in Arctic ecosystems. The complexity and magnitude of the documented impacts of climate change on Arctic ecosystems, and the intimacy of connections between their human and wildlife communities, makes this region an appropriate area for development of One Health approaches to identify and mitigate the effects of climate warming at the community, ecosystem, and landscape scales.",2015,"/","EcoHealth.","12","4","713-725","","10.1007/s10393-015-1036-1","IND604778183","#15090","Dudley 2015","","Biotic; Perspective paper; Sociocultural",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"343","Remediation technologies for oil-drilling activities in the Arctic: oil-spill containment and remediation in open water","Manzetti, Sergio","The Arctic Ocean is a large aquatic ecosystem stretching 14,056,000 km 2 across the Northern Hemisphere, and hosts a multitude of marine species, avian species, and the well-known polar bear in its domain. The Arctic Ocean is the most remote ocean in the world and has been inaccessible to traffic and oil-drilling activities until recent years. However, as transport, trade, and global turnover of petrol and oil products increase and climate changes reduce the glacial surface of the North Pole, the Arctic Ocean is becoming an area of interest for international shipping, offshore, and drilling activities. Nevertheless, this development requires ultimately a parallel implementation of environmental technologies for oil-drilling safety, with particular emphasis on oil-spill remediation in cold and harsh environments. In this context, this study reports on the most recent developments of open sea and coastline oil-remediation technologies for the prevention of damage to wildlife and the Arctic ecosystem as a whole. The review encompasses methods including microbial, chemical, and nanotechnological areas of oil-spill remediation, which are reported in context with the weather limitations of the Arctic wherever available. ",2014,"/","Environmental Technology reviews.","3","1","49-60","","10.1080/21622515.2014.966156","IND601227493","#15118","Manzetti 2014","","Human movement",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"344","Conservation and management of Canada's polar bears (Ursus maritimus) in a changing Arctic11This review is part of the virtual symposium """"Flagship Species-Flagship Problems"""" that deals with ecology, biodiversity and management issues, and climate impacts ","Peacock, E.; Derocher, A.E.; Thiemann, G.W.; Stirling, I.","Canada has an important responsibility for the research, conservation, and management of polar bears (Ursus maritimus Phipps, 1774) because the majority of polar bears in the world occur within the nation's borders. Two fundamental and recent changes for polar bears and their conservation have arisen: (1) the ongoing and projected further decline of sea-ice habitat as a result of climate change and (2) the implementation of aboriginal land claims and treaties in Canada's North. Science has documented empirical links between productivity of polar bear population and sea-ice change. Predictive modeling based on these data has forecast significant declines in polar bear abundance and distribution of polar bears. With the signing of northern land claims and treaties, polar bear management in Canada has integrated local aboriginal participation, values, and knowledge. The interaction of scientific and local perspectives on polar bears as they relate to harvest, climate change, and declining habitat has recently caused controversy. Some conservation, management, and research decisions have been contentious because of gaps in scientific knowledge and the polarization and politicization of the roles of the various stakeholders. With these ecological and governance transitions, there is a need to re-focus and re-direct polar bear conservation in Canada. ",2011,"/","Canadian journal of zoology.","89","5","371-385","","10.1139/z11-021","IND605173281","#15318","Peacock 2011","Maya-Lin Green (2024-08-25 17:18:20)(Select): The paper meets all five criteria. It is a review paper that discusses climate change impacts and the effects of sea ice decline on polar bear populations, their distribution, and habitat use. The flow relates to biodiversity and is located in North America. The paper mentions polar bear subpopulations between Canada, the US, and Greenland which indicate transboundary movements. ; ","Biophysical",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"345","White pines, Ribes, and blister rust: a review and synthesis","Geils, BrianW.; Hummer, KimE.; Hunt, RichardS.","For over a century, white pine blister rust (Cronartium ribicola) has linked white pines (Strobus) with currants and gooseberries (Ribes) in a complex and serious disease epidemic in Asia, Europe, and North America. Because of ongoing changes in climate, societal demands for forests and their amenities, and scientific advances in genetics and proteomics, our current understanding and management of the white pine blister rust pathosystem has become outdated. Here, we present a review and synthesis of international scope on the biology and management of blister rust, white pines, Ribes, and other hosts. In this article, we provide a geographical and historical background, describe the taxonomy and life cycle of the rust, discuss pathology and ecology, and introduce a series of invited papers. These review articles summarize the literature on white pines, Ribes, and blister rust with respect to their status, threats, and management through genetics and silviculture. Although the principal focus is on North America, the different epidemics in Europe and Asia are also described. In the final article, we discuss several of the key observations and conclusions from the preceding review articles and identify prudent actions for research and management of white pine blister rust.",2010,"/","Forest pathology.","40","3","147-185","","10.1111/j.1439-0329.2010.00654.x","IND44414808","#15364","Geils 2010","Grace Westphal (2024-08-15 07:39:46)(Select): Climate change is implicitly mentioned in this study;","Biotic; Transboundary unclear",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"346","Roadside as Invasion Pathway for Common Reed (Phragmites australis)","Brisson, Jacques; de Blois, Sylvie; Lavoie, Claude","The rapid progression of an invasive genotype of common reed along roads and other linear infrastructures in North America provides one of the most spectacular examples of the role of transportation corridors as invasion pathways. In this paper, we discuss ecological patterns and processes in roadside habitats important for understanding the invasion dynamics of common reed from coastal areas inland. Frequent disturbances in roadsides combined with potentially high levels of nutrients from adjacent land and stress conditions (from deicing salt and other pollutants) mimic the conditions unfortunately found more and more in natural wetlands. The novel contribution of roads is the creation of linear wetlands with an unprecedented level of connectivity. Genetic evidence shows that invasion inland coincides with the intensification of the road network. Time series analysis of remote sensing data reveals impressive rates of invasion of roadsides and other linear infrastructures, suggesting prime conditions for common reed in these novel habitats. Whereas reed dispersal along roads was thought to be largely due to rhizome transport, new evidence suggests a significant contribution of sexual reproduction and seedling establishment, likely enhanced by climate warming at northern latitudes. There is little evidence that other wetland plants can slow down vegetative expansion of common reed in roadside habitats, but plant cover could prevent seedling establishment and shading by shrubs and trees limit lateral clonal expansion. The fact that common reed possibly provides water treatment and other ecosystem services in roadsides must be carefully weighed against the threat to biodiversity in natural systems. All this begs for investigating urgently if, where, and how we should intervene without compromising the great value of wetlands of conservation interest intersected by roads.",2010,"/","Invasive plant science and management.","3","4","506-514","","10.1614/IPSM-09-050.1","IND44475723","#15378","Brisson 2010","","Biotic; Transboundary unclear",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"347","Consequences of climate change for biogeochemical cycling in forests of northeastern North America","Campbell, John L.; Rustad, Lindsey E.; Boyer, Elizabeth W.; Christopher, Sheila F.; Driscoll, Charles T.; Fernandez, Ivan J.; Groffman, Peter M.; Houle, Daniel; Kiekbusch, Jana; Magill, Alison H.; Mitchell, Myron J.; Ollinger, Scott V.","A critical component of assessing the impacts of climate change on forest ecosystems involves understanding associated changes in the biogeochemical cycling of elements. Evidence from research on northeastern North American forests shows that direct effects of climate change will evoke changes in biogeochemical cycling by altering plant physiology, forest productivity, and soil physical, chemical, and biological processes. Indirect effects, largely mediated by changes in species composition, length of growing season, and hydrology, will also be important. The case study presented here uses the quantitative biogeochemical model PnET-BGC to test assumptions about the direct and indirect effects of climate change on a northern hardwood forest ecosystem. Modeling results indicate an overall increase in net primary production due to a longer growing season, an increase in NO3- leaching due to large increases in net mineralization and nitrification, and slight declines in mineral weathering due to a reduction in soil moisture. Future research should focus on uncertainties, including the effects of (1) multiple simultaneous interactions of stressors (e.g., climate change, ozone, acidic deposition); (2) long-term atmospheric CO2 enrichment on vegetation; (3) changes in forest species composition; (4) extreme climatic events and other disturbances (e.g., ice storms, fire, invasive species); and (5) feedback mechanisms that increase or decrease change.",2009,"/","Canadian journal of forest research =.","","","264-284","","10.1139/X08-104","IND44171954","#15413","Campbell 2009","","Biophysical; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"348","Cross-scale Drivers of Natural Disturbances Prone to Anthropogenic Amplification: The Dynamics of Bark Beetle Eruptions","Raffa, K.F.; Aukema, B.H.; Bentz, B.J.; Carroll, Al.; Hicke, J.A.; Turner, M.G.; Romme, W.H.","Biome-scale disturbances by eruptive herbivores provide valuable insights into species interactions, ecosystemfunction, and impacts of global change. We present a conceptual framework using one system as a model, emphasizing interactions across levels of biological hierarchy and spatiotemporal scales. Bark beetles are major natural disturbance agents in western North American forests. However, recent bark beetle population eruptions have exceeded the frequencies, impacts, and ranges documented during the previous 125 years. Extensive host abundance and susceptibility, concentrated beetle density, favorable weather, optimal symbiotic associations, and escape from natural enemies must occur jointly for beetles to surpass a series of thresholds and exert widespread disturbance. Opposing feedbacks determine qualitatively distinct outcomes at junctures at the biochemical through landscape levels. Eruptions occur when key thresholds are surpassed, prior constraints cease to exert influence, and positive feedbacks amplify across scales. These dynamics are bidirectional, as landscape features influence how lower-scale processes are amplified or buffered. Climate change and reduced habitat heterogeneity increase the likelihood that key thresholds will be exceeded, and may cause fundamental regime shifts. Systems in which endogenous feedbacks can dominate after external forces foster the initial breach of thresholds appear particularly sensitive to anthropogenic perturbations.",2008,"/","BioScience.","","","501-517","","10.1641/B580607","IND44071925","#15461","Raffa 2008","Anabel Kinsey (2024-09-04 09:19:50)(Select): I couldn't find a specific temporal example of a flow, but I think this has a lot of potential! A really similar paper about beetles could be a really good example. Def come back!; ","Biotic; Potentially relevant; Transboundary unclear; save for other sections",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"349","National circumstances in the international circumboreal community","Wulder, M.A.; Campbell, C.; White, J.C.; Flannigan, M.; Campbell, I.D.","Boreal forest nations are often thought to have similar environmental, social, and economic contexts. In this communication we show that boreal forest nations are a disparate grouping, with some similarities and many differences. Highlighting these differing national contexts provides insights into how a given nation utilizes the boreal forests over which it holds stewardship responsibilities. Current national contexts are related to each nation's physiography, climate, history, legacy of past forest management, the timing of transition from natural to plantation forests, population density and distribution, and access to resources and markets. Boreal forests are dominated by pioneer species that are resilient to disturbance and have a demonstrated ability to adapt to past climate changes. National responses to natural disturbances are linked to forest area, ownership, and management intensity. Boreal forests in large nations (e.g., Canada, Russian Federation) are typically publicly owned, and disturbances such as fire are allowed to progress naturally over remote areas. In smaller nations, where there is often a greater proportion of private ownership and a focus on production forestry, natural disturbances are more aggressively controlled (e.g., Sweden, Finland). Large nations with low boreal human population densities have a greater proportion of natural boreal forest, with relatively higher levels of biodiversity when compared to the fully managed forests of some smaller boreal nations. In smaller nations, the combination of limited forest area and private ownership has facilitated the dominance of intensive sustainable forestry management practices (e.g., Finland). Conversely, in nations with more spatially extensive forest assets that are publicly owned and managed to meet multiple objectives, extensive sustainable forest management practices dominate (e.g., Canada, Russian Federation).",2007,"/","Forestry chronicle.","83","4","539-556","","10.5558/tfc83539-4","IND44053595","#15488","Wulder 2007","Colleen Miller (2024-08-23 01:16:47)(Select): Transboundary implicit; discusses some flows related to forests such as the movement of pollutants and fires;","Intervention; Perspective paper; Transboundary unclear",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"350","Climate change 2007: impacts, adaptation and vulnerability : contribution of Working Group II to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change","Parry, Martin L.","The Climate Change 2007 volumes of the Fourth Assessment Report of the Intergovernmental Panel on Climate Change (IPCC) provide the most comprehensive and balanced assessment of climate change available. This IPCC Working Group II volume provides a completely up-to-date scientific assessment of the impacts of climate change, the vulnerability of natural and human environments, and the potential for response through adaptation. Written by the world's leading experts, the IPCC volumes will again prove to be invaluable for researchers, students, and policymakers, and will form the standard reference works for policy decisions for government and industry worldwide.",2007,"/","","","","","","","CAT31000933","#15505","Parry 2007","Elliott Parsons (2024-08-17 12:48:17)(Select): This this IPCC Report is a review (1=yes), yes pretty much all the flows are included along with climate impacts (2=yes), it is related to biodiversity in many places (3=yes), it is global so 4=yes, and there is a general expectation that flows will not be limited by borders so 5=yes; ","Biophysical; Biotic",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"351","The impacts of climate change on Ontario's forests","Colombo, S. J.; Buse, L. J.; Cherry, M. L.; Graham, C.; Greifenhagen, S.; McAlpine, R. S.; Papadopol, C. S.; Parker, W. C.; Scarr, T.; Ter-Mikaelian, M. T.; Flannigan, M. D.","This report reviews literature concerning the effects of global climate change on forest plants and communities and discusses the potential impacts climate change may have on the forests of Ontario (Canada). There are 10 chapters by different authors, and introductory and concluding sections. There is growing evidence that environmental changes caused by increased atmospheric CO2 and its potential effects on global climate will alter forest ecosystems in Ontario. A doubling of CO2 from pre-industrial levels is expected to occur within 80 yr. Increased CO2 may increase average summer temperatures in Ontario between 3 and 6 degrees C, with the largest increases in NW and S. Ontario. Precipitation is predicted to increase in NE Ontario, but to decrease in S. and NW Ontario. An increase in summer temperatures with no or little increase in precipitation would increase the frequency and severity of drought by increasing evapotranspiration. Also, extreme weather events and variation in weather are expected to increase. The length of the forest fire season is expected to increase with longer growing seasons, and increased moisture loss from forests due to increased temperatures would increase forest fire frequency and severity. Increases in drought stress could also increase the frequency of major forest insect and disease outbreaks. Increases in forest fires, insect outbreaks and diseases would, in turn, alter the age structure and species in forest ecosystems, with the greatest impacts expected in NW and S. Ontario. Extreme weather events could further damage or stress plants. Increased CO2, drought, and temperature will affect the growth and survival of plants by altering their physiological behaviour. The genetic structure of plant populations may be affected by altered selection pressures, and species with larger genetic variability are likely to be more adaptable to changed climatic conditions and may be more successful. Competitive abilities of plant species now present in Ontario's forests may change, with some species becoming more competitive and others less so. Productivity and timber supply in NW and S. Ontario may decline due to increases in drought, forest fires, insects and disease, although this may be partially offset by increases in growth rates accompanying higher CO2 levels, warmer temperatures, and a longer growing season. Increases in precipitation in NE Ontario along with higher CO2 levels, increased temperatures and longer growing season could significantly increase productivity and timber supply. Over hundreds of years, plant species may migrate northward. Differing migration rates and the species' reactions to new environmental conditions could result in new plant species mixes for which forest management experience is lacking. However, forest management through changed silvicultural and harvesting practices could reduce the impacts of climatic change to forests. Climatic adaptation could also be increased through tree breeding, and carbon sequestration could become a goal of forest management.",1998,"","Forest Research Information Paper - Ontario Forest Research Institute","","143","v-pp","","","","#15705","Colombo 1998","Alice Gaalswyk (2024-09-01 00:51:18)(Select): study is geographically focused on Ontario but discusses some transboundary locations like the Great Lakes system that could be relevant to the chapter ;","Biotic; Transboundary unclear",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"352","Forest insect and disease conditions in the United States 2004","","This annual report describes the extent and nature of insect- and disease-caused damage of significance to the USA in 2004. The first section of this report highlights emerging insects and disease issues. Regional and temporal trends in selected insect and disease conditions are highlighted in the second section. Distribution maps are provided for some pests. The third section of the report brings together insect, disease, and abiotic damage reports from each affected region under the organism's or agent's name. The organisms and agents are arranged alphabetically in the appropriate section: native insects, non-native insects, native diseases (including dwarf mistletoes), non-native diseases, disease of unknown origin, declines and complexes, seed orchard insects and diseases, nursery insects and diseases, and abiotic damage (air pollution, damage by vertebrate pests, drought effects, fire, flooding, ice damage, frost and cold injury, saltwater intrusion/subsidence/erosion, wind and other weather damage). An appendix gives a brief description of forest areas.",2005,"","Forest insect and disease conditions in the United States 2004","","","x-pp","","","","#15721","","","Biotic; Transboundary unclear",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"353","The impact of climate change on countries' interdependence on genetic resources for food and agriculture","Fujisaka, S.; Williams, D.; Halewood, M.","In many parts of the world, climate change rates will likely exceed the adaptive capacity of a broad range of crop and forage varieties, animal breeds, and tree populations used in agricultural production systems. The evidence with respect to the relative adaptive capacity of beneficial microbes and aquaculture species is less conclusive but points in the same direction. This mismatch between climate change rates and adaptive capacities will require adaptations of production systems. As part of their strategies to adapt, countries will need still more outside sources of diversity of the same species, or new species entirely. This finding is based on the assumption that countries will seek to maintain agricultural production in areas currently being farmed. It is possible, of course, that in some areas environmental and related biotic stresses will be such that agriculture will have to be abandoned altogether. Interdependence on germplasm of crops will perhaps continue to be at higher levels than other GRFA, with existing, well documented levels of countries' dependence on each others' germplasm being still further augmented. The impact of climate change vis-a-vis pathogenic microbes is, in some respects, the corollary of its impact on crops, forage, animals, and trees. Climate change will provide opportunities for pathogenic microbes (and their insect vectors) to thrive in parts of the world where, previously, they have had no, or only limited, impact. The effect will be to augment the dependence of countries on genetic resources from beyond their borders - in this case, as sources of genetic resistance to novel pests and diseases or to bio-control agents. Climate change is increasing countries' interdependence on GRFA. This increased interdependence means there will be an increased need for international movements of GRFA to meet agricultural production challenges associated with climate change. It is important for policy makers to consider the importance of these international movements of GRFA when considering options for access and benefit sharing norms.",2010,"","Background Study Paper (FAO)","","48","ii-pp","","","","#15750","Fujisaka 2010","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"354","Disturbance and sustainability in forests of the Western United States","Barrett, T. M.; Robertson, G. C.","This report assesses recent forest disturbance in the Western United States and discusses implications for sustainability. Individual chapters focus on fire, drought, insects, disease, invasive plants, and socioeconomic impacts. Disturbance data came from a variety of sources, including the Forest Inventory and Analysis program, Forest Health Protection, and the National Interagency Fire Center. Disturbance trends with the potential to affect forest sustainability include alterations in fire regimes, periods of drought in some parts of the region, and increases in invasive plants, insects, and disease. Climate affects most disturbance processes, particularly drought, fire, and biotic disturbances, and climate change is expected to continue to affect disturbance processes in various ways and degrees.",2021,"","General Technical Report - Pacific Northwest Research Station, USDA Forest Service","","PNW-GTR-992","231-pp","","","","#15813","Barrett 2021","Anabel Kinsey (2024-10-15 12:54:02)(Select): Interesting case example: """" Historically, the range of mountain pine beetle was restricted by climatic conditions unfavorable to brood development, but is expanding as a result of climate change and other factors. Populations were detected in Nebraska in 2009 (Costello and Schaupp 2011); in Alberta, Canada, in 2003 (Cudmore et al. 2010); and in the Northwest Territories, Canada, in 2012 (Natural Resources Canada 2013). Scientists have expressed a concern that mountain pine beetle could expand farther eastward across the boreal forest of Canada and into the Eastern United States (Safranyik et al. 2010)."""" pg 85; ","Biotic; Transboundary unclear",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"355","Impact of slow-onset events related to climate change on food security in Latin America and the Caribbean","Abeldano Zuniga, R. A.; Lima, G. N.; Gonzalez Villoria, A. M.","This review article assesses evidences published in the past two years on the links among slow-onset events, food security and poverty as well as the strategies focused on reducing specific problems, those implemented in the countries of the Latin America and the Caribbean (LAC) region. It is here, where slow-onset events related to Climate Change pose significant challenges intricately linked to poverty and food security; mainly as a result of a great economic and social dependence, strongly conditioned by environmental factors. In this study, the authors include the main adaptive strategies they found in the literature reviewed: water improvement as a primary adaptive strategy for agriculture, apart from the ones that use geographic information systems technologies for monitoring vulnerable areas, diversification of cultures, adoption of agroecological practices, reduction of the gender gap in land governance, and implementation of educational strategies.",2021,"","Special Issue: Slow onset events related to climate change.","50","","215-224","","http://dx.doi.org/10.1016/j.cosust.2021.04.011","","#15852","AbeldanoZuniga 2021","","Sociocultural",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"356","Impacts and management of Hemlock Woolly Adelgid in national parks of the eastern United States","Abella, S. R.","Introduced forest pests and pathogens are a major threat to national parks. This paper reviews existing impacts, projected impacts, and management options for Tsuga canadensis (Eastern Hemlock) forests in US national parks threatened by the introduced insect Adelges tsugae (Hemlock Woolly Adelgid [HWA]). Eighty-five national parks, or 21% of all parks in the US national park system, are encompassed within the range of Eastern Hemlock. These 85 parks include iconic areas such as national battlefields and the Appalachian National Scenic Trail. Four focal parks of this study - Delaware Water Gap National Recreation Area, Great Smoky Mountains National Park, Shenandoah National Park, and New River Gorge National River - are collectively visited by 16 million people annually and Eastern Hemlock is a forest component in 2-26% of their area. Results of research on HWA impacts to forest species composition, soil nutrient cycling, watersheds and fisheries, wildlife habitat, and visitor experiences and safety have already been reported from these parks. A general principle is that after Eastern Hemlock forest decline, some species (e.g., some avian species favoring other tree species) benefit, while those associated with Eastern Hemlock must adapt or decline. Forecasting future forest-tree composition is complicated by the fact that: (i) many possible replacement tree species are themselves threatened by introduced damaging agents, (ii) changes hinge upon understory dynamics such as invading exotic plants or expansion of native shrubs, and (iii) this die-off event is occurring within a context of multiple interacting factors such as elevated herbivory, climate change, and atmospheric pollution. Some management strategies for parks include: intensive HWA chemical treatment at priority sites, biocontrol, genetic manipulation for HWA resistance in Eastern Hemlock, exotic plant treatment, facilitated establishment of native vegetation, or doing nothing, the last of which also is likely to result in appreciable forest change. Threats to US national parks posed by introduced forest pests and pathogens warrant heightened attention.",2014,"","Special Issue: Forest impacts and ecosystem effects of the hemlock woolly adelgid in the eastern US.","13","Special Issue 6","16-45","","","","#15853","Abella 2014","","Biotic",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"357","Bluetongue virus: update on the situation in the Americas, the Caribbean and Cuba","Acevedo, A. M.; Curiel, M.; Relova, D.; Perera, C. L.","Bluetongue has been listed as a notifiable disease by the World Organization for Animal Health (OIE). Over the past two decades, the bluetongue virus has caused severe outbreaks in domestic and wild ruminants in several countries outside the range of 40 degrees N and 35 degrees S due to the migration of Culicoides spp. at increasing latitudes where ruminants are susceptible. Climate change, driven by global warming, could contribute to the spread of the virus beyond those limits, mainly through the creation of more suitable conditions for the propagation and reproduction of vectors. This review provides a summary of some previously compiled data of the different BTV serotypes that are present in the Americas and the Caribbean region, specified by serological techniques or viral isolation, as well as vector species involved in disease transmission.",2020,"","Virus de la lengua azul: actualizacion de la situacion en las americas, el caribe y Cuba.","42","2","","","","","#15869","Acevedo 2020","","Biotic",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"358","Searching for clues for eighteen years: deciphering the ecological determinants of Cryptococcus gattii on Vancouver Island, British Columbia","Acheson, E. S.; Galanis, E.; Bartlett, K.; Mak, S.; Klinkenberg, B.","Cryptococcus gattii emerged on Vancouver Island in 1999 for unknown reasons, causing human and animal fatalities and illness. The apparent emergence of this fungus in another temperate area, this time in the Pacific Northwest, suggests the fungus may have expanded its ecological niche. Yet studies that directly examine the potential roles of climatic and land use changes on C. gattii are still lacking. We aim to summarize the existing global literature on the ecology of C. gattii, with particular focus on the gap in knowledge surrounding the potential effects of climatic and land use changes. We systematically reviewed English peer-reviewed literature on the ecological determinants of C. gattii. We included studies published from January 1970 through June 2016 and identified 56 relevant studies for our review. We identified environmental isolations of C. gattii from 18 countries, spanning 72 separate regions across six continents. Fifty-three tree species were associated with C. gattii, spanning 10 climate classifications and 36 terrestrial ecoregions. No studies directly tested the potential effects of climatic changes (including climatic oscillations and global climate change) on C. gattii, while only one study directly assessed those of land use change. To improve model predictions of current and future distributions of C. gattii, more focus is needed on the potential effects of climatic and land use changes to help decrease the public health risk. The apparent emergence of C. gattii in British Columbia is also an opportunity to explore the factors behind emerging infectious diseases in Canada and elsewhere.",2018,"","Medical Mycology","56","2","129-144","","http://dx.doi.org/10.1093/mmy/myx037","","#15875","Acheson 2018","","Biotic",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"359","Saltmarshes in a time of change","Adam, P.; Polunin, N. V. C.","This review discusses the factors that influence the development and future condition and survival of salt marshes. Of critical importance are changes in relative sea level and in tidal range. Relative sea level is affected by changes in absolute sea level, changes in land level and the capacity of salt marshes to accumulate and retain sediment. Many salt marshes are starved of sediment because of catchment modification and coastal engineering, or exposed to erosive forces, which may be natural origin or reflect human interference. Pressures on the environment created by the continued increase in the human population, particularly in developing tropical countries, and the likely consequences of the enhanced greenhouse effect on both temperature and sea level give rise to particular concerns. Humans have modified salt marshes directly and intensively in many ways for a variety of purposes, viz., as a cultural landscape, land claim, evaporative salt production, aquaculture, insect control, tidal power, tidal barriers, water storage, pollution (by oil, industrial chemicals and eutrophication), and introduced species. The impact of these factors on the change of salt marshes in Kent and Essex (southeast England), Morecambe Bay (northwest England) and in Louisiana (USA), as well as the changes in the distribution and abundance of native species are discussed. By 2025, global sea level rise and warming will have impacts on salt marshes. However, the most extensive changes are likely to be the direct result of human actions at local or regional scales.",2002,"","Environmental Conservation","29","1","39-61","","http://dx.doi.org/10.1017/S0376892902000048","","#15882","Adam 2002","","Biotic; Sociocultural",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
