"","Title","Authors","Abstract","Published Year","Published Month","Journal","Volume","Issue","Pages","Accession Number","DOI","Ref","Covidence #","Study","Notes","Tags","Sociocultural","Biophysical","Biotic","IK","Intervention","Potentially relevant","save for other sections","Transboundary unclear","Perspective paper","Human_movement","Original_study","socio_human","socio_biotic","socio_physical","human_biotic","biotic_physical"
"54","Wildfire impacts on hydrologic ecosystem services in North American high-latitude forests: A scoping review","Robinne, F. N.; Hallema, D. W.; Bladon, K. D.; Buttle, J. M.","High-latitude forests of North America are characterized by their natural dependence on large and severe wildfires. However, these wildfires also pose a range of social, economic, and environmental risks, with growing concern regarding persistent effects on stream flow volume, seasonal timing of flow, water quality, aquatic ecosystem health, and downstream community drinking water treatment. Here, we present the outcomes of a comprehensive scoping review of post-fire hydrologic studies in high-latitude forests of North America (Canada and Alaska). Our objectives were to (1) create an inventory of studies on post-fire hydrologic effects on surface water; (2) analyze those studies in terms of watershed characteristics and the type and duration of hydrologic effects; (3) identify and evaluate the link between upstream hydrologic effects with hydrologic ecosystem services; and (4) propose a research agenda addressing the link between wildfire science and hydrologic ecosystem services. We screened 2935 peer-reviewed articles and selected 82 studies to include based on their relevance according to a systematic, multi-step selection process. Next, we classified the papers into five themes: (a) runoff volume and flow regimes, (b) erosion and sediment transport, (c) water chemistry, (d) hydromorphology, and (e) aquatic food webs. For each study, we documented location, fire regime, watershed characteristics, and ecosystem services. The annual number of published studies on post-fire hydrology in high-latitude forests and, in particular, those addressing hydrologic ecosystem services, has increased steadily in recent years. Descriptions of wildfire characteristics, watershed characteristics, and effects on hydrologic ecosystem services were highly variable across studies, hindering cross-study comparisons. Moreover, there were limited efforts to extend study results to implications for forest or water management decisions regarding ecosystem services from source watersheds. Most studies focused on fire impacts on aquatic habitats and water chemistry while services of direct concern to communities, such as drinking water, were rarely addressed. We contend that study standardization, further use of geospatial technologies, and more studies directly addressing ecosystem services will help mitigate the increasing risks to water resources in northern forests.",2020,"FEB","JOURNAL OF HYDROLOGY","581","","","WOS:000514758300004","10.1016/j.jhydrol.2019.124360","","#10278","Robinne 2020","Elliott Parsons (2024-08-27 04:54:39)(Select): 1 = yes (paper is a review), 2, yes, climate change is affecting wildfires in North America, this affects Hydrological Ecosystem Services, HES (biophysical flows) = yes, 3 = yes (see 3.6 Aquatic food webs, 4 = yes (North American geographics, Canada and Alaska mostly), 5 = yes (highly likely that post-fire changes in hydrology and impacts to ecosystem services affected by climate change will lead to transboundary changes in HES; ","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"55","Ecological Interfaces between Land and Flowing Water: Themes and Trends in Riparian Research and Management","Rood, S. B.; Scott, M. L.; Dixon, M.; González, E.; Marks, C. O.; Shafroth, P. B.; Volke, M. A.","This paper provides an overview of past, present and future themes for research and management of riparian zones, often relating to papers within this Wetlands Special Feature. Riparian research expanded in the United States around 1980 with themes that recognized (1) damage from excessive livestock, or (2) damage from river damming and diversion, and (3) the beneficial capacity of riparian buffers to intercept and assimilate nutrients and other water contaminants. Research expanded globally in the 1990s, with themes including (4) plant life history requirements and (5) reliance on fluvial geomorphic dynamics that enable riparian rejuvenation. Resource managers recognized that riparian areas provide (6) rich wildlife habitats (7) along with valued ecosystem services, (8) which encouraged conservation and restoration initiatives, (9) including environmental flow regimes. Floodplains are (10) vulnerable to invasive plants and management has included biocontrol such as for Tamarix in the American Southwest. Into the twenty-first century, (11) climate change is advancing, and riparian ecosystems may be especially impacted due to the compound challenges from increasing water demand and declining summer flows. As an emerging opportunity, (12) while reservoirs submerge floodplain vegetation, reservoir deltas may support compensatory riparian wetlands. (13) Studies increasingly utilize remote sensing tools including satellite imagery, LiDAR and unmanned aircraft systems, and (14) the coordination of large data sets invites digital ecology, including artificial intelligence and machine learning. Since riparian zones are centres for human activities, (15) there are opportunities for citizen science, social media and internet applications, which will increasingly democratize riparian research and management.",2020,"DEC","Wetlands","40","6","1801-1811","WOS:000599482800001","10.1007/s13157-020-01392-4","","#10389","Rood 2020","","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"56","What are the effects of flow-regime changes on fish productivity in temperate regions? A systematic map","Rytwinski, T.; Harper, M.; Taylor, J. J.; Bennett, J. R.; Donaldson, L. A.; Smokorowski, K. E.; Clarke, K.; Bradford, M. J.; Ghamry, H.; Olden, J. D.; Boisclair, D.; Cooke, S. J.","Background There is growing evidence of the potential negative consequences of altered flow regimes, in terms of magnitude, frequency, timing, duration or season pattern, on fluvial ecosystems and the fisheries they support. The scientific and policy communities have acknowledged the need for a better understanding of the effects of flow alteration on fish productivity. We conducted a systematic map to provide an overview of the existing literature base on the effects of flow-regime changes on direct outcomes of freshwater or estuarine fish productivity in temperate regions to inform stakeholders and policy makers. Methods To identify relevant articles for inclusion in this systematic map, we searched six bibliographic databases, 29 organizational websites, one search engine, and 297 reviews, and solicited grey literature through relevant sources. We screened articles at title and abstract, then by full-text using predefined inclusion criteria. Included studies were coded for key variables of interest, along with a very basic critical appraisal for internal validity (i.e., susceptibility to bias). The quantity and characteristics of the available evidence, knowledge gaps and subtopics with sufficient coverage for full systematic reviewing are reported in a narrative synthesis. The distribution and frequency of examined effects of flow-regime changes on fish productivity outcomes are presented in visual heatmaps. Review findings A total of 1368 studies from 1199 articles were included in the systematic map database and used to identify a number of interesting themes in the evidence base: (1) large evidence bases were found in temperate regions of United States of America (USA), Canada, and Australia; (2) most studies either used a temporal or spatial trend design i.e., lacking a 'true' before intervention time period, or no intervention control sites; (3) the most studied causes of altered flow regime were natural (e.g., floods, droughts, climate change), hydroelectric facilities (hydro), and dams with no hydro; and (4) there were clear clusters of studies evaluating effects of changes in magnitude and surrogate measures (e.g., velocity, water depth) on fish productivity outcomes, in particular abundance and diversity metrics. A number of potential knowledge gaps were identified: including geographic (Northern Africa, and possibly parts of Asia), causes of altered flow regime (restoration, land-use change, and water abstraction/extraction/diversion), interventions (flow duration, frequency, rate of change, or timing), outcomes (population viability) and specific intervention/cause/outcome groups (e.g., changes in flow magnitude due to hydro or natural causes and fish survival, performance, and reproduction). A few aspects in methodology were also identified across studies, primarily a lack of true comparators (e.g., temporal or spatial trend designs). Conclusions This map suggests subtopics warranting future evidence synthesis include, examinations into how changes in flow magnitude affects: (1) fish abundance for dams with no hydro causes; (2) fish abundance, diversity/richness, migration, and growth for hydro causes; and (3) fish abundance, diversity/richness, growth, community structure, recruitment, and migrating fish abundance for natural causes. More comprehensive evidence is needed to understand how: (1) fish productivity metrics are affected by changes in flow regime due to restoration, land-use change, and water withdrawal/diversion activities; (2) how fish productivity is affected by changes to components of flow regime other than magnitude (e.g. , flow duration, frequency); and (3) changes in flow magnitude due to hydro or natural causes affect fish survival, performance, and reproduction; and (4) changes in flow regime (all causes, all interventions) affect population viability.",2020,"APR 18","Environmental Evidence","9","1","","WOS:000529040200001","10.1186/s13750-020-00190-z","","#10527","Rytwinski 2020","","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"57","Impact of anthropogenous environmental factors on the marine ecosystem of trophically transmitted helminths and hosting seabirds: Focus on North Atlantic, North Sea, Baltic and the Arctic seas","Schwantes, U.","Alongside natural factors, human activities have a major impact on the marine environment and thus influence processes in vulnerable ecosystems. The major purpose of this review is to summarise the current understanding as to how manmade factors influence the marine biocenosis of helminths, their intermediate hosts as well as seabirds as their final hosts. Moreover, it highlights current knowledge gaps regarding this ecosystem, which should be closed in order to gain a more complete understanding of these interactions. This work is primarily focused on helminths parasitizing seabirds of the North Atlantic and the Arctic Ocean.The complex life cycles of seabird helminths may be impacted by fishing and aquaculture, as they interfere with the abundance of fish and seabird species, while the latter also affects the geographical distribution of intermediate hosts (marine bivalve and fish species), and may therefore alter the intertwined marine ecosystem. Increasing temperatures and seawater acidification as well as environmental pollutants may have negative or positive effects on different parts of this interactive ecosystem and may entail shifts in the abundance or regional distribution of parasites and/or intermediate and final hosts. Organic pollutants and trace elements may weaken the immune system of the hosting seabirds and hence affect the final host's ability to control the endoparasites. On the other hand, in some cases helminths seem to function as a sink for trace elements resulting in decreased concentrations of heavy metals in birds' tissues. Furthermore, this article also describes the role of helminths in mass mortality events amongst seabird populations, which beside natural causes (weather, viral and bacterial infections) have anthropogenous origin as well (e.g. oil spills, climate change, overfishing and environmental pollution).",2023,"DEC 1","HELMINTHOLOGIA","60","4","300-326","WOS:001142875800010","10.2478/helm-2023-0034","","#10916","Schwantes 2023","Alice Gaalswyk (2024-09-02 22:22:33)(Select): reasonable transboundary assumption with inclusion of North Atlantic and Arctic seas ;","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"58","Climate change implications in the northern coastal temperate rainforest of North America","Shanley, C. S.; Pyare, S.; Goldstein, M. I.; Alaback, P. B.; Albert, D. M.; Beier, C. M.; Brinkman, T. J.; Edwards, R. T.; Hood, E.; MacKinnon, A.; McPhee, M. V.; Patterson, T. M.; Suring, L. H.; Tallmon, D. A.; Wipfli, M. S.","We synthesized an expert review of climate change implications for hydroecological and terrestrial ecological systems in the northern coastal temperate rainforest of North America. Our synthesis is based on an analysis of projected temperature, precipitation, and snowfall stratified by eight biogeoclimatic provinces and three vegetation zones. Five IPCC CMIP5 global climate models (GCMs) and two representative concentration pathways (RCPs) are the basis for projections of mean annual temperature increasing from a current average (1961-1990) of 3.2 A degrees C to 4.9-6.9 A degrees C (5 GCM range; RCP4.5 scenario) or 6.4-8.7 A degrees C (RCP8.5), mean annual precipitation increasing from 3130 mm to 3210-3400 mm (3-9 % increase) or 3320-3690 mm (6-18 % increase), and total precipitation as snow decreasing from 1200 mm to 940-720 mm (22-40 % decrease) or 720-500 mm (40-58 % decrease) by the 2080s (2071-2100; 30-year normal period). These projected changes are anticipated to result in a cascade of ecosystem-level effects including: increased frequency of flooding and rain-on-snow events; an elevated snowline and reduced snowpack; changes in the timing and magnitude of stream flow, freshwater thermal regimes, and riverine nutrient exports; shrinking alpine habitats; altitudinal and latitudinal expansion of lowland and subalpine forest types; shifts in suitable habitat boundaries for vegetation and wildlife communities; adverse effects on species with rare ecological niches or limited dispersibility; and shifts in anadromous salmon distribution and productivity. Our collaborative synthesis of potential impacts highlights the coupling of social and ecological systems that characterize the region as well as a number of major information gaps to help guide assessments of future conditions and adaptive capacity.",2015,"MAY","Climatic Change","130","2","155-170","WOS:000353465100008","10.1007/s10584-015-1355-9","","#11056","Shanley 2015","","Biophysical; Transboundary unclear",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"59","Ecological effects of climate fluctuations","Stenseth, N. C.; Mysterud, A.; Ottersen, G.; Hurrell, J. W.; Chan, K. S.; Lima, M.","Climate influences a variety of ecological processes. These effects operate through local weather parameters such as temperature, wind, rain, snow, and ocean currents, as well as interactions among these. In the temperate zone, local variations in weather are often coupled over large geographic areas through the transient behavior of atmospheric planetary-scale waves. These variations drive temporally and spatially averaged exchanges of heat, momentum, and water vapor that ultimately determine growth, recruitment, and migration patterns. Recently, there have been several studies of the impact of large-scale climatic forcing on ecological systems. We review how two of the best-known climate phenomena the North Atlantic Oscillation and the El Nino Southern Oscillation affect ecological patterns and processes in both marine and terrestrial systems.",2002,"AUG 23","SCIENCE","297","5585","1292-1296","WOS:000177573900032","10.1126/science.1071281","","#11663","Stenseth 2002","","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"60","Impacts of Beech Bark Disease and Climate Change on American Beech","Stephanson, C. A.; Coe, N. R.","American beech (Fagus grandifolia Ehrh.) is a dominant component of forest tree cover over a large portion of eastern North America and this deciduous, mast-bearing tree species plays a key role in these forest ecosystems. Beech bark disease (BBD) is a scale insect-fungus complex that has caused the decline and death of afflicted beech trees. This disease has become a common feature in North American forest landscapes. Resistance to BBD is at the level of the beech scale (Cryptococcus fagisuga Lind.). Beech scale attack predisposes the tree to subsequent infection by Neonectria fungi. The impact of this tree disease has been shown to be significant, particularly in beech dominated forests. Scale-free trees (resistant to BBD) have been reported to range from only 1% to 3% in infested stands, with estimates ranging from 80-95% for overall infestation (for all beech within the current North American range). In addition to BBD, overall beech health will be directly impacted by climate change, if one specifically considers the expected fluctuations in precipitation leading to both drought periods and flooding. Beech is particularly sensitive to both extremes and is less resilient than other broad leaf tree species. Although the increase in global temperatures will likely shift the current range of the American beech, milder winters and less snowpack will favor propagation and survival of the beech scale. This review aims to present the current outlook for American beech in light of climate change. The natural history of the American beech and the onslaught of BBD during the last century will be covered, followed by the potential effects of a changing climate on BBD-infested forests. Evidence from models of European beech (Fagus sylvatica) and other host-pathogen systems will supplement data directly gathered to evaluate BBD in American beech. We present the case that although climate change is likely to be a confounding factor in the continued loss of American beech, increasing our understanding of possible mechanisms of resistance and environmental factors that may influence susceptibility of American beech to BBD can inform proactive management strategies.",2017,"MAY","Forests","8","5","","WOS:000404099300017","10.3390/f8050155","","#11668","Stephanson 2017","","Biophysical; Biotic",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"61","RESEARCH PROGRESS ON THE IMPACT OF NITROGEN DEPOSITION ON GLOBAL GRASSLANDS","Stevens, C. J.; Basto, S.; Bell, M. D.; Hao, T. X.; Kirkman, K.; Ochoa-Hueso, R.","Grasslands are globally-important ecosystems providing critical ecosystem services. The species composition and characteristics of grasslands vary considerably across the planet with a wide variety of different grasslands found. However, in many regions grasslands have been impacted by atmospheric nitrogen deposition originating from anthropogenic activities with effects on productivity, species composition and diversity widely reported. Impacts vary across grassland habitats but many show declines in species richness and increases in biomass production related to soil eutrophication and acidification. At a continental level, there is considerable variation in the research effort that has been put into understanding the impacts of nitrogen deposition. In Europe, North America and parts of Asia, although there are unanswered research questions, there is a good understanding of N deposition impacts in most grassland habitats. This is not the case in other regions with large knowledge gaps in some parts of the world. This paper reviews the impacts of N deposition on grasslands around the world, highlighting recent advances and areas where research is still needed.(c) The Author(s) 2022. Published by Higher Education Press. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0)",2022,"SEP","FRONTIERS OF AGRICULTURAL SCIENCE AND ENGINEERING","9","3","425-444","WOS:000860374000003","10.15302/J-FASE-2022457","","#11680","Stevens 2022","","Biophysical; Transboundary unclear",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"62","Springs and Springs-Dependent Taxa of the Colorado River Basin, Southwestern North America: Geography, Ecology and Human Impacts","Stevens, L. E.; Jenness, J.; Ledbetter, J. D.","The Colorado River basin (CRB), the primary water source for southwestern North America, is divided into the 283,384 km(2), water-exporting Upper CRB (UCRB) in the Colorado Plateau geologic province, and the 344,440 km(2), water-receiving Lower CRB (LCRB) in the Basin and Range geologic province. Long-regarded as a snowmelt-fed river system, approximately half of the river's baseflow is derived from groundwater, much of it through springs. CRB springs are important for biota, culture, and the economy, but are highly threatened by a wide array of anthropogenic factors. We used existing literature, available databases, and field data to synthesize information on the distribution, ecohydrology, biodiversity, status, and potential socio-economic impacts of 20,872 reported CRB springs in relation to permanent stream distribution, human population growth, and climate change. CRB springs are patchily distributed, with highest density in montane and cliff-dominated landscapes. Mapping data quality is highly variable and many springs remain undocumented. Most CRB springs-influenced habitats are small, with a highly variable mean area of 2200 m(2), generating an estimated total springs habitat area of 45.4 km(2) (0.007% of the total CRB land area). Median discharge also is generally low and variable (0.10 L/s, N = 1687, 95% CI = 0.04 L/s), but ranges up to 1800 L/s. Water pH and conductivity is negatively related to elevation, with a stronger negative relationship in the UCRB compared to the LCRB. Natural springs water temperature and geochemistry throughout the CRB varies greatly among springs, but relatively little within springs, and depends on aquifer hydrogeology, elevation, and residence time. As the only state nearly entirely included within the CRB, Arizona is about equally divided between the two geologic provinces. Arizona springs produce approximately 0.6 km(3)/year of water. Data on >330 CRB springs-dependent taxa (SDT) revealed at least 62 plant species; 216 aquatic and riparian Mollusca, Hemiptera, Coleoptera, and other invertebrate taxa; several herpetofanual species; and two-thirds of 35 CRB fish taxa. Springs vegetation structure, composition, and diversity vary strongly by springs type, and plant species density within springs is high in comparison with upland habitats. Plant species richness and density is negatively related to elevation below 2500 m. Human population in and adjacent to the CRB are growing rapidly, and ecological impairment of springs exceeds 70% in many landscapes, particularly in urbanized and rangeland areas. Anthropogenic stressors are primarily related to groundwater depletion and pollution, livestock management, flow abstraction, non-native species introduction, and recreation. Ensuring the ecological integrity and sustainability of CRB groundwater supplies and springs will require more thorough basic inventory, assessment, research, information management, and local ecosystem rehabilitation, as well as improved groundwater and springs conservation policy.",2020,"MAY","Water","12","5","","WOS:000555915200280","10.3390/w12051501","","#11681","Stevens 2020","","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"63","Natural disturbances as drivers of tipping points in forest ecosystems under climate change - implications for adaptive management","Thom, D.","As climate continues to change, disturbances may increasingly navigate forest ecosystems towards tipping points, causing irreversible state shifts and a loss of biodiversity and ecosystem services. In this review, I elaborate the Special Issue topic 'Natural disturbances as tipping points of forest ecosystems under climate change' featured by Forestry and suggest a suit of adaptive measures to mitigate increasing disturbances and their impacts on forest ecosystems. The Special Issue contains seven case studies assessing drought, fire, wind and bark beetle disturbances in Europe, North America and Africa. Despite high severities and/or frequencies, disturbances have not yet induced a shift of the investigated forest ecosystems towards an alternative state. Instead, forests have shown high resistance, resilience or both. For instance, one case study reveals that short-interval fires in European beech forests may not even significantly alter tree species composition due to the high resprouting ability of beech. Yet, other case studies identify distinct differences in resilience amongst ecoregions, and indicate that climate change and disturbance interactions might tip the future carbon balance of forests from sink to source. Many forest ecosystems are likely able to cope with future increases in disturbance activity to some degree. However, tipping points might vary across ecosystems dominated by different disturbance agents. While wind and bark beetles mainly affect canopy trees, fire and drought also directly impair tree regeneration, thus reducing the capacity of ecosystems to recover and reorganize. Hence, forest ecosystems in which fire and drought are the dominant disturbance agents might approach tipping points earlier than forests dominated by other agents if disturbance activity continues to increase. Several proactive and reactive adaptive measures are available to mitigate increasing disturbances, but more research is needed to develop robust and region-specific strategies to prevent tipping points in forest ecosystems.",2023,"MAY 5","FORESTRY","96","3","305-315","WOS:000949155300001","10.1093/forestry/cpad011","","#12087","Thom 2023","","Biophysical; Biotic; Perspective paper; Potentially relevant; Transboundary unclear",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"64","The atmospheric role in the Arctic water cycle: A review on processes, past and future changes, and their impacts","Vihma, T.; Screen, J.; Tjernström, M.; Newton, B.; Zhang, X. D.; Popova, V.; Deser, C.; Holland, M.; Prowse, T.","Atmospheric humidity, clouds, precipitation, and evapotranspiration are essential components of the Arctic climate system. During recent decades, specific humidity and precipitation have generally increased in the Arctic, but changes in evapotranspiration are poorly known. Trends in clouds vary depending on the region and season. Climate model experiments suggest that increases in precipitation are related to global warming. In turn, feedbacks associated with the increase in atmospheric moisture and decrease in sea ice and snow cover have contributed to the Arctic amplification of global warming. Climate models have captured the overall wetting trend but have limited success in reproducing regional details. For the rest of the 21st century, climate models project strong warming and increasing precipitation, but different models yield different results for changes in cloud cover. The model differences are largest in months of minimum sea ice cover. Evapotranspiration is projected to increase in winter but in summer to decrease over the oceans and increase over land. Increasing net precipitation increases river discharge to the Arctic Ocean. Over sea ice in summer, projected increase in rain and decrease in snowfall decrease the surface albedo and, hence, further amplify snow/ice surface melt. With reducing sea ice, wind forcing on the Arctic Ocean increases with impacts on ocean currents and freshwater transport out of the Arctic. Improvements in observations, process understanding, and modeling capabilities are needed to better quantify the atmospheric role in the Arctic water cycle and its changes.",2016,"MAR","JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES","121","3","586-620","WOS:000374345000003","10.1002/2015JG003132","","#12638","Vihma 2016","","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"65","Transitions in Arctic ecosystems: Ecological implications of a changing hydrological regime","Wrona, F. J.; Johansson, M.; Culp, J. M.; Jenkins, A.; Mård, J.; Myers-Smith, I. H.; Prowse, T. D.; Vincent, W. F.; Wookey, P. A.","Numerous international scientific assessments and related articles have, during the last decade, described the observed and potential impacts of climate change as well as other related environmental stressors on Arctic ecosystems. There is increasing recognition that observed and projected changes in freshwater sources, fluxes, and storage will have profound implications for the physical, biogeochemical, biological, and ecological processes and properties of Arctic terrestrial and freshwater ecosystems. However, a significant level of uncertainty remains in relation to forecasting the impacts of an intensified hydrological regime and related cryospheric change on ecosystem structure and function. As the terrestrial and freshwater ecology component of the Arctic Freshwater Synthesis, we review these uncertainties and recommend enhanced coordinated circumpolar research and monitoring efforts to improve quantification and prediction of how an altered hydrological regime influences local, regional, and circumpolar-level responses in terrestrial and freshwater systems. Specifically, we evaluate (i) changes in ecosystem productivity; (ii) alterations in ecosystem-level biogeochemical cycling and chemical transport; (iii) altered landscapes, successional trajectories, and creation of new habitats; (iv) altered seasonality and phenological mismatches; and (v) gains or losses of species and associated trophic interactions. We emphasize the need for developing a process-based understanding of interecosystem interactions, along with improved predictive models. We recommend enhanced use of the catchment scale as an integrated unit of study, thereby more explicitly considering the physical, chemical, and ecological processes and fluxes across a full freshwater continuum in a geographic region and spatial range of hydroecological units (e.g., stream-pond-lake-river-near shore marine environments).",2016,"MAR","JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES","121","3","650-674","WOS:000374345000005","10.1002/2015JG003133","","#13307","Wrona 2016","","Biophysical; Intervention",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"66","Ecosystem Mercury Recovery and Health Benefit Under the Minamata Convention in a Changing Climate","Wu, Q. R.; Zhang, Y. X.; Li, P.; Fu, X. W.; Zhang, Q. G.; Wang, X.; Chen, L.; Wang, S. X.; Wang, F. Y.; Feng, X. B.","Mercury (Hg) is a toxic metal that can be released from natural and anthropogenic processes. Gaseous elemental Hg is the main form of Hg in the atmosphere with a long residence time, allowing its long-range transport and deposition at a global scale. The deposited Hg can be transformed into methylmercuy (MeHg), which bioaccumulates and biomagnifies in aquatic ecosystems and is a known developmental neurotoxin to humans. Chronic exposure in pregnant women via fish consumption, even at the modest levels, can impact intellectual development in infants, which is considered as a global environmental health issue. To protect human health and the environment, the Minamata Convention on Mercury, a legally binding international treaty, entered into force in 2017 to reduce anthropogenic emissions and releases of Hg and Hg compounds. With the enforcement of the Convention, anthropogenic Hg emissions and releases are projected to decrease in the foreseeable future, but the recovery of the ecosystem and mitigation of health impact from Hg pollution are expected to lag behind. In this paper, we provide a critical review on the processes affecting when and to which extent Hg-affected ecosystems will recover under the Minamata Convention in the context of climate change and associated human health benefit. Our review is organized around seven major scientific questions. These seven questions covered historical Hg change in the ecosystem, major factors and processes, and future assessment. The impact of implementation of Minamata Convention and climate change on Hg emission, atmospheric transportation and deposition, biota accumulation, and human exposure should be comprehensively evaluated. The Hg stable isotope tool and process-based integrated global model should be integrated together, which also should consider future global social-economic pathways and mitigation options. We hope that the knowledge gaps and potential tools identified will assist the understanding of global biogeochemical cycling of Hg, inform policy-making on mitigation and community adaptation, and support the effectiveness evaluation and future improvement of the Minamata Convention on Mercury.",2022,"DEC","REVIEWS OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","260","1","","WOS:000895940100001","10.1007/s44169-022-00016-8","","#13335","Wu 2022","Elliott Parsons (2024-08-17 06:58:48)(Select): This article is not available through my University library so I cannot access it;","Biophysical; Biotic",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"67","A global review on hydrological responses to forest change across multiple spatial scales: Importance of scale, climate, forest type and hydrological regime","Zhang, M. F.; Liu, N.; Harper, R.; Li, Q.; Liu, K.; Wei, X. H.; Ning, D. Y.; Hou, Y. P.; Liu, S. R.","Despite extensive studies on hydrological responses to forest cover change in small watersheds, the hydrological responses to forest change and associated mechanisms across multiple spatial scales have not been fully understood. This review thus examined about 312 watersheds worldwide to provide a generalized framework to evaluate hydrological responses to forest cover change and to identify the contribution of spatial scale, climate, forest type and hydrological regime in determining the intensity of forest change related hydrological responses in small (<1000 km(2)) and large watersheds ( >= 1000 km(2)). Key findings include: (1) the increase in annual runoff associated with forest cover loss is statistically significant at multiple spatial scales whereas the effect of forest cover gain is statistically inconsistent; (2) the sensitivity of annual runoff to forest cover change tends to attenuate as watershed size increases only in large watersheds; (3) annual runoff is more sensitive to forest cover change in water-limited watersheds than in energy-limited watersheds across all spatial scales; and (4) small mixed forest-dominated watersheds or large snow-dominated watersheds are more hydrologically resilient to forest cover change. These findings improve the understanding of hydrological response to forest cover change at different spatial scales and provide a scientific underpinning to future watershed management in the context of climate change and increasing anthropogenic disturbances. (C) 2016 Elsevier B.V. All rights reserved.",2017,"MAR","JOURNAL OF HYDROLOGY","546","","44-59","WOS:000395607700005","10.1016/j.jhydrol.2016.12.040","","#13805","Zhang 2017","Matthew Schumm (2024-09-01 11:18:45)(Select): Talks about how climate change may affect how changing forests are altering hydrology. From the watersheds shown in the map, it seems to implicitly include flows crossing N American national boundaries.; ","Biophysical; Biotic",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"68","Contamination of aquatic ecosystems by persistent organic pollutants (POPs) originating from landfills in Canada and the United States: A rapid scoping review","Ochs, Cory; Garrison, Kaitlyn; Saxena, Priyam; Romme, Kristen; Sarkar, Atanu","Persistent organic pollutants (POPs) are organic chemical substances that threaten human health and the planet's ecosystems due to their toxicity and their ability to remain intact for a long time, wide distribution throughout the environment, and accumulation and magnification in living organisms through the food chain. Discarded products from landfills and dumpsites are potential sources of POPs due to their persistence for several decades and constant release to surrounding environment. POPs in aquatic systems signal input predominantly from landfills, wastewater treatment plants, sewage, and urban runoff, suggesting a research gap to guide policies to address these unabated releases. This scoping review aims to rapidly identify the key concepts underpinning the containment, translation, and migration of POPs in Canadian and US landfill leachate. The review targeted multidisciplinary perspectives on the topic and spanned forensic biology, environmental sciences, chemistry, and geology. Contaminated municipal solid waste (MSW) landfill characteristics, as reported by government agencies in Canada and the US, were synthesized and harmonized to illustrate the geographical scope of MSW landfills releasing POPs into the surrounding environment. The knowledge and data gaps summarized in this study highlight the need to address the inadvertent release of POPs from Canadian and US landfills, particularly in consideration of dated and degrading landfill infrastructure, the proximity of marginalized people, and the implications of climate change on the countries' more vulnerable landscapes. This review is applicable to the development of future studies that aim to guide environmental protective policies.",2024,"/","Science of the Total Environment.","","","","","10.1016/j.scitotenv.2024.171490","IND608371504","#14298","Ochs 2024","","Biophysical; Biotic",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
