"","Flow","Impact","ImpactDirection","count"
"335","X2.7.Altered.Flow..Location","X2.12.Impact..Indigenous.Knowledge","Decrease",2
"336","X2.7.Altered.Flow..Location","X2.12.Impact..Indigenous.Knowledge","Complex",3
"337","X2.7.Altered.Flow..Distance","X2.12.Impact..Indigenous.Knowledge","Increase",2
"338","X2.7.Altered.Flow..Distance","X2.12.Impact..Indigenous.Knowledge","Decrease",2
"339","X2.7.Altered.Flow..Distance","X2.12.Impact..Indigenous.Knowledge","Complex",3
"340","X2.7.Altered.Flow..Timing","X2.12.Impact..Indigenous.Knowledge","Increase",2
"341","X2.7.Altered.Flow..Timing","X2.12.Impact..Indigenous.Knowledge","Decrease",2
"342","X2.7.Altered.Flow..Timing","X2.12.Impact..Indigenous.Knowledge","Complex",3
"343","X2.7.Altered.Flow..Frequency","X2.12.Impact..Indigenous.Knowledge","Increase",2
"344","X2.7.Altered.Flow..Frequency","X2.12.Impact..Indigenous.Knowledge","Decrease",2
"345","X2.7.Altered.Flow..Frequency","X2.12.Impact..Indigenous.Knowledge","Complex",2
"346","X2.7.Altered.Flow..Duration","X2.12.Impact..Indigenous.Knowledge","Increase",2
"347","X2.7.Altered.Flow..Duration","X2.12.Impact..Indigenous.Knowledge","Decrease",2
"348","X2.7.Altered.Flow..Duration","X2.12.Impact..Indigenous.Knowledge","Complex",3
"349","X2.7.Altered.Flow..Speed","X2.12.Impact..Indigenous.Knowledge","Increase",2
"350","X2.7.Altered.Flow..Speed","X2.12.Impact..Indigenous.Knowledge","Decrease",2
"351","X2.7.Altered.Flow..Speed","X2.12.Impact..Indigenous.Knowledge","Complex",3
"352","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Indigenous.Knowledge","Increase",3
"353","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Indigenous.Knowledge","Decrease",2
"354","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Indigenous.Knowledge","Complex",3
"355","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Indigenous.Knowledge","Increase",4
"356","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Indigenous.Knowledge","Decrease",2
"357","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Indigenous.Knowledge","Complex",3
"358","X2.7.Altered.Flow..Other","X2.12.Impact..Indigenous.Knowledge","Increase",1
"359","X2.7.Altered.Flow..Quantity","X2.12.Impact..Management","Increase",12
"360","X2.7.Altered.Flow..Quantity","X2.12.Impact..Management","Decrease",1
"361","X2.7.Altered.Flow..Quantity","X2.12.Impact..Management","Complex",16
"362","X2.7.Altered.Flow..Direction","X2.12.Impact..Management","Increase",7
"363","X2.7.Altered.Flow..Direction","X2.12.Impact..Management","Complex",12
"364","X2.7.Altered.Flow..Location","X2.12.Impact..Management","Increase",9
"365","X2.7.Altered.Flow..Location","X2.12.Impact..Management","Complex",11
"366","X2.7.Altered.Flow..Distance","X2.12.Impact..Management","Increase",6
"367","X2.7.Altered.Flow..Distance","X2.12.Impact..Management","Complex",7
"368","X2.7.Altered.Flow..Timing","X2.12.Impact..Management","Increase",6
"369","X2.7.Altered.Flow..Timing","X2.12.Impact..Management","Complex",10
"370","X2.7.Altered.Flow..Frequency","X2.12.Impact..Management","Increase",6
"371","X2.7.Altered.Flow..Frequency","X2.12.Impact..Management","Complex",8
"372","X2.7.Altered.Flow..Duration","X2.12.Impact..Management","Increase",3
"373","X2.7.Altered.Flow..Duration","X2.12.Impact..Management","Complex",8
"374","X2.7.Altered.Flow..Speed","X2.12.Impact..Management","Increase",3
"375","X2.7.Altered.Flow..Speed","X2.12.Impact..Management","Complex",7
"376","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Management","Increase",7
"377","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Management","Complex",9
"378","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Management","Increase",6
"379","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Management","Complex",9
"380","X2.7.Altered.Flow..Other","X2.12.Impact..Management","Increase",3
"381","X2.7.Altered.Flow..Other","X2.12.Impact..Management","Complex",3
"382","X2.7.Altered.Flow..Quantity","X2.12.Impact..Other","Increase",13
"383","X2.7.Altered.Flow..Quantity","X2.12.Impact..Other","Decrease",6
"384","X2.7.Altered.Flow..Quantity","X2.12.Impact..Other","Complex",5
"385","X2.7.Altered.Flow..Direction","X2.12.Impact..Other","Increase",2
"386","X2.7.Altered.Flow..Direction","X2.12.Impact..Other","Decrease",1
"387","X2.7.Altered.Flow..Direction","X2.12.Impact..Other","Complex",1
"388","X2.7.Altered.Flow..Location","X2.12.Impact..Other","Increase",2
"389","X2.7.Altered.Flow..Location","X2.12.Impact..Other","Decrease",3
"390","X2.7.Altered.Flow..Location","X2.12.Impact..Other","Complex",1
"391","X2.7.Altered.Flow..Distance","X2.12.Impact..Other","Increase",2
"392","X2.7.Altered.Flow..Distance","X2.12.Impact..Other","Complex",1
"393","X2.7.Altered.Flow..Timing","X2.12.Impact..Other","Increase",3
"394","X2.7.Altered.Flow..Timing","X2.12.Impact..Other","Decrease",1
"395","X2.7.Altered.Flow..Timing","X2.12.Impact..Other","Complex",4
"396","X2.7.Altered.Flow..Frequency","X2.12.Impact..Other","Increase",1
"397","X2.7.Altered.Flow..Frequency","X2.12.Impact..Other","Decrease",2
"398","X2.7.Altered.Flow..Frequency","X2.12.Impact..Other","Complex",2
"399","X2.7.Altered.Flow..Duration","X2.12.Impact..Other","Increase",2
"400","X2.7.Altered.Flow..Duration","X2.12.Impact..Other","Decrease",1
"401","X2.7.Altered.Flow..Duration","X2.12.Impact..Other","Complex",5
"402","X2.7.Altered.Flow..Speed","X2.12.Impact..Other","Complex",1
"403","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Other","Increase",2
"404","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Other","Decrease",1
"405","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Other","Complex",3
"406","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Other","Increase",1
"407","X2.7.Altered.Flow..Other","X2.12.Impact..Other","Increase",2
