"","driver","altered_flow","impact","count_driver_alteration","count_driver_altflow_bdimpact","count_driver_impact","alteration","direction","count_alteredflow_impact","X2.1.Flow.Type"
"625","Precipitation directional change","Location","Connectivity",169,13,111,"Complex change","Decrease",115,"Biotic"
"626","Precipitation directional change","Timing","Connectivity",125,13,111,"Increase","Decrease",123,"Biotic"
"627","Precipitation directional change","Quantity","Loss",40,18,123,"Decrease","Increase",157,"Biotic"
"628","Precipitation directional change","Direction","Loss",149,15,123,"Complex change","Increase",129,"Biotic"
"629","Precipitation directional change","Location","Loss",169,16,123,"Complex change","Increase",135,"Biotic"
"630","Precipitation directional change","Timing","Loss",125,12,123,"Increase","Increase",114,"Biotic"
"631","Precipitation directional change","Quantity","Management",40,14,96,"Decrease","Increase",127,"Biotic"
"632","Precipitation directional change","Direction","Management",149,12,96,"Complex change","Increase",93,"Biotic"
"633","Precipitation directional change","Location","Management",169,12,96,"Complex change","Increase",89,"Biotic"
"634","Precipitation directional change","Timing","Management",125,10,96,"Increase","Increase",80,"Biotic"
"635","Precipitation directional change","Quantity","Richness",40,19,109,"Decrease","Decrease",145,"Biotic"
"636","Precipitation directional change","Direction","Richness",149,16,109,"Complex change","Decrease",111,"Biotic"
"637","Precipitation directional change","Location","Richness",169,15,109,"Complex change","Decrease",113,"Biotic"
"638","Precipitation directional change","Timing","Richness",125,13,109,"Increase","Decrease",100,"Biotic"
"639","Precipitation directional change","Quantity","Trophic",40,18,118,"Decrease","Increase",168,"Biotic"
"640","Precipitation directional change","Direction","Trophic",149,14,118,"Complex change","Increase",134,"Biotic"
"641","Precipitation directional change","Location","Trophic",169,14,118,"Complex change","Increase",131,"Biotic"
"642","Precipitation directional change","Timing","Trophic",125,13,118,"Increase","Increase",125,"Biotic"
"643","Precipitation variability","Quantity","Abundance",28,25,166,"Decrease","Decrease",284,"Biotic"
"644","Precipitation variability","Direction","Abundance",127,18,166,"Complex change","Decrease",179,"Biotic"
"645","Precipitation variability","Location","Abundance",122,19,166,"Complex change","Decrease",224,"Biotic"
"646","Precipitation variability","Timing","Abundance",117,23,166,"Increase","Decrease",208,"Biotic"
"647","Precipitation variability","Quantity","Composition",28,16,112,"Decrease","Complex change",191,"Biotic"
"648","Precipitation variability","Direction","Composition",127,14,112,"Complex change","Complex change",132,"Biotic"
"649","Precipitation variability","Location","Composition",122,12,112,"Complex change","Complex change",146,"Biotic"
"650","Precipitation variability","Timing","Composition",117,15,112,"Increase","Complex change",131,"Biotic"
"651","Precipitation variability","Quantity","Connectivity",28,11,92,"Decrease","Decrease",128,"Biotic"
"652","Precipitation variability","Direction","Connectivity",127,10,92,"Complex change","Decrease",113,"Biotic"
"653","Precipitation variability","Location","Connectivity",122,9,92,"Complex change","Decrease",115,"Biotic"
"654","Precipitation variability","Timing","Connectivity",117,11,92,"Increase","Decrease",123,"Biotic"
"655","Precipitation variability","Quantity","Loss",28,15,109,"Decrease","Increase",157,"Biotic"
"656","Precipitation variability","Direction","Loss",127,14,109,"Complex change","Increase",129,"Biotic"
"657","Precipitation variability","Location","Loss",122,13,109,"Complex change","Increase",135,"Biotic"
"658","Precipitation variability","Timing","Loss",117,13,109,"Increase","Increase",114,"Biotic"
"659","Precipitation variability","Quantity","Management",28,11,66,"Decrease","Increase",127,"Biotic"
"660","Precipitation variability","Direction","Management",127,8,66,"Complex change","Increase",93,"Biotic"
"661","Precipitation variability","Location","Management",122,7,66,"Complex change","Increase",89,"Biotic"
"662","Precipitation variability","Timing","Management",117,8,66,"Increase","Increase",80,"Biotic"
"663","Precipitation variability","Quantity","Richness",28,15,90,"Decrease","Decrease",145,"Biotic"
"664","Precipitation variability","Direction","Richness",127,13,90,"Complex change","Decrease",111,"Biotic"
"665","Precipitation variability","Location","Richness",122,11,90,"Complex change","Decrease",113,"Biotic"
"666","Precipitation variability","Timing","Richness",117,12,90,"Increase","Decrease",100,"Biotic"
"667","Precipitation variability","Quantity","Trophic",28,14,102,"Decrease","Increase",168,"Biotic"
"668","Precipitation variability","Direction","Trophic",127,12,102,"Complex change","Increase",134,"Biotic"
"669","Precipitation variability","Location","Trophic",122,10,102,"Complex change","Increase",131,"Biotic"
"670","Precipitation variability","Timing","Trophic",117,12,102,"Increase","Increase",125,"Biotic"
"671","Wildfires","Quantity","Abundance",26,20,123,"Decrease","Decrease",284,"Biotic"
"672","Wildfires","Direction","Abundance",112,15,123,"Complex change","Decrease",179,"Biotic"
"673","Wildfires","Location","Abundance",101,15,123,"Complex change","Decrease",224,"Biotic"
"674","Wildfires","Timing","Abundance",89,13,123,"Increase","Decrease",208,"Biotic"
"675","Wildfires","Quantity","Composition",26,10,58,"Decrease","Complex change",191,"Biotic"
"676","Wildfires","Direction","Composition",112,8,58,"Complex change","Complex change",132,"Biotic"
"677","Wildfires","Location","Composition",101,6,58,"Complex change","Complex change",146,"Biotic"
"678","Wildfires","Timing","Composition",89,7,58,"Increase","Complex change",131,"Biotic"
"679","Wildfires","Quantity","Connectivity",26,10,84,"Decrease","Decrease",128,"Biotic"
"680","Wildfires","Direction","Connectivity",112,10,84,"Complex change","Decrease",113,"Biotic"
"681","Wildfires","Location","Connectivity",101,9,84,"Complex change","Decrease",115,"Biotic"
"682","Wildfires","Timing","Connectivity",89,9,84,"Increase","Decrease",123,"Biotic"
"683","Wildfires","Quantity","Loss",26,11,87,"Decrease","Increase",157,"Biotic"
"684","Wildfires","Direction","Loss",112,11,87,"Complex change","Increase",129,"Biotic"
"685","Wildfires","Location","Loss",101,9,87,"Complex change","Increase",135,"Biotic"
"686","Wildfires","Timing","Loss",89,9,87,"Increase","Increase",114,"Biotic"
"687","Wildfires","Quantity","Management",26,11,84,"Decrease","Increase",127,"Biotic"
"688","Wildfires","Direction","Management",112,11,84,"Complex change","Increase",93,"Biotic"
"689","Wildfires","Location","Management",101,9,84,"Complex change","Increase",89,"Biotic"
"690","Wildfires","Timing","Management",89,9,84,"Increase","Increase",80,"Biotic"
"691","Wildfires","Quantity","Richness",26,10,57,"Decrease","Decrease",145,"Biotic"
"692","Wildfires","Direction","Richness",112,9,57,"Complex change","Decrease",111,"Biotic"
"693","Wildfires","Location","Richness",101,6,57,"Complex change","Decrease",113,"Biotic"
"694","Wildfires","Timing","Richness",89,8,57,"Increase","Decrease",100,"Biotic"
"695","Wildfires","Quantity","Trophic",26,11,83,"Decrease","Increase",168,"Biotic"
"696","Wildfires","Direction","Trophic",112,11,83,"Complex change","Increase",134,"Biotic"
"697","Wildfires","Location","Trophic",101,8,83,"Complex change","Increase",131,"Biotic"
"698","Wildfires","Timing","Trophic",89,9,83,"Increase","Increase",125,"Biotic"
"699","Climate change  generic ","Quantity","Abundance",79,60,350,"Complex change","Complex change",284,"Biotic"
"700","Climate change  generic ","Direction","Abundance",224,33,350,"Complex change","Complex change",179,"Biotic"
"701","Climate change  generic ","Location","Abundance",272,46,350,"Complex change","Complex change",224,"Biotic"
"702","Climate change  generic ","Distance","Abundance",61,29,350,"Complex change","Complex change",137,"Biotic"
"703","Climate change  generic ","Timing","Abundance",72,38,350,"Complex change","Complex change",208,"Biotic"
"704","Climate change  generic ","Frequency","Abundance",50,27,350,"Complex change","Complex change",132,"Biotic"
"705","Climate change  generic ","Duration","Abundance",68,32,350,"Complex change","Complex change",170,"Biotic"
"706","Climate change  generic ","Speed","Abundance",43,23,350,"Complex change","Complex change",111,"Biotic"
"707","Climate change  generic ","Feedbacks","Abundance",206,33,350,"Complex change","Complex change",170,"Biotic"
"708","Climate change  generic ","Mechanism","Abundance",170,25,350,"Complex change","Complex change",112,"Biotic"
"709","Climate change  generic ","Quantity","Composition",79,44,251,"Complex change","Complex change",191,"Biotic"
"710","Climate change  generic ","Direction","Composition",224,24,251,"Complex change","Complex change",132,"Biotic"
"711","Climate change  generic ","Location","Composition",272,28,251,"Complex change","Complex change",146,"Biotic"
"712","Climate change  generic ","Distance","Composition",61,21,251,"Complex change","Complex change",91,"Biotic"
"713","Climate change  generic ","Timing","Composition",72,27,251,"Complex change","Complex change",131,"Biotic"
"714","Climate change  generic ","Frequency","Composition",50,18,251,"Complex change","Complex change",81,"Biotic"
"715","Climate change  generic ","Duration","Composition",68,26,251,"Complex change","Complex change",122,"Biotic"
"716","Climate change  generic ","Speed","Composition",43,19,251,"Complex change","Complex change",76,"Biotic"
"717","Climate change  generic ","Feedbacks","Composition",206,25,251,"Complex change","Complex change",114,"Biotic"
"718","Climate change  generic ","Mechanism","Composition",170,17,251,"Complex change","Complex change",67,"Biotic"
"719","Climate change  generic ","Quantity","Abundance",79,60,350,"Complex change","Complex change",284,"Biotic"
"720","Climate change  generic ","Direction","Abundance",224,33,350,"Complex change","Complex change",179,"Biotic"
"721","Climate change  generic ","Location","Abundance",272,46,350,"Complex change","Complex change",224,"Biotic"
"722","Climate change  generic ","Distance","Abundance",61,29,350,"Complex change","Complex change",137,"Biotic"
"723","Climate change  generic ","Timing","Abundance",72,38,350,"Complex change","Complex change",208,"Biotic"
"724","Climate change  generic ","Frequency","Abundance",50,27,350,"Complex change","Complex change",132,"Biotic"
"725","Climate change  generic ","Duration","Abundance",68,32,350,"Complex change","Complex change",170,"Biotic"
"726","Climate change  generic ","Speed","Abundance",43,23,350,"Complex change","Complex change",111,"Biotic"
"727","Climate change  generic ","Feedbacks","Abundance",206,33,350,"Complex change","Complex change",170,"Biotic"
"728","Climate change  generic ","Mechanism","Abundance",170,25,350,"Complex change","Complex change",112,"Biotic"
"729","Climate change  generic ","Quantity","Composition",79,44,251,"Complex change","Complex change",191,"Biotic"
"730","Climate change  generic ","Direction","Composition",224,24,251,"Complex change","Complex change",132,"Biotic"
"731","Climate change  generic ","Location","Composition",272,28,251,"Complex change","Complex change",146,"Biotic"
"732","Climate change  generic ","Distance","Composition",61,21,251,"Complex change","Complex change",91,"Biotic"
"733","Climate change  generic ","Timing","Composition",72,27,251,"Complex change","Complex change",131,"Biotic"
"734","Climate change  generic ","Frequency","Composition",50,18,251,"Complex change","Complex change",81,"Biotic"
"735","Climate change  generic ","Duration","Composition",68,26,251,"Complex change","Complex change",122,"Biotic"
"736","Climate change  generic ","Speed","Composition",43,19,251,"Complex change","Complex change",76,"Biotic"
"737","Climate change  generic ","Feedbacks","Composition",206,25,251,"Complex change","Complex change",114,"Biotic"
"738","Climate change  generic ","Mechanism","Composition",170,17,251,"Complex change","Complex change",67,"Biotic"
"739","Climate change  generic ","Quantity","Loss",79,28,180,"Complex change","Complex change",157,"Biotic"
"740","Climate change  generic ","Direction","Loss",224,19,180,"Complex change","Complex change",129,"Biotic"
"741","Climate change  generic ","Location","Loss",272,25,180,"Complex change","Complex change",135,"Biotic"
"742","Climate change  generic ","Distance","Loss",61,15,180,"Complex change","Complex change",94,"Biotic"
"743","Climate change  generic ","Timing","Loss",72,18,180,"Complex change","Complex change",114,"Biotic"
"744","Climate change  generic ","Frequency","Loss",50,12,180,"Complex change","Complex change",65,"Biotic"
"745","Climate change  generic ","Duration","Loss",68,15,180,"Complex change","Complex change",103,"Biotic"
"746","Climate change  generic ","Speed","Loss",43,16,180,"Complex change","Complex change",85,"Biotic"
"747","Climate change  generic ","Feedbacks","Loss",206,16,180,"Complex change","Complex change",101,"Biotic"
"748","Climate change  generic ","Mechanism","Loss",170,15,180,"Complex change","Complex change",86,"Biotic"
"749","Climate change  generic ","Quantity","Richness",79,25,158,"Complex change","Complex change",145,"Biotic"
"750","Climate change  generic ","Direction","Richness",224,18,158,"Complex change","Complex change",111,"Biotic"
"751","Climate change  generic ","Location","Richness",272,20,158,"Complex change","Complex change",113,"Biotic"
"752","Climate change  generic ","Distance","Richness",61,12,158,"Complex change","Complex change",64,"Biotic"
"753","Climate change  generic ","Timing","Richness",72,19,158,"Complex change","Complex change",100,"Biotic"
"754","Climate change  generic ","Frequency","Richness",50,10,158,"Complex change","Complex change",43,"Biotic"
"755","Climate change  generic ","Duration","Richness",68,14,158,"Complex change","Complex change",70,"Biotic"
"756","Climate change  generic ","Speed","Richness",43,13,158,"Complex change","Complex change",49,"Biotic"
"757","Climate change  generic ","Feedbacks","Richness",206,15,158,"Complex change","Complex change",76,"Biotic"
"758","Climate change  generic ","Mechanism","Richness",170,11,158,"Complex change","Complex change",49,"Biotic"
"759","Sea temperature change","Quantity","Composition",36,11,75,"Complex change","Complex change",191,"Biotic"
"760","Sea temperature change","Direction","Composition",70,11,75,"Complex change","Complex change",132,"Biotic"
"761","Sea temperature change","Location","Composition",83,11,75,"Complex change","Complex change",146,"Biotic"
"762","Sea temperature change","Distance","Composition",10,6,75,"Complex change","Complex change",91,"Biotic"
"763","Sea temperature change","Timing","Composition",30,8,75,"Complex change","Complex change",131,"Biotic"
"764","Sea temperature change","Frequency","Composition",10,4,75,"Complex change","Complex change",81,"Biotic"
"765","Sea temperature change","Duration","Composition",32,6,75,"Complex change","Complex change",122,"Biotic"
"766","Sea temperature change","Speed","Composition",10,4,75,"Complex change","Complex change",76,"Biotic"
"767","Sea temperature change","Feedbacks","Composition",53,7,75,"Complex change","Complex change",114,"Biotic"
"768","Sea temperature change","Mechanism","Composition",57,6,75,"Complex change","Complex change",67,"Biotic"
"769","Climate change  generic ","Quantity","Abundance",79,60,350,"Complex change","Complex change",284,"Biotic"
"770","Climate change  generic ","Direction","Abundance",224,33,350,"Complex change","Complex change",179,"Biotic"
"771","Climate change  generic ","Location","Abundance",272,46,350,"Complex change","Complex change",224,"Biotic"
"772","Climate change  generic ","Distance","Abundance",61,29,350,"Complex change","Complex change",137,"Biotic"
"773","Climate change  generic ","Timing","Abundance",72,38,350,"Complex change","Complex change",208,"Biotic"
"774","Climate change  generic ","Frequency","Abundance",50,27,350,"Complex change","Complex change",132,"Biotic"
"775","Climate change  generic ","Duration","Abundance",68,32,350,"Complex change","Complex change",170,"Biotic"
"776","Climate change  generic ","Speed","Abundance",43,23,350,"Complex change","Complex change",111,"Biotic"
"777","Climate change  generic ","Feedbacks","Abundance",206,33,350,"Complex change","Complex change",170,"Biotic"
"778","Climate change  generic ","Mechanism","Abundance",170,25,350,"Complex change","Complex change",112,"Biotic"
"779","Climate change  generic ","Quantity","Composition",79,44,251,"Complex change","Complex change",191,"Biotic"
"780","Climate change  generic ","Direction","Composition",224,24,251,"Complex change","Complex change",132,"Biotic"
"781","Climate change  generic ","Location","Composition",272,28,251,"Complex change","Complex change",146,"Biotic"
"782","Climate change  generic ","Distance","Composition",61,21,251,"Complex change","Complex change",91,"Biotic"
"783","Climate change  generic ","Timing","Composition",72,27,251,"Complex change","Complex change",131,"Biotic"
"784","Climate change  generic ","Frequency","Composition",50,18,251,"Complex change","Complex change",81,"Biotic"
"785","Climate change  generic ","Duration","Composition",68,26,251,"Complex change","Complex change",122,"Biotic"
"786","Climate change  generic ","Speed","Composition",43,19,251,"Complex change","Complex change",76,"Biotic"
"787","Climate change  generic ","Feedbacks","Composition",206,25,251,"Complex change","Complex change",114,"Biotic"
"788","Climate change  generic ","Mechanism","Composition",170,17,251,"Complex change","Complex change",67,"Biotic"
"789","Climate change  generic ","Quantity","Connectivity",79,22,192,"Complex change","Complex change",128,"Biotic"
"790","Climate change  generic ","Direction","Connectivity",224,20,192,"Complex change","Complex change",113,"Biotic"
"791","Climate change  generic ","Location","Connectivity",272,21,192,"Complex change","Complex change",115,"Biotic"
"792","Climate change  generic ","Distance","Connectivity",61,19,192,"Complex change","Complex change",103,"Biotic"
"793","Climate change  generic ","Timing","Connectivity",72,19,192,"Complex change","Complex change",123,"Biotic"
"794","Climate change  generic ","Frequency","Connectivity",50,16,192,"Complex change","Complex change",93,"Biotic"
"795","Climate change  generic ","Duration","Connectivity",68,19,192,"Complex change","Complex change",116,"Biotic"
"796","Climate change  generic ","Speed","Connectivity",43,18,192,"Complex change","Complex change",93,"Biotic"
"797","Climate change  generic ","Feedbacks","Connectivity",206,19,192,"Complex change","Complex change",118,"Biotic"
"798","Climate change  generic ","Mechanism","Connectivity",170,19,192,"Complex change","Complex change",97,"Biotic"
"799","Climate change  generic ","Quantity","Loss",79,28,180,"Complex change","Complex change",157,"Biotic"
"800","Climate change  generic ","Direction","Loss",224,19,180,"Complex change","Complex change",129,"Biotic"
"801","Climate change  generic ","Location","Loss",272,25,180,"Complex change","Complex change",135,"Biotic"
"802","Climate change  generic ","Distance","Loss",61,15,180,"Complex change","Complex change",94,"Biotic"
"803","Climate change  generic ","Timing","Loss",72,18,180,"Complex change","Complex change",114,"Biotic"
"804","Climate change  generic ","Frequency","Loss",50,12,180,"Complex change","Complex change",65,"Biotic"
"805","Climate change  generic ","Duration","Loss",68,15,180,"Complex change","Complex change",103,"Biotic"
"806","Climate change  generic ","Speed","Loss",43,16,180,"Complex change","Complex change",85,"Biotic"
"807","Climate change  generic ","Feedbacks","Loss",206,16,180,"Complex change","Complex change",101,"Biotic"
"808","Climate change  generic ","Mechanism","Loss",170,15,180,"Complex change","Complex change",86,"Biotic"
"809","Climate change  generic ","Quantity","Richness",79,25,158,"Complex change","Complex change",145,"Biotic"
"810","Climate change  generic ","Direction","Richness",224,18,158,"Complex change","Complex change",111,"Biotic"
"811","Climate change  generic ","Location","Richness",272,20,158,"Complex change","Complex change",113,"Biotic"
"812","Climate change  generic ","Distance","Richness",61,12,158,"Complex change","Complex change",64,"Biotic"
"813","Climate change  generic ","Timing","Richness",72,19,158,"Complex change","Complex change",100,"Biotic"
"814","Climate change  generic ","Frequency","Richness",50,10,158,"Complex change","Complex change",43,"Biotic"
"815","Climate change  generic ","Duration","Richness",68,14,158,"Complex change","Complex change",70,"Biotic"
"816","Climate change  generic ","Speed","Richness",43,13,158,"Complex change","Complex change",49,"Biotic"
"817","Climate change  generic ","Feedbacks","Richness",206,15,158,"Complex change","Complex change",76,"Biotic"
"818","Climate change  generic ","Mechanism","Richness",170,11,158,"Complex change","Complex change",49,"Biotic"
"819","Climate change  generic ","Quantity","Abundance",79,60,350,"Complex change","Decrease",284,"Biotic"
"820","Climate change  generic ","Direction","Abundance",224,33,350,"Complex change","Decrease",179,"Biotic"
"821","Climate change  generic ","Location","Abundance",272,46,350,"Complex change","Decrease",224,"Biotic"
"822","Climate change  generic ","Distance","Abundance",61,29,350,"Complex change","Decrease",137,"Biotic"
"823","Climate change  generic ","Timing","Abundance",72,38,350,"Complex change","Decrease",208,"Biotic"
"824","Climate change  generic ","Frequency","Abundance",50,27,350,"Complex change","Decrease",132,"Biotic"
"825","Climate change  generic ","Duration","Abundance",68,32,350,"Complex change","Decrease",170,"Biotic"
"826","Climate change  generic ","Speed","Abundance",43,23,350,"Complex change","Decrease",111,"Biotic"
"827","Climate change  generic ","Feedbacks","Abundance",206,33,350,"Complex change","Decrease",170,"Biotic"
"828","Climate change  generic ","Mechanism","Abundance",170,25,350,"Complex change","Decrease",112,"Biotic"
"829","Climate change  generic ","Quantity","Composition",79,44,251,"Complex change","Complex change",191,"Biotic"
"830","Climate change  generic ","Direction","Composition",224,24,251,"Complex change","Complex change",132,"Biotic"
"831","Climate change  generic ","Location","Composition",272,28,251,"Complex change","Complex change",146,"Biotic"
"832","Climate change  generic ","Distance","Composition",61,21,251,"Complex change","Complex change",91,"Biotic"
"833","Climate change  generic ","Timing","Composition",72,27,251,"Complex change","Complex change",131,"Biotic"
"834","Climate change  generic ","Frequency","Composition",50,18,251,"Complex change","Complex change",81,"Biotic"
"835","Climate change  generic ","Duration","Composition",68,26,251,"Complex change","Complex change",122,"Biotic"
"836","Climate change  generic ","Speed","Composition",43,19,251,"Complex change","Complex change",76,"Biotic"
"837","Climate change  generic ","Feedbacks","Composition",206,25,251,"Complex change","Complex change",114,"Biotic"
"838","Climate change  generic ","Mechanism","Composition",170,17,251,"Complex change","Complex change",67,"Biotic"
"839","Climate change  generic ","Quantity","Connectivity",79,22,192,"Complex change","Decrease",128,"Biotic"
"840","Climate change  generic ","Direction","Connectivity",224,20,192,"Complex change","Decrease",113,"Biotic"
"841","Climate change  generic ","Location","Connectivity",272,21,192,"Complex change","Decrease",115,"Biotic"
"842","Climate change  generic ","Distance","Connectivity",61,19,192,"Complex change","Decrease",103,"Biotic"
"843","Climate change  generic ","Timing","Connectivity",72,19,192,"Complex change","Decrease",123,"Biotic"
"844","Climate change  generic ","Frequency","Connectivity",50,16,192,"Complex change","Decrease",93,"Biotic"
"845","Climate change  generic ","Duration","Connectivity",68,19,192,"Complex change","Decrease",116,"Biotic"
"846","Climate change  generic ","Speed","Connectivity",43,18,192,"Complex change","Decrease",93,"Biotic"
"847","Climate change  generic ","Feedbacks","Connectivity",206,19,192,"Complex change","Decrease",118,"Biotic"
"848","Climate change  generic ","Mechanism","Connectivity",170,19,192,"Complex change","Decrease",97,"Biotic"
"849","Climate change  generic ","Quantity","Loss",79,28,180,"Complex change","Complex change",157,"Biotic"
"850","Climate change  generic ","Direction","Loss",224,19,180,"Complex change","Complex change",129,"Biotic"
"851","Climate change  generic ","Location","Loss",272,25,180,"Complex change","Complex change",135,"Biotic"
"852","Climate change  generic ","Distance","Loss",61,15,180,"Complex change","Complex change",94,"Biotic"
"853","Climate change  generic ","Timing","Loss",72,18,180,"Complex change","Complex change",114,"Biotic"
"854","Climate change  generic ","Frequency","Loss",50,12,180,"Complex change","Complex change",65,"Biotic"
"855","Climate change  generic ","Duration","Loss",68,15,180,"Complex change","Complex change",103,"Biotic"
"856","Climate change  generic ","Speed","Loss",43,16,180,"Complex change","Complex change",85,"Biotic"
"857","Climate change  generic ","Feedbacks","Loss",206,16,180,"Complex change","Complex change",101,"Biotic"
"858","Climate change  generic ","Mechanism","Loss",170,15,180,"Complex change","Complex change",86,"Biotic"
"859","Climate change  generic ","Quantity","Management",79,23,141,"Complex change","Complex change",127,"Biotic"
"860","Climate change  generic ","Direction","Management",224,15,141,"Complex change","Complex change",93,"Biotic"
"861","Climate change  generic ","Location","Management",272,16,141,"Complex change","Complex change",89,"Biotic"
"862","Climate change  generic ","Distance","Management",61,11,141,"Complex change","Complex change",65,"Biotic"
"863","Climate change  generic ","Timing","Management",72,13,141,"Complex change","Complex change",80,"Biotic"
"864","Climate change  generic ","Frequency","Management",50,11,141,"Complex change","Complex change",59,"Biotic"
"865","Climate change  generic ","Duration","Management",68,11,141,"Complex change","Complex change",65,"Biotic"
"866","Climate change  generic ","Speed","Management",43,11,141,"Complex change","Complex change",61,"Biotic"
"867","Climate change  generic ","Feedbacks","Management",206,14,141,"Complex change","Complex change",85,"Biotic"
"868","Climate change  generic ","Mechanism","Management",170,14,141,"Complex change","Complex change",69,"Biotic"
"869","Climate change  generic ","Quantity","Richness",79,25,158,"Complex change","Decrease",145,"Biotic"
"870","Climate change  generic ","Direction","Richness",224,18,158,"Complex change","Decrease",111,"Biotic"
"871","Climate change  generic ","Location","Richness",272,20,158,"Complex change","Decrease",113,"Biotic"
"872","Climate change  generic ","Distance","Richness",61,12,158,"Complex change","Decrease",64,"Biotic"
"873","Climate change  generic ","Timing","Richness",72,19,158,"Complex change","Decrease",100,"Biotic"
"874","Climate change  generic ","Frequency","Richness",50,10,158,"Complex change","Decrease",43,"Biotic"
"875","Climate change  generic ","Duration","Richness",68,14,158,"Complex change","Decrease",70,"Biotic"
"876","Climate change  generic ","Speed","Richness",43,13,158,"Complex change","Decrease",49,"Biotic"
"877","Climate change  generic ","Feedbacks","Richness",206,15,158,"Complex change","Decrease",76,"Biotic"
"878","Climate change  generic ","Mechanism","Richness",170,11,158,"Complex change","Decrease",49,"Biotic"
"879","Sea temperature change","Quantity","Abundance",36,15,94,"Complex change","Complex change",284,"Biotic"
"880","Sea temperature change","Direction","Abundance",70,11,94,"Complex change","Complex change",179,"Biotic"
"881","Sea temperature change","Location","Abundance",83,13,94,"Complex change","Complex change",224,"Biotic"
"882","Sea temperature change","Distance","Abundance",10,7,94,"Complex change","Complex change",137,"Biotic"
"883","Sea temperature change","Timing","Abundance",30,10,94,"Complex change","Complex change",208,"Biotic"
"884","Sea temperature change","Frequency","Abundance",10,5,94,"Complex change","Complex change",132,"Biotic"
"885","Sea temperature change","Duration","Abundance",32,8,94,"Complex change","Complex change",170,"Biotic"
"886","Sea temperature change","Speed","Abundance",10,5,94,"Complex change","Complex change",111,"Biotic"
"887","Sea temperature change","Feedbacks","Abundance",53,10,94,"Complex change","Complex change",170,"Biotic"
"888","Sea temperature change","Mechanism","Abundance",57,8,94,"Complex change","Complex change",112,"Biotic"
"889","Sea temperature change","Quantity","Composition",36,11,75,"Complex change","Complex change",191,"Biotic"
"890","Sea temperature change","Direction","Composition",70,11,75,"Complex change","Complex change",132,"Biotic"
"891","Sea temperature change","Location","Composition",83,11,75,"Complex change","Complex change",146,"Biotic"
"892","Sea temperature change","Distance","Composition",10,6,75,"Complex change","Complex change",91,"Biotic"
"893","Sea temperature change","Timing","Composition",30,8,75,"Complex change","Complex change",131,"Biotic"
"894","Sea temperature change","Frequency","Composition",10,4,75,"Complex change","Complex change",81,"Biotic"
"895","Sea temperature change","Duration","Composition",32,6,75,"Complex change","Complex change",122,"Biotic"
"896","Sea temperature change","Speed","Composition",10,4,75,"Complex change","Complex change",76,"Biotic"
"897","Sea temperature change","Feedbacks","Composition",53,7,75,"Complex change","Complex change",114,"Biotic"
"898","Sea temperature change","Mechanism","Composition",57,6,75,"Complex change","Complex change",67,"Biotic"
"899","Sea temperature change","Quantity","Loss",36,11,79,"Complex change","Complex change",157,"Biotic"
"900","Sea temperature change","Direction","Loss",70,10,79,"Complex change","Complex change",129,"Biotic"
"901","Sea temperature change","Location","Loss",83,11,79,"Complex change","Complex change",135,"Biotic"
"902","Sea temperature change","Distance","Loss",10,6,79,"Complex change","Complex change",94,"Biotic"
"903","Sea temperature change","Timing","Loss",30,8,79,"Complex change","Complex change",114,"Biotic"
"904","Sea temperature change","Frequency","Loss",10,4,79,"Complex change","Complex change",65,"Biotic"
"905","Sea temperature change","Duration","Loss",32,7,79,"Complex change","Complex change",103,"Biotic"
"906","Sea temperature change","Speed","Loss",10,5,79,"Complex change","Complex change",85,"Biotic"
"907","Sea temperature change","Feedbacks","Loss",53,7,79,"Complex change","Complex change",101,"Biotic"
"908","Sea temperature change","Mechanism","Loss",57,8,79,"Complex change","Complex change",86,"Biotic"
"909","Sea temperature change","Quantity","Richness",36,10,61,"Complex change","Complex change",145,"Biotic"
"910","Sea temperature change","Direction","Richness",70,8,61,"Complex change","Complex change",111,"Biotic"
"911","Sea temperature change","Location","Richness",83,10,61,"Complex change","Complex change",113,"Biotic"
"912","Sea temperature change","Distance","Richness",10,4,61,"Complex change","Complex change",64,"Biotic"
"913","Sea temperature change","Timing","Richness",30,6,61,"Complex change","Complex change",100,"Biotic"
"914","Sea temperature change","Frequency","Richness",10,2,61,"Complex change","Complex change",43,"Biotic"
"915","Sea temperature change","Duration","Richness",32,5,61,"Complex change","Complex change",70,"Biotic"
"916","Sea temperature change","Speed","Richness",10,3,61,"Complex change","Complex change",49,"Biotic"
"917","Sea temperature change","Feedbacks","Richness",53,5,61,"Complex change","Complex change",76,"Biotic"
"918","Sea temperature change","Mechanism","Richness",57,6,61,"Complex change","Complex change",49,"Biotic"
"919","Air temperature directional change","Quantity","Abundance",50,45,229,"Complex change","Increase",284,"Physical"
"920","Air temperature directional change","Timing","Abundance",34,31,229,"Complex change","Increase",208,"Physical"
"921","Precipitation directional change","Quantity","Abundance",44,31,191,"Complex change","Increase",284,"Physical"
"922","Precipitation directional change","Timing","Abundance",27,25,191,"Complex change","Increase",208,"Physical"
"923","Precipitation variability","Quantity","Abundance",41,25,166,"Complex change","Increase",284,"Physical"
"924","Precipitation variability","Timing","Abundance",21,23,166,"Complex change","Increase",208,"Physical"
"925","Climate change  generic ","Quantity","Abundance",79,60,350,"Complex change","Complex change",284,"Biotic"
"926","Climate change  generic ","Direction","Abundance",224,33,350,"Complex change","Complex change",179,"Biotic"
